Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Belgium,10625701,101384,2222,27556,343,2582,3431,3982,0,2,33082,11333,4610,286,401,2000,7,247,236,2644,6420,232,84,0,0,0,15,1095,2,9,0,109,49,0,26594,487,687,801,2984,725,1468,6417,423,2365,162,346,709,1380,815,1220,836,962,179,1618,132,4844,293,960,10275,7388,1491,103,3760,4821,285,1362,1383,19,0,7,0,1146,1216,78,85,226,1857,157,1655 
Belize,298403,1386,131,183,16,137,1,40,0,0,324,106,67,3,2,36,2,55,25,30,228,11,8,0,0,0,0,31,0,0,0,0,79,0,182,0,2,17,12,19,7,18,2,8,14,5,2,25,3,6,7,1,10,108,11,2,3,66,80,74,11,0,57,31,3,48,32,1,1,1,0,64,2,17,4,2,8,35,96 
Bermuda,,447,9,104,3,26,1,17,0,0,196,22,9,1,1,5,0,2,3,27,21,2,0,0,0,0,0,4,0,0,0,0,3,0,100,1,2,5,11,3,1,20,1,10,3,2,1,12,4,5,5,4,1,22,0,11,1,9,91,37,19,0,9,8,3,3,5,0,0,0,0,12,3,4,0,0,1,0,1 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,192784521,1047827,45937,161476,5718,61854,10637,20410,26,118,308431,104483,53717,2474,3788,18294,1612,26788,10144,80168,131234,5040,5185,143,0,18,402,11493,127,28,0,2734,11370,93,158585,6065,6987,13042,11322,6871,6477,19851,2624,11060,4691,3087,2583,11478,2712,6015,5721,2891,4085,47714,6699,9675,2150,39327,92557,96794,10473,182,44310,38460,3088,24483,12049,555,132,1126,263,38404,8316,6009,979,588,8870,47682,20386 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,374459,1174,47,217,5,146,4,12,0,0,333,121,22,1,3,47,1,18,23,68,106,2,9,0,0,0,0,25,0,0,0,4,4,0,215,7,2,20,29,16,8,50,,12,10,1,2,7,5,9,6,2,4,140,0,,1,57,103,87,,0,35,55,3,12,,,0,1,0,55,10,14,2,5,10,2,8 
Bulgaria,7659764,113004,710,17992,179,2166,76,975,3,1,74380,4540,3493,35,54,1320,8,293,169,2813,3797,24,275,0,0,0,10,279,2,0,0,36,1,0,17827,462,183,1489,2584,902,996,3416,275,1273,405,409,408,808,531,414,417,165,136,2091,11,133,92,8282,15322,23105,5109,21,1752,1927,322,1876,1291,20,0,8,0,1070,359,194,121,151,902,145,855 
Canada,32982275,235217,4657,71024,904,9885,10301,11300,6,7,69834,20518,9841,346,1539,5630,24,1122,866,2464,14949,1174,127,0,0,0,13,1972,6,26,1,455,422,2,69595,1108,1627,1871,7662,1822,3785,18560,1169,5066,393,810,1544,3632,1798,4075,2300,1429,499,7394,201,15193,457,2158,36860,13981,3660,180,5272,10659,408,3227,4070,99,2,19,3,3077,2677,255,213,1355,3611,515,3246 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,152,6,30,1,3,0,5,0,0,49,15,5,0,0,4,0,4,2,6,22,0,0,0,0,0,0,5,0,0,0,0,0,0,30,0,2,1,2,0,1,6,0,3,0,0,0,6,0,0,0,0,1,2,0,0,0,11,20,5,2,0,2,4,0,2,3,0,0,0,0,12,3,4,0,0,0,2,1 
Chile,16462701,89558,1703,21569,362,4493,2698,2794,0,6,25131,9103,6314,247,522,2594,42,894,872,2557,7657,160,538,2,0,12,13,291,3,12,0,56,387,0,20685,204,706,2942,1570,874,933,2438,302,1123,617,234,331,1584,379,961,621,884,271,3503,566,3520,191,3264,8161,7943,867,17,3668,3254,202,3830,1758,64,3,27,12,2159,760,400,328,252,1848,754,1156 
Colombia,44374647,191663,7085,33456,813,9222,50,2678,0,5,57453,19321,9344,1060,1765,5076,503,5389,2733,3212,32469,1153,1200,36,0,7,15,1208,24,13,0,140,2477,64,32196,524,689,4718,2321,1577,1168,3822,606,2114,1597,436,710,2399,396,1333,1608,1260,488,7109,1530,235,257,5373,27031,14057,1928,3,6164,10430,716,2382,3184,182,47,303,137,6583,1184,977,150,135,2191,16719,4530 
Costa Rica,4369465,15938,325,3575,57,680,172,406,0,0,4706,1448,1169,75,122,378,10,365,299,224,1927,71,40,0,0,6,3,29,4,0,0,11,107,1,3385,67,43,523,332,161,170,225,50,243,95,32,61,322,56,216,157,190,29,588,20,258,54,671,2191,958,159,1,393,778,59,602,288,6,1,5,4,628,90,118,9,51,270,269,492 
Croatia,4435982,52367,407,12853,47,1351,777,740,0,1,26506,2636,2355,27,82,844,6,127,112,543,2953,11,100,2,0,0,3,215,0,0,0,53,1,0,12682,363,222,910,1738,400,631,2753,228,861,114,186,293,637,333,431,358,171,28,1323,2,465,55,1274,9676,8323,1285,24,1027,1405,190,1328,642,25,2,1,3,678,804,107,59,159,776,68,302 
Cuba,11284043,81927,793,20809,169,2365,2856,1144,10,13,32644,8797,3006,157,548,785,42,286,410,643,6450,205,39,2,0,0,5,98,1,8,0,119,158,2,20441,587,597,798,2008,720,747,4849,338,1326,473,623,250,2341,494,855,493,368,120,2136,35,2742,205,1819,15419,8433,2568,0,5271,3262,315,1122,578,81,8,17,10,1001,1754,263,23,76,1307,568,1458 
Cyprus,771688,5380,65,1109,37,387,67,131,0,0,2092,389,156,31,42,171,0,10,15,348,330,5,1,0,0,0,1,32,0,0,0,1,4,0,1069,9,12,46,120,37,67,160,21,90,10,21,33,81,29,56,37,40,29,342,1,124,14,181,779,401,70,3,89,119,8,48,126,2,0,0,0,106,29,32,6,16,19,11,111 
Czech Republic,10322689,104636,689,27709,111,2623,165,1255,0,2,52464,5715,4747,49,63,1252,3,185,164,1309,6131,49,70,0,0,0,7,450,1,0,0,26,4,0,27359,666,410,1217,3909,822,1781,5476,465,1680,314,430,700,1275,697,914,794,350,41,2430,37,526,243,2425,26278,11640,5749,55,2820,2174,530,2315,1104,14,0,3,0,1248,1005,182,50,307,1379,109,1851 
Denmark,5457415,55281,871,15429,242,1880,2863,1634,0,2,16042,5658,2667,51,331,909,2,132,176,3889,2503,143,25,0,0,0,6,404,0,7,10,18,33,0,15094,326,384,385,1824,262,862,3394,278,1233,134,173,358,1072,498,605,510,335,180,1307,29,2504,76,862,5934,4193,1196,22,1938,3282,414,895,565,25,0,2,0,385,271,52,63,146,581,46,959 
Dominica,,567,17,106,10,53,3,14,0,0,206,57,30,5,2,12,0,12,5,11,24,1,4,1,0,0,0,5,1,0,0,0,3,0,104,0,3,7,8,3,3,11,1,6,5,2,0,23,1,5,4,2,3,45,0,3,1,37,45,62,6,0,26,24,4,11,7,5,0,0,0,7,0,2,0,1,2,2,10 
Dominican Republic,,24514,1209,3510,140,1247,76,366,0,0,8315,1940,915,12,62,285,28,968,259,1408,3536,92,272,21,0,0,4,160,5,0,0,47,486,4,3386,139,61,198,212,290,117,407,81,250,131,99,20,678,34,101,102,124,127,1117,63,117,26,1014,3508,2698,119,1,622,554,118,628,244,29,5,18,5,1248,19,59,11,6,173,502,1518 
Ecuador,14205479,57971,2697,8603,558,4077,126,1007,0,0,13349,5024,3260,8,202,1840,176,1729,678,6027,8610,431,708,11,0,0,3,748,2,1,0,29,648,8,8368,85,70,1614,478,605,322,610,107,352,286,429,114,719,71,359,410,235,477,3289,522,161,90,3047,2780,3140,359,11,3016,1072,230,1814,1755,64,14,138,24,2667,429,443,97,230,1006,2298,1440 
Egypt,73435640,452831,14657,26134,4612,9009,423,5097,24,13,203125,32191,44546,218,169,15725,567,4618,6241,67893,17569,5128,643,90,0,3,31,2143,30,18,26,4765,3,2,23662,353,243,1106,1048,4677,661,2390,36,1804,103,265,211,511,1663,147,2381,2472,593,4202,251,655,949,16939,14220,34784,15917,7,11867,5566,228,41019,15536,63,8,495,63,6628,769,1447,65,78,32,60,8490 
El Salvador,5986414,31349,1218,3457,161,1664,678,669,0,0,5482,2556,1492,59,102,2085,17,311,339,4977,6082,185,77,3,0,0,0,521,0,0,0,0,364,0,3455,58,62,482,157,242,128,219,15,145,184,206,63,206,29,56,164,2,143,1277,265,34,2,454,2065,816,14,0,1467,519,146,846,1956,53,1,16,0,1546,305,242,38,229,501,3084,137 
