Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,3084150,16248,100,2693,,,79,383,8,7,8062,906,310,6,40,280,5,103,46,1746,1248,20,14,0,0,0,0,21,1,0,0,1,0,0,2441,56,24,334,101,,106,597,31,105,20,44,12,134,0,36,89,252,34,140,8,44,22,378,2238,2960,281,47,429,335,22,1,239,14,3,2,0,314,59,57,13,114,133,216,342 
Anguilla,,57,9,10,0,2,0,1,0,0,18,2,1,0,1,1,1,1,1,2,7,0,0,0,0,0,0,8,0,0,0,0,1,0,10,0,0,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,1,0,3,7,5,1,0,2,0,0,0,1,0,0,1,0,1,0,2,0,0,1,3,0 
Antigua and Barbuda,80030,444,19,80,8,61,1,7,0,0,147,22,24,5,2,2,0,18,1,22,25,1,0,0,0,0,0,9,0,0,0,0,9,0,77,1,3,5,6,4,0,1,2,8,2,4,1,19,2,3,4,3,6,52,0,1,0,38,35,37,4,0,12,2,0,11,0,0,0,0,0,3,0,6,1,1,0,4,10 
Argentina,37889443,291190,13504,56057,1040,12598,2159,4040,1,4,94809,35999,11415,829,623,7762,356,6092,2867,21055,19660,550,824,19,0,10,30,9491,39,2,0,167,1528,0,53304,767,1901,2881,5607,1754,3142,8207,658,5001,963,1440,1035,3527,1183,2005,1728,2753,739,8581,1807,2489,239,4735,19917,22530,3967,7,11655,4617,382,4231,6656,58,100,172,48,3605,304,735,375,219,3169,2855,8398 
Armenia,3211604,25554,251,4242,,,69,,,,14027,1462,1009,11,79,392,3,210,158,779,1071,23,167,2,,0,0,29,,,0,,1,0,4233,57,44,405,337,,,880,,457,96,113,,107,,115,135,9,7,1520,,,147,44,8485,4373,240,1,198,1112,141,626,287,70,1,,,189,22,39,10,70,74,70,597 
Aruba,94995,513,26,132,0,33,0,3,0,0,177,21,23,8,2,9,0,3,1,26,49,1,3,0,0,0,0,17,0,0,0,0,4,0,130,2,3,12,9,3,4,18,4,15,3,2,3,10,3,8,2,2,0,25,1,0,0,11,58,33,17,0,12,4,2,10,6,0,0,0,0,18,4,3,3,0,9,5,7 
Australia,19666322,133047,1776,38269,437,4621,3157,4589,2,6,49977,11640,4485,336,1013,2977,13,654,578,731,7786,59,67,0,0,4,46,1070,2,14,0,55,111,3,37458,668,1004,1219,4601,849,1839,7245,1467,2681,217,349,841,2820,917,2358,1441,811,216,3296,94,4507,262,1357,25884,12459,2634,55,3008,6246,413,1373,2248,48,0,13,0,1905,627,237,108,561,2319,287,1742 
Austria,8082121,76131,490,19106,95,2319,424,2265,1,1,36906,4090,3588,47,229,1008,2,180,203,860,4317,19,66,0,0,0,7,48,0,2,1,236,51,1,18623,473,319,1144,2483,704,1244,3419,319,1593,183,324,519,1138,513,859,669,483,39,2028,0,530,207,1208,16355,8123,2210,18,1065,2587,284,1808,908,4,0,2,0,938,976,89,39,55,1553,69,598 
Azerbaijan,8171950,46526,1402,5859,185,1372,82,805,6,3,26505,3200,2774,9,59,725,22,268,148,1233,1869,212,1019,1,2,0,0,62,0,0,4,29,0,4,5852,31,410,1088,322,420,96,839,,410,48,192,77,200,101,27,233,7,83,1313,9,,131,1581,17721,5196,,1,1385,897,236,2166,,,2,18,0,389,31,238,290,104,92,215,510 
Bahamas,309170,1827,267,293,10,63,9,28,0,1,566,130,63,16,10,40,0,76,17,69,169,4,4,0,0,0,0,46,0,0,0,2,199,0,289,18,9,20,21,7,10,21,1,42,16,7,10,38,3,14,5,4,7,45,1,2,2,250,112,39,20,0,65,7,7,21,28,1,0,0,0,59,3,21,9,0,3,51,23 
