Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Bahrain,725365,2035,68,278,35,188,2,36,0,0,580,118,70,30,1,51,3,42,45,310,178,4,9,0,0,0,0,29,0,0,0,9,14,0,274,2,9,12,20,11,15,55,4,32,3,0,8,11,11,19,12,4,29,167,1,5,4,240,172,42,2,0,33,40,2,28,47,0,1,2,0,80,0,0,0,0,25,1,72 
Barbados,271479,2240,131,446,15,247,7,42,1,0,708,183,85,57,8,96,2,30,21,69,91,2,1,0,0,0,0,77,0,0,0,0,45,0,444,11,15,31,67,9,14,19,4,49,18,10,12,99,8,18,6,2,12,206,2,17,2,141,143,198,42,0,96,22,8,22,70,1,1,1,0,28,1,9,2,1,0,30,20 
Belarus,9924766,146658,1251,19346,68,785,810,958,1,12,79171,6352,3933,48,221,1188,17,224,467,14710,17096,16,938,2,0,0,31,80,1,0,0,36,27,0,19171,596,364,2948,2228,362,792,3663,,1199,406,390,548,705,538,357,647,175,43,707,11,,6,1041,52007,20106,,5,1015,4925,315,2326,,,2,12,3,2204,1203,1272,679,3708,3300,1138,3592 
Belgium,10332785,105288,2430,27421,343,2577,3202,3185,1,4,37262,12108,4530,425,469,1529,3,202,266,2773,6558,151,81,0,0,0,21,1478,1,7,1,133,59,3,26429,478,629,940,2946,638,1342,6208,327,2359,168,355,678,1614,813,1125,899,992,215,1650,132,4009,302,953,12483,8558,1618,163,4183,5115,351,1366,1275,22,0,3,0,1449,1047,102,86,127,2076,198,1473 
Belize,262202,1284,121,141,10,95,1,23,0,0,301,127,55,2,0,31,6,70,22,27,252,9,17,1,0,0,0,23,0,0,0,0,68,0,139,2,1,14,5,13,2,23,0,2,7,12,0,16,0,3,5,2,9,73,9,3,2,95,79,51,5,0,76,18,5,32,31,0,1,5,0,90,8,21,2,4,14,66,47 
Bermuda,,418,13,122,3,35,0,21,0,0,133,26,20,3,5,12,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,13,0,118,2,5,6,11,3,6,19,0,16,1,0,5,12,6,6,3,4,0,33,0,13,0,9,48,41,13,0,8,13,4,4,12,0,0,0,0,5,4,2,0,2,3,0,0 
Bolivia,,24279,1264,1541,198,524,91,159,2,0,2374,1286,1140,6,34,585,16,214,38,11692,2861,196,276,4,0,0,0,625,0,0,0,12,10,0,1537,16,22,128,47,114,46,115,30,62,125,91,20,74,8,37,82,4,180,216,172,6,9,99,446,757,60,0,518,86,22,695,563,6,0,16,0,115,15,128,27,251,18,6,2301 
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,181045592,982794,45090,129912,5213,49205,7010,12845,11,115,267432,94541,45785,1932,2885,15165,1648,33208,9647,134052,126430,5725,5606,169,11,12,513,11441,127,17,0,1740,11053,93,128151,5100,5755,11429,8772,5461,4882,15652,2267,9010,4091,2608,2144,8389,2301,4876,4816,1761,3719,36620,6675,4124,1858,25457,81488,87331,9892,117,32688,34837,2944,21603,10825,399,115,1166,321,33270,5272,6479,1082,253,7724,49656,22694 
British Virgin Islands,,95,1,16,0,4,0,1,0,0,39,4,3,1,1,1,0,7,1,4,12,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,1,3,0,1,2,0,1,0,0,0,3,1,2,0,0,0,2,1,0,0,19,8,1,3,0,0,2,1,1,0,1,0,0,0,1,0,7,0,0,0,1,3 
Brunei Darussalam,344200,1041,25,180,13,96,2,18,0,0,341,115,18,0,4,35,4,26,29,57,78,3,10,1,0,0,0,4,0,0,0,1,3,1,178,9,3,13,12,19,2,41,,15,3,1,8,7,0,10,5,2,6,90,0,,4,34,110,92,,0,41,65,4,8,,,0,3,0,43,6,7,3,4,1,2,12 
Bulgaria,7868900,112617,604,15839,,,185,776,0,1,76312,3329,2865,25,39,900,11,265,234,4827,4243,32,287,2,0,0,13,157,6,1,0,41,0,0,15785,341,180,1674,2188,,815,3006,201,1087,366,366,368,750,425,285,361,54,96,1968,8,125,173,4761,20642,21844,6340,4,1545,1228,184,1463,787,20,2,9,0,976,281,185,113,187,1317,225,959 
Canada,31372587,223603,3272,66591,869,10044,6547,10310,1,8,74626,17761,8454,314,1537,4529,15,927,890,3073,13835,365,143,0,0,0,19,1489,4,25,1,379,405,0,65103,1088,1473,1904,7023,1431,3202,17188,978,4977,362,686,1587,3708,1525,3881,2077,1488,515,7868,208,10787,461,1933,40607,15453,4214,226,4499,9876,432,2817,3648,50,1,7,5,3129,1769,316,219,1018,3650,462,3272 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,120,0,18,0,8,1,3,0,0,45,12,4,1,0,2,0,4,2,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,4,0,0,3,0,0,0,0,0,1,1,1,0,1,0,7,0,1,0,8,25,7,0,0,4,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,8 
Chile,15544554,81079,1834,19919,294,3759,2509,1948,0,4,22452,7688,6374,263,428,2067,42,795,945,2439,7319,216,601,3,0,8,34,201,4,5,0,62,440,0,19146,193,736,3139,1238,708,820,2051,267,1049,632,215,303,1347,311,906,581,773,200,2990,432,2529,248,2480,7820,7557,769,16,3395,2536,242,4047,1408,70,7,27,8,2021,558,559,306,105,1603,839,1328 
Colombia,41572493,192074,7211,29518,983,9716,99,2675,1,3,51671,15573,8035,770,1143,3349,577,6338,2796,3252,48320,1502,1328,43,0,20,28,1078,37,10,0,176,2112,153,28622,482,640,4277,1819,1532,946,3160,475,1716,1675,528,550,2057,306,1203,1496,896,641,7140,1867,209,284,5569,22900,13615,1696,22,4650,8613,783,2288,2347,145,47,398,127,7017,1009,1103,181,116,2397,31742,4755 
Costa Rica,4063208,15004,390,3213,54,581,88,363,0,1,4517,1285,1078,42,95,331,27,404,292,392,1851,99,80,2,0,1,1,30,1,1,0,14,118,1,3118,49,41,550,244,188,142,223,76,205,97,44,62,271,43,176,159,95,31,513,19,124,39,478,2295,947,123,3,342,676,62,510,271,4,0,20,6,677,82,153,7,14,281,236,401 
Croatia,4443200,50569,558,12157,45,920,471,489,0,0,26698,2105,2394,13,45,598,4,163,126,1076,2707,10,181,7,0,1,5,308,0,0,0,18,7,0,12077,364,218,975,1558,400,540,2598,188,804,98,189,280,488,301,417,331,80,19,891,0,273,77,787,8829,8369,1184,11,991,874,227,1391,510,11,0,4,0,639,618,89,54,42,875,67,323 
Cuba,11184540,73883,725,17871,187,1613,2052,880,7,13,30469,7703,2727,116,332,694,65,437,541,499,6952,253,37,1,0,0,5,111,0,9,0,81,89,0,17498,475,444,697,1789,637,708,4061,301,1122,412,539,187,1910,404,819,537,373,135,1446,36,1797,203,1511,14236,7680,3418,0,5154,2311,357,1040,515,69,10,34,13,1486,1590,324,71,44,1606,661,1170 
Cyprus,713720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Czech Republic,10200774,108243,320,28893,79,1334,111,1814,0,0,57152,4713,4435,9,32,1410,3,217,118,765,6838,12,83,2,0,0,13,175,0,0,0,14,0,0,28709,640,400,1482,4453,953,1613,5563,467,1965,399,519,727,1400,753,978,846,184,29,1276,7,662,229,1218,22504,16536,11358,27,2374,1778,577,2084,1318,20,1,2,0,1490,1817,235,56,300,1534,134,1272 
Denmark,5374255,58397,732,15434,246,2145,2247,1346,1,2,20446,5823,2832,70,388,857,2,187,186,2857,2596,137,35,0,0,0,5,371,0,6,0,22,36,0,14968,287,437,349,1978,234,701,3324,254,1391,115,186,427,1149,502,617,488,466,187,1462,68,1803,31,640,8251,5384,1682,39,1724,3558,545,830,538,54,0,1,1,465,275,41,70,127,688,50,880 
Dominica,,594,21,142,7,45,0,8,0,0,198,42,20,5,2,9,1,10,3,55,26,0,0,0,0,0,0,10,0,0,0,0,9,0,139,3,3,18,10,2,4,14,1,11,3,0,0,39,1,11,3,3,7,41,0,0,1,82,12,29,5,0,15,11,3,6,9,0,1,0,0,7,0,3,0,0,2,10,4 
Dominican Republic,,26149,1975,3443,176,1242,61,402,5,0,7409,1532,1251,29,57,267,63,1816,426,2334,3590,201,361,25,4,0,7,185,24,0,0,57,1017,7,3310,123,58,224,170,243,104,420,58,260,142,93,15,607,21,100,108,133,157,1015,159,86,36,947,2910,2364,141,5,617,490,110,858,215,29,6,47,10,1393,16,5,4,3,142,345,1682 
Ecuador,13072056,55531,3162,6929,550,3391,256,929,0,5,12879,5259,2758,31,103,1851,149,1906,510,7128,7735,699,892,4,1,1,0,954,9,1,0,40,399,64,6738,74,88,1476,305,515,256,532,77,282,236,411,98,506,56,254,380,191,485,2350,848,72,65,1902,2571,3105,256,11,2719,761,219,1358,1781,50,20,126,3,1972,291,470,109,161,578,2056,2098 
Egypt,70908710,419533,18505,23396,2614,8667,550,4639,171,27,171394,30522,39598,138,234,14252,647,5718,6715,73968,17778,9945,756,206,0,2,51,1757,29,13,29,2243,8,1,19980,304,210,853,806,3492,548,1717,30,1505,114,232,145,463,1690,124,2343,3416,674,3461,918,676,1585,20147,9470,28919,21835,6,13027,7178,299,36139,14007,124,10,621,10,6299,810,1515,225,145,36,86,8662 
El Salvador,5874301,27476,1871,3192,141,1240,699,636,0,2,5372,2281,1482,41,126,1426,32,382,364,3506,4683,360,94,6,0,0,1,844,1,0,0,6,513,0,3192,55,53,503,111,206,80,212,15,110,189,227,30,155,25,54,163,0,113,844,200,14,10,177,2270,1055,23,1,1221,434,190,715,1361,17,2,30,0,1599,207,251,43,42,439,1957,145 
Estonia,1379350,18355,123,3453,11,153,61,228,0,2,9983,578,673,17,77,143,1,30,42,771,2009,5,88,0,0,0,0,17,0,1,0,1,3,0,3426,107,46,342,411,93,180,686,48,256,63,56,105,178,82,130,104,27,8,132,2,58,57,440,5779,2815,289,1,305,206,86,330,130,9,0,1,0,247,141,91,152,307,371,159,541 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,815691,5642,307,362,25,893,3,49,0,0,2454,372,88,10,9,58,3,196,28,438,347,42,17,0,0,0,6,187,1,0,0,3,0,0,357,5,3,11,14,32,5,11,0,56,35,9,25,19,3,5,32,5,23,853,10,2,19,482,600,195,15,0,113,198,19,37,53,2,0,3,0,45,6,54,19,2,42,65,114 
Finland,5200599,49389,381,10522,61,641,3246,2164,0,1,21133,3865,2036,19,285,470,3,76,152,257,4077,60,97,0,0,0,7,111,1,3,0,12,7,0,10221,135,191,568,992,350,755,1852,198,787,49,132,268,809,236,730,300,301,25,545,3,4197,66,453,12730,4838,938,29,2392,1170,224,804,345,27,0,3,0,531,1122,163,66,516,1095,133,451 
France,59678253,535140,10324,152738,2209,19724,17896,22603,4,12,158095,33607,24087,2181,3910,7998,67,1517,1440,35840,40888,836,947,4,0,1,36,4101,6,46,1,861,998,23,146420,4544,4172,5118,16133,6942,7426,25799,1920,11172,694,2156,3302,9271,4280,7325,5212,6318,1185,11203,2477,23259,1668,7861,43577,36702,10606,521,11095,8872,914,9388,6216,156,3,62,2,7332,5391,1020,486,848,10643,482,14686 
French Guiana,178785,669,57,114,3,28,19,17,0,2,150,21,22,2,3,10,2,26,7,68,118,4,2,0,0,0,0,5,0,0,0,1,36,2,110,6,1,11,11,5,3,13,0,7,3,1,1,9,1,9,4,4,3,18,3,8,2,19,22,59,10,2,8,2,2,11,9,0,1,1,0,32,3,19,3,1,11,15,34 
Georgia,4357050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Germany,82482309,841686,10466,215441,1872,26355,7922,17748,1,7,393778,53646,41849,453,1926,12260,21,1513,1572,20560,34296,414,507,1,0,1,78,5950,2,13,2,1227,518,7,210043,4699,4523,12388,28868,5705,12819,39132,2677,17780,1763,2678,5910,11422,5451,9453,6877,5398,929,23607,79,7157,2349,23261,164801,77519,22536,102,19203,25509,3409,18341,9575,95,1,17,2,7089,7160,469,550,814,11176,605,6433 
Greece,10987559,103915,777,24386,,,143,1194,1,0,51763,7650,2502,39,347,1362,1,251,254,7934,3993,1,86,4,0,0,6,495,0,0,0,79,29,0,24380,263,190,1368,1969,174,1203,5666,259,1761,97,288,493,1322,949,713,981,6,71,811,0,718,21,1193,13181,18626,1011,1,714,1346,341,657,1274,1,0,1,0,1865,507,346,103,347,323,84,418 
Grenada,102100,888,30,132,10,87,4,21,0,0,312,100,44,13,3,29,1,35,2,19,43,2,1,1,0,0,0,19,0,0,0,0,3,0,128,1,5,5,8,3,1,7,2,10,3,7,2,31,1,10,3,4,10,77,2,3,0,37,45,124,12,0,58,15,3,29,27,1,1,0,0,7,0,15,6,1,0,2,12 
Guadeloupe,440202,2765,88,661,15,155,74,107,0,0,831,133,129,7,6,35,6,30,10,217,261,7,7,1,0,0,0,19,0,0,0,7,25,0,643,24,17,45,42,27,35,56,4,43,7,20,12,103,14,41,18,18,10,106,12,61,6,122,107,288,52,4,61,29,9,51,28,3,0,6,0,81,15,25,6,4,36,15,79 
Guatemala,12272208,65985,6584,5800,,,1374,988,15,3,7046,11310,4233,201,185,1177,280,4308,655,7003,8885,4462,389,16,0,39,3,703,13,1,12,4,601,41,5781,118,91,1230,191,0,135,342,52,152,191,369,55,287,23,77,325,19,345,2226,2631,124,7,1006,1817,2158,192,14,9738,836,706,1875,991,42,25,255,0,357,264,90,84,63,259,2782,4986 
Guyana,743107,5072,757,400,86,483,6,65,0,1,1545,338,237,8,17,88,20,254,58,50,659,82,97,1,0,0,1,58,0,0,0,5,476,28,378,12,8,20,19,18,10,16,4,41,32,18,12,56,4,11,7,22,80,389,32,7,8,206,448,529,38,2,217,56,23,149,61,16,4,16,0,126,9,23,4,0,178,151,168 
Haiti,,7657,1604,355,118,496,28,114,0,1,1198,353,208,17,16,64,135,380,55,2009,506,488,223,48,7,0,1,113,3,0,0,27,571,77,326,4,12,32,26,30,11,19,2,29,5,28,7,44,3,13,12,29,115,162,298,15,6,244,106,483,9,13,265,31,35,56,36,1,8,119,8,103,15,8,28,8,4,153,187 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,6744100,34316,931,11874,83,666,314,290,1,2,8901,5676,1226,185,135,1478,1,26,101,356,2068,6,267,0,0,0,1,467,3,0,0,125,10,0,11658,561,356,620,1551,1381,377,3383,46,425,121,78,136,205,200,397,256,216,43,574,11,307,138,719,3357,3218,440,0,3194,2075,131,447,1099,13,0,1,0,203,157,35,10,186,1040,64,373 
Hungary,10158607,132833,576,33537,138,2519,895,1700,0,5,67826,4701,9189,28,318,988,8,428,324,140,9513,23,325,3,0,0,5,103,0,0,0,21,8,0,33013,1717,675,2114,4790,916,1670,7939,514,2234,513,428,612,1292,804,1005,987,524,66,2352,8,1190,376,4266,29674,18510,8200,8,908,3419,812,6137,881,56,1,7,0,1748,3174,214,179,117,2843,240,998 
Iceland,287559,1822,13,516,2,23,62,96,0,0,745,144,47,0,8,30,0,1,12,11,112,0,3,0,0,0,1,5,0,1,0,1,0,0,509,9,9,22,57,5,33,98,8,37,3,10,16,63,14,19,9,7,1,15,1,108,2,17,395,164,37,7,42,78,5,4,22,0,0,0,0,32,19,2,2,10,30,5,12 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,3917203,29683,181,7621,,,452,703,1,0,11652,4344,1025,81,168,565,5,111,202,262,1603,20,41,0,0,0,7,57,2,2,0,14,0,0,7503,124,290,335,898,25,390,1469,138,604,76,67,222,543,157,394,267,118,55,418,8,457,47,267,6107,2394,738,3,2182,1462,148,174,375,11,1,4,0,379,366,71,47,64,449,43,184 
Israel,6569957,38301,1049,9563,234,2887,596,1028,4,1,11471,2666,1284,467,208,1986,6,363,249,1804,2435,105,56,0,0,0,2,664,0,2,0,151,24,0,9351,76,90,497,1296,258,681,1403,167,949,63,114,244,381,304,687,432,212,149,2400,16,627,119,686,5209,2731,355,0,599,1199,57,366,1635,12,0,6,0,564,84,50,32,81,382,500,742 
Italy,57157407,560390,5226,163070,,,10104,14175,21,17,237198,35941,24719,672,2019,8124,17,1289,1428,6692,26693,59,451,19,0,0,24,1258,16,21,6,1948,934,3,156866,2860,1971,10952,17236,5251,8394,32293,2088,11309,373,2340,2872,7132,5258,7611,5555,6204,1714,17620,148,16540,1748,21893,75380,65895,11013,481,9071,18281,1535,10633,5485,179,2,15,0,7305,10552,440,275,297,4069,560,3195 
Jamaica,2634779,14859,773,2477,169,1505,34,227,1,0,3987,1006,368,113,164,340,11,344,86,2910,339,14,14,3,0,0,0,207,1,0,0,5,462,1,2387,55,42,145,174,94,62,262,16,185,121,56,42,454,30,136,90,90,65,1277,85,83,12,704,706,1645,127,32,333,371,62,118,233,29,2,9,0,26,1,10,12,4,2,12,272 
Japan,126008000,982379,19859,313896,3944,17645,4047,10465,7,9,303089,136891,38452,893,4419,23335,90,976,2577,28458,73327,1249,4352,9,0,0,0,6083,10,20,10,5663,54,1,304568,5337,10739,49213,37910,34637,20137,56405,1017,9604,2443,2876,4127,8105,5138,11852,6969,9328,1612,12635,1287,4993,2417,5621,71537,130257,11968,358,87421,18511,3740,15490,21313,128,4,63,17,11743,6328,5736,1438,617,29953,733,16779 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,14854233,148700,4583,18989,,,569,1285,,7,75447,9785,6275,122,148,1874,80,1372,1043,4687,20693,172,3772,,2,1,54,319,12,6,2,135,,2,18856,522,1417,2594,1461,,,3668,276,1317,522,396,,325,762,440,491,133,83,1473,,,681,4699,39143,20241,3316,37,2908,5541,486,3703,1645,68,5,75,,2182,326,1461,401,6490,4271,1962,3600 
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kuwait,2363325,4342,118,552,22,260,9,78,0,0,1711,221,111,7,2,72,3,173,231,128,644,3,35,0,0,0,0,48,0,0,0,25,2,1,529,10,11,20,40,58,17,61,1,59,6,3,17,11,16,56,34,23,11,246,0,5,11,490,694,171,75,0,127,77,9,56,70,0,0,3,0,371,42,20,23,18,48,26,96 
Kyrgyzstan,4965435,35235,1414,3061,59,324,138,586,0,0,16782,4146,2098,23,79,747,54,990,327,960,3447,245,1003,0,2,1,17,37,4,0,0,64,1,0,2998,99,137,549,245,191,103,438,41,204,157,54,62,60,49,51,109,63,43,294,21,10,258,373,8670,6386,80,24,1046,2695,126,1721,730,16,5,33,15,635,133,326,70,416,568,334,965 
Latvia,2310173,32498,309,5729,25,271,109,390,0,3,18189,851,1009,31,83,347,1,75,116,1294,3666,6,210,0,3,0,3,23,1,3,0,10,5,0,5666,136,89,578,635,129,335,1068,67,439,95,147,189,289,169,172,150,63,8,251,1,82,97,176,8925,6685,1364,5,434,338,141,403,301,41,0,1,0,601,393,269,241,331,670,266,895 
Lithuania,3443067,41072,474,7974,35,340,71,360,0,2,22331,1613,1510,48,92,307,6,70,162,397,5280,8,338,0,1,0,7,65,0,0,0,16,5,0,7870,277,143,811,874,123,442,1414,114,550,276,148,234,427,204,309,286,104,22,301,2,68,174,276,13988,5273,1304,3,444,1079,193,761,268,31,3,3,0,828,484,410,136,622,1552,248,1000 
Luxembourg,446184,3603,55,906,13,75,44,114,0,0,1413,357,163,6,20,23,0,14,7,136,257,7,3,0,0,0,0,24,0,0,0,2,4,0,904,30,22,36,114,31,63,182,13,73,6,12,24,40,25,50,33,2,7,54,2,62,0,52,419,410,64,5,133,143,9,82,17,0,0,0,0,55,40,3,2,12,85,8,52 
