Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,3114000,16411,75,2664,,,65,363,4,5,7841,1127,342,4,26,284,8,240,76,1679,1416,5,16,1,0,0,0,5,2,0,0,6,0,0,2465,45,33,364,78,,85,593,37,127,19,42,12,153,0,58,97,199,28,121,11,47,29,307,1985,2843,182,97,555,384,27,0,248,18,2,6,0,73,19,36,6,28,57,131,1066 
Anguilla,,72,3,9,1,6,0,3,0,0,34,3,0,0,0,4,0,1,0,4,4,0,0,0,0,0,0,2,0,0,0,0,1,0,9,2,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,1,4,2,1,0,4,7,14,0,0,1,1,0,0,4,0,0,0,0,2,1,0,0,0,0,1,0 
Antigua and Barbuda,77648,404,26,87,9,33,5,9,0,0,136,31,20,1,0,15,0,6,3,0,23,0,0,0,0,0,4,10,0,0,0,0,9,0,87,2,0,7,5,4,3,4,1,12,1,2,1,20,0,5,3,0,7,27,0,0,0,38,32,32,2,0,17,6,1,10,14,0,0,0,0,9,1,3,0,0,2,2,6 
Argentina,37057453,277148,13004,55490,1030,12218,2110,3787,0,5,91499,31967,11015,502,575,6972,245,5948,2901,18466,19355,427,829,14,0,15,43,9034,36,1,0,248,1471,0,53342,817,1980,2969,5595,1836,3171,8409,622,5015,881,1541,993,3510,1262,2081,1733,2148,726,8861,1306,2146,246,4365,21081,22397,4155,6,9786,4827,383,4199,6031,53,71,149,25,4119,326,718,379,207,2783,2150,8673 
Armenia,3802400,24025,287,3967,,,65,,,,13198,1416,783,8,47,383,18,211,191,833,1102,59,157,1,,0,4,32,,,0,,,1,3958,62,47,395,318,,,845,,444,86,94,,94,,136,131,9,11,1266,,,149,3,8745,3600,172,5,200,1046,125,433,307,31,4,,,211,25,56,13,53,61,88,595 
Aruba,90858,520,12,59,3,31,9,3,0,0,252,18,14,9,3,29,0,2,1,27,48,1,0,0,0,0,0,9,0,0,0,0,1,0,57,2,1,3,1,2,1,8,0,1,1,0,1,3,0,0,2,2,2,22,0,2,0,17,68,66,14,0,3,8,1,7,29,0,0,0,0,18,3,8,0,0,10,0,9 
Australia,19153380,128784,1658,36567,406,4178,3077,4056,1,8,49833,10988,4145,244,856,2671,13,647,622,641,8173,35,54,2,0,1,30,948,1,11,0,23,134,3,35825,670,971,1189,4718,741,1748,6911,1330,2521,265,261,780,2665,819,2391,1363,742,194,3009,65,3790,259,1207,26606,12346,2612,66,2873,5998,471,1172,2024,38,1,11,1,2027,577,239,98,836,2392,306,1698 
Austria,8011566,76780,308,19112,,,395,1111,0,2,40111,4087,3464,27,125,862,2,165,207,880,4399,6,74,0,0,0,8,92,0,2,0,34,50,0,18749,479,266,1229,2536,364,1264,3269,318,1671,138,368,549,1229,495,845,607,363,27,1388,0,408,177,1381,16242,8869,2042,145,1337,2195,260,1813,753,4,0,2,0,927,987,90,153,122,1588,75,457 
Azerbaijan,8048600,46701,1574,5081,,,115,,,,26205,4207,2624,0,55,909,44,345,129,1278,2097,225,1184,2,,0,5,60,,,3,,,4,5073,76,363,946,280,,,735,,318,77,148,,88,,214,271,8,25,1031,,,157,1607,17247,5419,2,4,1787,1615,288,2122,816,56,5,,,455,47,156,195,106,62,247,829 
Bahamas,297891,1625,279,224,11,114,11,25,0,1,458,80,76,12,13,36,2,29,13,24,217,2,7,0,0,0,0,18,0,0,0,2,245,1,218,5,3,16,19,9,9,23,2,28,15,4,10,34,0,8,5,6,7,105,0,15,1,107,181,82,15,0,40,18,2,47,28,0,0,1,1,75,1,16,5,1,11,63,45 
