Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Bahrain,1314562,2695,61,292,46,530,16,47,0,0,865,83,53,13,14,56,2,77,65,265,206,3,6,0,0,0,0,20,0,0,0,21,8,0,279,5,2,13,35,9,17,28,1,43,5,7,14,16,13,7,12,13,37,474,0,5,10,194,86,81,7,0,28,30,4,26,38,2,1,1,0,78,14,7,12,0,9,7,79 
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Belarus,9474511,121542,893,17327,68,285,1714,2393,0,5,67473,1865,3881,76,139,664,1,179,253,14642,9684,7,445,0,0,0,9,54,1,0,0,31,275,0,17068,794,391,1843,2196,327,919,2889,,1106,318,329,422,799,310,533,541,259,26,194,4,,265,151,48977,13714,,4,549,1090,197,2117,,,0,0,0,1002,704,629,780,1755,1742,356,2716 
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Belize,351706,1587,134,186,17,181,8,36,0,0,368,145,87,3,11,39,0,49,26,12,285,3,4,0,0,0,0,23,0,0,0,0,101,0,175,2,2,9,13,13,6,15,2,18,17,9,6,16,2,7,4,11,13,148,17,10,2,89,98,99,9,0,74,34,2,53,23,3,0,0,0,84,3,25,1,4,24,114,30 
Bermuda,,484,7,148,2,25,4,43,0,0,186,21,8,0,3,10,0,2,0,0,25,0,0,0,0,0,0,5,0,0,0,0,1,0,147,5,1,1,14,5,11,28,2,8,0,9,0,21,5,5,3,1,1,19,0,32,0,14,83,35,19,0,2,8,0,5,9,0,0,0,0,14,0,4,0,0,1,4,2 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,3827343,35980,294,7821,40,2267,195,383,5,1,17906,1371,947,31,60,532,0,86,48,2944,1049,13,114,0,0,0,2,106,1,1,0,38,2,0,7762,132,93,511,909,393,437,1858,128,520,107,86,193,383,214,163,187,59,28,2231,1,104,16,1332,3882,4186,696,3,159,823,78,406,512,7,0,0,0,244,32,62,24,12,313,46,316 
Brazil,206077898,1227039,52146,201944,6094,73949,12305,32357,18,157,340293,138968,62768,4298,5324,32490,1889,22400,10943,71034,156907,4308,4833,82,4,133,257,16852,231,55,0,2882,12571,36,198279,7367,8098,14026,16321,9165,8891,25426,3433,14622,5448,3482,3320,14161,3777,7688,6474,3665,4082,57863,6305,19606,2022,45771,107892,99264,12409,279,70878,42210,3171,26360,17307,698,121,1100,484,44808,13323,5302,1027,1155,10659,59620,21013 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,417394,1470,85,315,11,166,6,33,1,0,408,147,38,11,13,40,0,24,22,68,82,3,17,0,0,0,0,42,0,0,0,5,1,0,298,10,3,21,35,23,7,62,0,29,11,3,11,12,8,20,15,17,3,141,0,8,1,64,177,103,9,0,63,54,2,12,27,3,0,0,0,28,8,7,4,2,5,1,27 
Bulgaria,7223937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Chile,17762647,101960,2599,26042,500,5188,1836,3584,4,1,28064,10448,7469,332,570,3073,56,842,971,2618,7746,460,377,3,0,16,34,744,9,18,0,107,506,0,25012,220,650,3265,2437,1220,1325,3055,429,1422,539,335,387,2054,559,1182,756,1030,373,4185,404,3448,142,5676,8102,8603,918,28,4232,3223,181,4332,1989,41,4,16,14,2056,878,322,338,209,1789,834,1320 
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Costa Rica,4757606,20290,391,4792,77,823,279,556,0,0,5968,1846,1467,93,189,685,21,271,263,376,2193,113,44,0,0,0,0,37,1,0,0,4,152,0,4542,91,51,612,482,264,213,284,98,328,125,71,86,405,91,297,192,250,49,711,22,435,41,650,2969,1358,129,7,586,872,67,714,505,6,1,12,8,654,74,110,15,55,268,443,574 
Croatia,4238389,50839,347,14206,20,1370,1188,856,0,4,24112,2227,2149,5,156,824,1,121,109,394,2750,43,40,0,0,0,0,193,0,0,0,52,4,0,13939,375,194,771,2094,491,678,2827,328,1071,130,265,300,750,443,520,382,267,8,1333,0,783,149,1589,10831,7300,1120,7,389,1721,184,1064,527,33,0,0,1,370,1114,79,30,102,722,38,295 
Cuba,11379111,96330,1204,24396,213,2521,4974,1570,27,15,36427,10155,3833,196,661,987,50,277,387,720,7717,318,38,0,0,0,3,126,1,16,0,193,373,2,23848,817,841,891,2468,774,870,5454,436,1541,485,648,286,2844,627,1017,549,548,164,2274,41,4765,125,3390,16280,9324,2796,1,5873,3977,379,1545,777,44,5,23,15,1007,2302,233,39,87,1454,600,1995 
Cyprus,853166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Czech Republic,10524783,105665,1737,27603,205,4090,1210,2664,1,3,48627,6210,4474,173,199,1220,4,143,166,1222,5714,263,39,0,0,0,2,1188,0,2,0,43,17,0,27050,728,523,1099,3540,826,1998,5259,484,1581,310,433,718,1509,793,985,889,553,69,3500,139,2477,327,2714,26039,9410,2350,39,2258,3128,386,2130,880,29,0,4,0,786,572,141,48,395,1489,79,2204 
Denmark,5639719,50993,882,15610,218,1693,3115,2043,0,2,12109,5522,2169,51,361,788,3,115,152,4121,2039,203,12,0,0,0,3,331,1,3,0,28,16,0,15304,348,397,415,1750,462,967,3716,359,1115,97,170,326,1142,462,576,456,306,142,1293,7,3343,84,836,3833,3266,853,13,1556,3363,217,789,463,23,1,2,0,210,495,34,57,193,629,38,383 
Dominica,,614,29,107,12,32,0,11,0,0,265,34,14,14,2,3,0,34,4,19,34,4,0,0,0,0,0,16,0,0,0,0,2,0,102,1,1,7,11,6,3,8,0,6,2,3,3,25,0,9,4,5,8,28,2,3,1,52,29,69,6,0,15,4,0,7,2,0,0,0,0,6,1,1,0,0,3,8,15 
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ecuador,15902916,62981,2017,10387,504,5325,194,1214,0,1,14536,6220,3941,122,384,1812,169,1330,850,5702,8273,137,417,3,0,1,2,460,3,3,0,27,828,0,9707,102,110,1585,678,650,332,717,186,520,371,349,180,833,91,535,544,680,398,4401,528,373,103,3572,4430,3777,269,42,3376,1656,223,2038,1564,67,24,104,38,3242,374,296,77,173,734,1045,2332 
Egypt,86811192,531864,18365,35335,5569,24862,894,6144,23,22,254011,40669,58490,407,314,20685,497,4831,8654,30717,21375,4019,244,59,0,0,26,4139,23,17,16,7270,17,4,32864,391,327,1721,1719,7236,1188,3462,118,2503,156,403,261,750,1484,319,3164,2471,954,19838,228,417,2414,32931,22517,41227,26625,26,15806,4502,310,55224,20454,77,14,464,6,11000,1881,1940,598,128,88,229,5511 
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Estonia,1314545,15470,127,3887,18,167,107,283,0,0,8250,550,584,11,39,120,0,13,29,310,975,0,28,0,0,0,0,20,0,0,0,11,47,0,3811,93,73,309,455,83,251,715,95,251,66,50,115,271,97,167,124,76,12,150,0,134,18,2604,3404,944,255,15,252,236,60,276,89,5,0,0,0,92,101,65,44,237,241,42,153 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Finland,5461512,52409,310,12270,64,679,2325,7916,0,1,19643,1837,2429,27,205,315,3,46,177,685,3477,17,40,0,0,1,2,146,0,5,0,9,3,0,11920,217,274,413,1229,489,1080,2152,271,813,53,194,346,859,242,818,364,350,25,498,1,8419,25,1579,10337,4428,1022,26,180,1256,145,1239,273,9,0,2,1,301,1141,115,70,493,789,78,490 
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Georgia,3727000,49087,554,5625,242,1127,96,599,6,0,20619,1341,1345,25,66,527,18,388,153,14422,1934,14,113,0,0,0,4,55,3,0,0,253,45,0,5373,129,66,479,340,325,219,916,136,515,158,101,131,235,151,192,161,252,170,1037,5,88,130,3280,5986,5745,273,9,481,299,120,603,471,15,2,13,3,626,183,49,81,37,195,87,676 
Germany,80982500,868356,17987,230771,2931,29270,35935,25858,9,21,338056,58604,38537,1416,3317,22247,29,1237,1665,25799,34667,5181,310,2,0,1,30,8519,5,33,1,854,388,5,223758,5448,5343,9610,25512,7686,16615,45084,3860,17670,1506,2472,5354,13704,5692,10866,7743,7013,1375,22643,269,35606,3111,37188,121166,55232,17877,67,16711,30488,2219,14744,16807,145,2,23,4,3723,11582,389,347,652,10217,370,7387 
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Grenada,106349,964,48,172,15,114,5,28,0,0,354,80,37,5,3,16,0,27,7,15,36,0,0,0,0,0,0,28,0,0,0,1,2,0,165,5,5,6,19,7,7,20,0,16,2,8,0,26,2,11,3,7,10,102,0,15,1,51,99,98,25,0,60,5,0,13,7,3,0,0,0,2,8,10,2,1,0,4,9 
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Guatemala,16015494,75809,4444,7958,700,7863,442,1385,0,1,12533,8983,6048,51,262,3394,291,3048,1449,4855,12102,2166,307,5,0,10,2,1206,2,1,0,48,465,3,7494,117,106,1395,306,1309,168,362,150,280,449,316,70,624,45,171,435,464,450,5916,1414,107,21,1075,5429,3304,123,5,6819,1085,647,3468,3127,110,18,237,36,1220,5,343,112,961,513,4135,4813 
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hungary,9866468,126308,810,33292,235,2902,3159,1747,0,6,62786,6908,6390,112,415,913,6,238,320,181,5888,346,87,1,0,0,3,56,0,6,0,200,15,0,32748,1460,544,1602,5050,904,1999,8733,588,2107,420,461,729,1280,906,857,886,544,123,2583,16,3311,309,7650,32139,12390,3076,3,817,5385,688,3440,607,89,0,2,4,810,1815,126,98,101,1927,92,919 
Iceland,327386,2048,29,628,4,31,79,183,0,0,674,159,56,4,14,32,0,3,8,22,122,7,0,0,0,0,1,13,0,0,0,1,1,0,620,10,13,19,76,24,50,133,9,52,3,3,13,53,14,24,16,8,1,27,1,212,1,37,316,130,26,1,61,77,3,9,24,2,0,0,0,7,16,2,1,20,44,1,31 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Israel,8215668,42170,2340,11193,319,3134,1358,1629,2,2,10088,3411,1404,460,337,2046,10,241,252,2193,1751,220,14,0,0,1,3,1864,1,2,0,90,27,0,10931,104,120,466,1246,348,903,1949,324,1017,95,192,290,444,373,755,508,262,205,2372,29,1859,138,888,3866,2361,351,14,1014,1296,38,379,1541,12,0,5,0,322,128,49,37,1,382,131,701 
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Japan,125432000,1273004,25569,379147,4275,21065,12684,28384,3,12,341760,202628,47979,1633,5992,36757,33,532,2042,92960,69549,2417,3065,9,0,1,0,11279,19,27,1,4747,45,0,368114,7415,11576,47903,48897,29543,31716,73396,1657,13240,2902,3527,4840,11507,7760,15728,8196,11033,1926,13669,1697,23032,2320,6932,73885,114207,20001,1130,119650,19073,2795,15692,30491,100,0,19,9,5717,7946,7508,1086,677,24429,359,21827 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,17289110,131895,1607,16395,169,2726,1128,11165,1,2,35843,16574,13499,125,838,4081,37,2162,1157,9250,15136,35,854,0,0,0,29,292,2,1,0,51,181,0,16109,495,911,2005,1573,731,865,2764,195,1252,630,284,489,347,267,334,475,286,85,2457,69,4815,298,1211,13028,12958,1874,14,3230,12314,703,10556,3640,378,2,24,11,2811,711,809,367,1895,3123,1022,4398 
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kuwait,4039445,6031,375,848,25,159,6,68,0,0,2273,577,126,3,11,96,7,235,221,87,914,3,8,1,0,0,0,344,0,0,0,14,2,0,798,14,9,31,78,36,46,110,5,121,7,16,20,32,27,68,26,50,15,127,0,2,3,141,1313,412,14,6,487,30,5,39,47,0,1,6,0,503,84,16,33,22,71,31,154 
Kyrgyzstan,5835816,35551,916,3753,45,444,45,545,0,1,17909,2192,2337,13,90,499,81,2494,290,790,3107,106,510,0,0,0,10,29,1,0,0,56,130,0,3700,110,141,668,217,298,173,496,62,266,209,56,91,70,60,56,133,53,28,418,2,14,174,513,11431,4820,151,41,637,1362,76,2002,485,9,2,58,21,890,93,197,58,401,461,205,802 
Latvia,1993782,28201,289,6080,40,529,306,306,0,3,16071,696,989,80,71,374,2,42,47,406,1870,4,66,0,1,0,0,33,0,0,0,46,102,0,5972,191,133,454,689,150,375,946,112,439,111,123,175,409,232,219,214,108,25,504,2,242,49,1077,8087,4874,430,2,346,282,141,413,265,46,0,1,1,240,177,182,110,150,382,138,491 
Lithuania,2932367,40252,677,8181,40,306,114,602,0,1,22523,1179,2091,63,89,339,1,41,94,573,3338,7,228,1,0,0,6,340,0,0,0,32,22,0,8028,248,202,698,932,192,475,1338,133,512,181,154,272,521,228,243,269,153,19,280,2,278,88,631,14729,5510,368,2,472,635,274,900,282,13,0,1,0,325,352,229,59,429,930,112,902 
Luxembourg,556319,3705,53,1131,16,125,185,152,0,0,1163,257,171,4,18,79,0,10,7,94,240,0,1,0,0,0,1,32,1,0,0,6,3,0,1095,21,26,50,106,44,94,253,26,85,8,14,31,48,37,45,41,36,9,94,9,210,16,51,324,224,54,2,66,128,5,71,64,1,0,0,0,29,52,1,3,8,67,4,76 
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Malta,427421,3270,25,933,8,172,139,76,0,0,1231,311,114,24,20,63,0,13,14,20,107,0,1,0,0,0,0,17,0,0,0,3,3,0,912,27,25,41,106,26,88,170,16,75,4,28,29,43,27,44,23,21,5,157,1,145,4,32,689,276,35,0,108,98,7,27,30,3,0,0,0,11,41,2,0,4,32,4,13 
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mauritius,1219265,9438,221,1186,64,2446,61,141,0,0,2997,907,342,48,34,141,7,85,55,180,523,18,17,0,0,0,0,61,0,0,0,8,112,0,1139,46,29,76,132,40,69,157,8,144,27,35,36,79,24,43,43,47,50,2369,25,31,5,399,1239,742,17,0,250,230,25,166,106,5,0,4,3,158,52,47,20,6,120,23,97 
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,125385833,618097,16472,81283,4714,107353,5273,10581,16,37,154566,54535,57919,2655,4718,20669,995,12927,9439,9919,63762,3381,2279,7,0,22,1,3709,7,3,0,1126,4763,0,75652,1173,1018,5721,5314,5996,3988,6606,1596,5895,3987,963,2249,6152,1072,4119,4335,5631,3547,91980,7048,2934,786,21994,80162,32371,2013,207,19276,24205,2319,33692,14785,763,81,513,281,16079,2621,2022,464,1005,6215,18976,16380 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,32,0,4,1,4,0,1,0,0,11,6,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,1,0,3,5,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,16804432,139223,3104,44808,485,3529,10193,6806,24,19,37862,10454,4374,309,1046,3076,5,379,430,5507,6813,491,34,0,0,1,6,1719,2,3,0,30,38,2,42984,615,1759,1305,4951,890,2684,10357,928,3018,198,497,1027,2543,1148,2048,1241,1824,330,2761,34,12873,228,1409,8874,9336,2628,66,2899,5868,138,1002,1887,45,0,4,1,584,2405,77,37,136,1839,123,1612 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
