Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,3102764,17965,105,2986,,,82,460,13,1,8994,1001,315,9,41,259,1,93,62,2087,1222,7,13,0,0,0,0,22,2,0,1,3,1,0,2746,69,32,371,111,,105,651,41,138,13,31,20,156,0,47,89,240,30,149,9,50,21,539,2675,3214,282,41,482,375,14,1,213,24,0,1,0,361,58,77,22,85,124,166,329 
Anguilla,,70,1,13,1,8,2,6,0,0,20,3,4,0,1,1,0,0,1,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,0,1,6,1,1,0,4,4,2,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,1,1 
Antigua and Barbuda,80904,451,12,81,9,68,1,6,0,0,184,29,12,2,1,8,0,1,7,7,23,0,0,0,0,0,0,7,0,0,0,0,5,0,79,2,2,7,8,6,1,5,2,6,4,0,0,18,0,3,3,2,7,55,6,0,1,35,50,36,4,1,20,2,1,5,6,0,0,0,0,9,0,2,1,1,1,2,7 
Argentina,38309475,301870,13658,57341,1204,13155,2684,4288,0,3,94982,41371,11757,1253,761,8370,321,5769,2857,22996,18863,482,762,14,0,16,39,9755,24,1,0,188,1570,0,54906,886,1897,2871,5995,1665,3309,8373,696,5456,1011,1383,1044,3645,1313,2200,1651,2435,890,9132,1783,2992,249,5667,19797,23064,4055,19,14342,5370,396,4305,6976,53,83,186,34,3750,367,706,384,176,3304,2779,7397 
Armenia,3211267,26014,235,4369,,,21,,,,14253,1561,1001,5,68,431,8,193,156,673,1039,21,155,0,,0,2,23,,,0,,,0,4356,88,45,451,351,,,892,,446,101,106,,122,,118,139,13,23,1708,,,141,353,8571,4184,278,6,196,1199,140,629,335,36,1,,,199,24,29,17,45,59,60,606 
Aruba,97015,506,12,141,5,38,5,3,0,0,180,18,19,7,1,9,0,1,2,22,43,0,0,0,0,0,0,9,0,0,0,0,2,0,140,2,3,11,15,3,8,19,3,18,4,4,2,13,0,4,7,1,3,32,2,1,0,19,42,39,15,1,11,5,1,10,5,0,0,0,0,18,2,5,1,1,2,4,10 
Australia,19872646,131784,1742,38266,444,4772,3238,4321,7,6,48603,11828,4494,307,1010,2980,8,603,596,886,7673,48,53,0,0,0,24,1066,3,21,0,85,110,2,37445,673,1130,1168,4429,891,1881,6986,1535,2710,239,297,781,2834,871,2315,1384,821,234,3425,85,4409,284,1357,25295,12209,2532,65,3496,5925,380,1375,2236,38,0,8,0,1768,717,192,94,668,2156,257,1821 
Austria,8118245,77209,579,19691,94,3473,562,2483,0,1,34914,5111,3603,33,210,1098,2,208,224,662,4261,28,45,0,0,0,5,41,2,13,1,323,49,4,19231,473,279,1150,2592,784,1336,3332,339,1599,174,319,558,1160,510,920,694,460,43,3034,1,652,226,1342,15769,7401,2089,18,1541,3191,225,1980,1033,3,0,2,0,937,1098,97,44,24,1456,47,558 
Azerbaijan,8234100,49379,1302,6297,218,1312,113,945,1,1,28176,3192,2834,7,128,897,21,400,180,1246,2109,141,970,0,2,2,44,0,2,0,5,58,0,1,6285,35,357,1103,356,448,239,909,,437,63,203,88,314,136,68,248,12,134,1248,8,,116,1881,17275,6431,,2,1427,907,284,2061,,,1,19,0,548,29,193,321,125,129,213,551 
Bahamas,315757,1649,210,318,12,119,10,28,0,0,504,74,72,9,12,41,2,33,18,29,158,3,3,0,0,0,0,22,1,0,0,2,176,0,313,8,9,15,25,14,3,34,4,34,14,8,7,51,2,22,15,5,7,110,1,8,3,176,92,107,20,0,38,9,5,41,26,1,1,1,0,48,8,21,3,1,1,50,26 
