Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,3011490,17427,83,2768,,,117,429,11,6,8817,786,301,8,34,282,6,66,52,2195,1214,8,8,0,0,0,0,17,1,0,0,3,0,0,2560,70,43,352,108,,123,543,31,126,22,54,10,146,0,43,72,208,26,140,10,73,39,601,2540,3123,258,29,292,367,23,151,222,30,0,6,0,0,0,0,0,0,0,0,0 
Anguilla,,56,0,20,0,10,1,1,0,0,13,1,3,1,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,3,3,1,0,1,0,1,1,0,0,4,0,0,1,0,0,8,1,0,0,1,4,5,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1 
Antigua and Barbuda,82565,489,20,70,9,64,2,10,0,0,191,30,20,6,0,11,0,7,4,21,24,0,0,0,0,0,0,10,0,0,0,0,8,0,70,0,2,6,6,1,3,4,1,5,3,2,4,14,0,1,4,0,7,56,1,2,0,32,64,34,3,0,12,5,1,8,10,1,0,0,0,0,1,0,0,0,0,0,23 
Argentina,39145491,293161,14003,58940,995,12029,2161,4045,0,4,89490,41323,11749,1160,652,8307,290,4917,2643,21765,18436,346,711,12,0,8,32,10527,40,2,0,218,1303,0,56211,798,1905,3043,6276,1701,3508,8493,700,5361,930,1383,1076,3784,1382,2166,1812,2729,650,8963,1199,2356,153,5170,19477,20599,3197,14,15062,5562,338,4244,6763,44,79,146,51,3878,319,562,454,365,3069,2028,7761 
Armenia,3217534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aruba,100031,491,18,118,1,44,5,12,0,0,139,23,17,1,0,11,0,3,1,42,56,0,1,0,0,0,0,11,0,0,0,1,1,0,117,4,3,11,14,7,4,12,1,12,0,5,1,4,0,6,5,1,0,37,0,9,1,15,45,36,8,0,12,3,1,9,7,0,0,0,0,15,1,9,0,2,10,6,13 
Australia,20127363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Austria,8225278,75189,635,19674,137,4534,690,1911,1,2,32636,4670,3354,49,306,1039,3,200,229,680,4439,28,54,1,0,0,6,35,2,11,0,336,71,1,19124,446,307,1066,2394,789,1318,3348,382,1583,180,280,539,1097,481,822,695,550,63,3710,2,696,202,2312,14944,5564,2182,27,1505,2792,223,1715,938,16,1,2,0,768,1166,88,44,21,1399,67,886 
Azerbaijan,8391850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bahamas,329243,1824,201,291,19,106,14,37,0,1,595,100,73,29,7,24,4,67,18,32,206,2,4,0,0,0,0,35,0,0,0,0,158,0,290,10,9,16,30,5,7,28,4,42,10,6,8,37,7,16,6,1,16,95,3,19,0,189,126,136,14,0,25,20,10,29,17,2,2,1,1,66,1,31,4,0,4,55,45 
Bahrain,888844,2215,94,267,38,232,8,48,0,0,527,142,65,49,4,91,0,62,46,337,205,4,8,0,0,0,0,61,0,0,0,9,8,1,261,5,7,14,24,9,15,41,0,30,3,5,9,11,7,18,13,6,36,201,2,2,2,164,102,63,11,0,39,65,0,22,82,0,0,0,0,95,0,0,0,2,42,2,64 
Barbados,274013,2503,178,523,35,258,14,61,0,0,703,273,82,65,18,92,0,32,17,69,83,2,2,1,0,0,0,139,0,0,0,0,19,0,520,15,10,24,66,14,22,27,3,55,15,19,9,101,8,29,15,3,31,233,0,28,1,136,110,170,41,0,181,26,4,28,59,2,0,0,0,21,3,6,4,0,1,19,29 
Belarus,9775307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Belgium,10478617,102934,2557,27210,344,2710,3120,3708,0,5,34600,12153,4600,368,416,1685,4,233,219,2542,6460,323,88,1,0,1,19,1453,2,7,0,113,59,0,26261,527,639,827,2955,683,1454,6422,368,2268,169,344,669,1522,837,1109,873,949,174,1708,139,4342,273,949,11490,7792,1541,160,4239,4897,297,1323,1356,30,0,4,0,1151,1138,78,72,179,2029,163,1650 
Belize,283279,1369,128,168,13,116,3,27,0,1,314,124,55,4,3,32,10,66,24,17,264,20,6,0,0,0,0,24,0,0,0,0,76,0,165,7,4,7,3,15,6,23,1,11,10,6,0,34,2,2,6,3,11,94,9,4,4,95,85,61,11,0,70,31,1,31,26,2,1,8,1,82,7,27,3,1,12,47,85 
Bermuda,,464,6,113,1,34,3,14,0,0,165,31,17,2,8,13,0,5,0,8,44,1,0,0,0,0,0,3,0,0,0,0,2,0,109,3,4,3,13,1,10,20,4,12,0,0,2,7,3,4,3,4,0,31,1,11,0,15,60,45,12,0,14,13,3,5,13,0,0,0,0,19,6,4,0,8,3,2,2 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,188479240,1006827,46600,147412,4993,53971,8926,16382,13,112,283874,97325,50082,2012,3084,18360,1661,29768,9832,104405,127563,5564,5285,133,4,21,447,12723,108,29,0,2400,11100,121,145427,5818,6457,12435,10320,6237,5729,18077,2358,10208,4506,2898,2408,10214,2598,5504,5333,1985,3434,40311,6875,6715,2037,33483,84935,89992,10326,150,35896,36546,3040,22676,12285,504,150,1130,297,36603,6875,6170,859,231,8551,47564,20710 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,370100,1072,34,220,1,118,2,20,0,0,310,122,20,1,10,40,1,26,25,40,82,1,12,1,0,0,1,15,0,0,0,1,2,0,215,12,0,11,31,11,5,51,,17,6,1,10,5,3,15,7,5,1,118,0,,1,54,87,71,,0,49,47,8,1,,,0,1,0,45,2,14,0,2,7,3,9 
Bulgaria,7739900,113374,650,17937,152,1979,121,831,4,6,74932,4469,3312,52,86,1193,8,279,251,3181,3931,22,274,0,0,0,9,167,1,1,0,58,2,1,17777,443,193,1599,2526,872,932,3468,280,1293,344,410,409,789,496,343,416,160,129,1904,7,103,132,8326,17753,22372,6582,33,1721,1802,337,1846,1136,25,1,7,0,922,395,180,112,190,982,184,966 
Canada,32299496,230132,4154,68790,901,10266,7750,10786,4,6,71749,20485,8952,317,1581,5200,30,1044,917,2461,14739,970,129,0,0,1,13,1690,3,28,0,398,468,3,67343,1053,1518,1967,7478,1686,3459,17913,1018,4990,369,678,1577,3586,1626,3911,2255,1447,494,7881,209,12213,457,2212,38480,14054,4254,678,5167,10515,386,2886,3915,60,2,18,8,3237,2305,267,213,1021,3743,576,3377 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,158,8,36,1,9,0,2,0,0,53,17,5,0,0,5,2,4,0,4,12,0,0,0,0,0,0,8,0,0,0,0,0,0,36,0,1,0,6,2,2,8,0,1,0,0,2,8,1,1,0,0,1,7,0,0,0,14,19,9,4,0,7,1,0,4,5,0,0,2,0,5,1,2,0,0,0,3,1 
Chile,16096571,86102,1767,21394,329,4251,2570,2342,1,4,24290,8005,6130,291,480,2566,48,808,929,2379,7518,201,599,3,0,8,12,254,3,7,0,63,390,1,20480,196,766,3092,1497,809,881,2297,301,1169,677,208,367,1514,402,955,580,914,254,3382,538,2918,281,3161,7948,7698,859,29,3095,3067,221,3733,1609,91,7,21,17,2301,725,488,296,109,1682,946,971 
Colombia,43285636,188837,7050,31547,864,9622,62,2611,0,3,55814,19315,8662,926,1383,4329,504,5798,2641,3163,34518,1134,1106,41,0,22,27,1468,27,4,0,165,2304,84,30693,475,674,4540,2020,1588,1048,3691,535,1849,1693,432,646,2277,398,1395,1443,854,519,7262,1848,201,239,5166,26298,13823,1710,14,6385,9963,737,2372,2759,134,54,328,112,6129,1138,1019,121,127,2119,18844,5021 
Costa Rica,4247843,15519,385,3515,70,766,118,434,0,0,4546,1438,1052,57,93,411,24,326,276,117,1891,91,65,0,0,1,4,37,3,1,0,11,123,0,3353,51,46,559,312,166,160,255,47,210,118,43,55,280,59,206,164,162,40,694,17,165,56,630,2188,933,132,4,395,751,61,506,337,7,2,13,9,597,82,146,22,6,274,301,463 
Croatia,4441946,51790,316,12783,49,1109,679,622,0,2,26029,3180,2360,31,81,758,3,112,141,657,2878,20,116,3,0,0,7,109,0,0,0,42,3,1,12640,384,208,906,1747,380,611,2640,249,922,105,207,282,636,329,397,339,143,21,1077,0,348,24,903,9948,8154,1346,38,1629,1342,225,1280,547,25,0,1,2,638,747,79,41,87,875,59,352 
Cuba,11261052,84824,889,19573,226,2254,2871,1237,19,18,34796,9788,3083,148,637,738,66,319,478,637,7047,332,43,0,0,0,11,87,0,10,0,102,120,1,19180,575,477,778,1934,663,708,4484,300,1208,459,646,225,2260,445,783,544,393,164,2022,42,2658,199,1765,16387,8771,3320,0,6400,3082,329,1256,529,94,6,39,17,1317,1754,263,60,36,1398,684,1535 
Cyprus,742836,5425,54,1012,31,387,41,104,0,0,2125,364,174,29,23,140,0,26,11,494,410,4,4,0,0,0,1,29,0,0,0,4,3,0,979,4,5,27,70,40,43,176,22,87,5,17,21,98,25,63,51,33,22,346,0,71,17,157,687,430,83,0,103,112,8,51,109,1,0,0,0,234,15,13,2,3,17,14,112 
