Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Bahrain,960422,2317,85,254,29,344,8,43,0,0,529,127,58,22,6,81,0,57,39,363,272,4,4,0,0,0,0,51,0,0,0,13,9,1,246,7,3,10,34,9,10,42,0,39,1,5,11,10,6,6,11,8,27,318,3,1,2,188,92,72,6,0,43,50,5,23,72,0,0,0,0,97,0,0,0,0,28,0,147 
Barbados,275040,2326,132,483,26,250,18,37,0,0,697,232,92,61,7,89,1,42,10,59,90,1,0,0,0,0,0,99,0,0,0,3,22,1,478,13,13,36,72,9,21,15,2,44,9,16,7,84,3,23,14,5,18,211,1,14,1,119,172,170,34,0,142,34,12,28,23,2,1,0,0,21,0,4,5,0,9,46,5 
Belarus,9732501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Belgium,10547959,100102,2299,27049,316,2618,3343,3871,1,4,32896,11067,4439,317,414,2051,9,235,205,2644,6324,294,59,1,0,1,8,1202,4,3,0,117,49,0,26152,515,630,828,2943,695,1417,6469,360,2268,162,356,663,1425,823,1157,876,897,186,1617,117,4629,280,947,10332,7457,1504,36,4018,4467,287,1330,1364,14,0,8,1,1104,1075,78,92,199,1935,146,1695 
Belize,290751,1395,125,167,9,156,2,25,0,0,315,120,70,5,2,31,3,66,28,29,242,18,16,0,0,0,0,13,0,0,0,2,75,0,160,1,3,16,5,16,4,20,3,8,10,4,1,28,0,2,6,7,5,132,12,0,2,84,66,69,14,0,70,26,3,39,26,3,0,3,0,68,6,18,9,0,11,47,83 
Bermuda,,453,8,106,3,22,2,16,0,0,182,19,21,3,7,11,1,7,1,16,28,0,0,0,0,0,0,4,0,0,0,0,4,0,104,4,1,2,13,1,10,31,1,8,0,1,3,10,0,5,3,2,1,20,0,12,0,6,83,36,19,0,4,8,3,6,10,1,0,1,0,14,4,0,0,2,1,0,7 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,190698241,1031696,46500,155779,5496,58895,9937,19165,28,145,302792,102853,51920,2465,3597,17420,1634,28235,10293,85475,128591,6010,5327,151,1,21,438,11464,110,25,0,2638,11046,105,153059,5876,6796,12645,10821,6723,6014,18715,2510,10834,4602,2897,2571,11007,2622,5795,5459,2720,3949,45043,6692,8332,2192,36707,90639,96558,10289,181,42318,38568,3130,23433,11641,542,139,1114,304,37238,7903,6134,945,612,8643,49102,18014 
British Virgin Islands,,79,1,15,1,7,0,4,0,0,25,2,3,0,0,0,0,6,0,6,9,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,1,0,0,1,3,1,2,0,0,1,7,0,1,0,11,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,2,3 
Brunei Darussalam,383000,1095,30,223,2,122,1,14,0,0,352,113,20,1,3,52,2,21,17,40,82,0,10,0,0,0,0,15,0,0,0,2,2,0,220,16,2,11,29,12,9,39,,20,9,4,10,6,3,11,2,3,1,116,0,,2,52,98,102,,1,36,49,4,5,,,0,1,0,39,7,10,0,1,10,3,12 
Bulgaria,7699020,113438,624,17710,160,2237,118,841,6,2,75332,4181,3196,37,69,1187,5,283,185,3351,3914,28,270,3,0,0,16,184,2,2,0,51,2,0,17549,525,194,1536,2443,946,899,3337,280,1245,335,449,447,799,502,384,406,161,119,2164,5,105,106,8099,16513,23003,5445,14,1581,1759,307,1691,1152,15,0,5,0,1078,364,185,118,141,977,144,907 
Canada,32611436,228079,4229,69222,757,9570,9793,10803,1,10,69019,19069,8951,300,1579,5255,28,1013,865,3092,14523,930,125,0,0,0,12,1852,3,27,1,457,428,0,67807,1022,1560,1976,7229,1697,3612,18232,1129,4842,375,724,1569,3564,1729,3841,2281,1415,395,7261,170,14456,443,2078,36966,13805,3733,141,5011,9786,373,2971,3960,74,1,18,6,3097,2580,287,197,1134,3512,487,3229 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,167,5,51,1,6,0,3,0,0,42,11,6,1,0,6,0,3,1,7,24,1,0,0,0,0,0,4,0,0,0,0,0,0,50,0,1,1,4,2,1,13,1,2,0,0,2,7,0,0,0,1,1,4,0,1,0,13,14,3,2,0,3,2,0,3,3,0,0,0,0,12,0,3,0,0,3,1,5 
Chile,16279728,85639,1753,21653,346,4242,2332,2408,1,9,24087,7691,6226,260,511,2463,47,816,887,2060,7847,189,591,2,0,6,7,225,3,6,0,71,422,0,20781,184,678,3109,1557,867,926,2411,270,1145,669,207,376,1598,369,1020,607,872,261,3335,503,3025,276,3110,7943,7608,782,11,2973,2934,211,3794,1591,86,7,22,18,2309,843,472,291,301,1795,921,915 
Colombia,43835744,192814,6751,32236,870,9554,45,2742,1,3,57786,19639,9284,1054,1562,4909,519,5387,2741,3379,34321,1064,1102,35,0,12,14,1214,24,8,0,153,2343,74,31091,494,687,4551,2257,1703,1113,3812,562,1910,1608,415,655,2198,371,1383,1449,1145,547,7191,1806,208,276,5462,26763,14284,1862,15,6534,10189,767,2421,3184,162,43,323,134,6425,1178,1076,165,123,2188,18010,5156 
Costa Rica,4308790,16641,391,3685,71,729,159,449,0,0,4800,1361,1163,63,136,437,24,364,253,409,2147,65,61,0,0,6,3,30,6,1,0,19,141,0,3516,76,64,532,321,161,158,222,70,255,103,49,61,293,50,239,188,169,49,629,34,234,56,704,2310,940,148,2,326,689,80,584,340,6,1,13,10,680,89,132,18,55,351,326,496 
Croatia,4440022,50378,379,12700,38,1131,651,683,0,2,25611,2494,2321,19,81,750,4,116,125,520,2753,20,142,2,0,0,1,153,0,0,0,41,8,0,12551,362,230,856,1800,417,582,2717,210,830,94,203,287,604,328,449,348,149,20,1112,0,411,27,854,9822,8075,1199,4,1183,1155,226,1228,573,25,0,2,2,659,729,78,41,111,798,81,256 
Cuba,11275199,80831,812,20151,217,2276,2602,1052,21,10,32690,8791,3018,134,460,732,62,313,402,635,6453,239,47,1,0,0,4,111,0,3,0,103,113,1,19772,625,527,792,1976,672,783,4568,325,1216,484,603,230,2257,510,824,583,379,165,2087,36,2531,234,1815,15388,8340,2824,0,5675,2805,347,1117,570,68,14,29,12,1103,1643,253,47,79,1376,576,1376 
Cyprus,755266,5127,35,1017,32,390,57,126,0,0,2040,343,182,17,27,158,1,8,13,387,294,2,2,0,0,1,1,20,0,0,0,2,2,0,989,7,13,46,88,39,40,155,12,95,7,18,22,82,31,63,37,28,23,335,1,113,15,155,686,491,79,0,96,98,12,53,119,0,0,1,0,92,25,16,4,11,19,14,113 
Czech Republic,10266646,104441,457,28180,92,1561,187,2045,0,1,52560,5669,4730,40,54,1720,9,204,104,935,5893,16,61,0,0,0,4,316,0,0,0,16,1,0,27895,669,452,1298,4183,881,1841,5529,474,1909,366,496,764,1365,746,910,846,285,38,1487,8,963,159,1371,22952,13917,7083,15,3035,1891,604,2219,1505,36,2,7,0,1087,1218,211,68,296,1400,106,1507 
Denmark,5434567,55218,799,16031,188,1922,2719,1499,0,0,16971,5253,2925,73,385,1006,5,132,172,2466,2672,147,21,0,0,0,6,365,0,5,0,24,27,0,15626,299,401,381,2075,310,841,3785,272,1246,106,186,419,1179,548,618,434,405,126,1302,45,2347,11,642,6236,4632,1435,25,1740,3097,455,969,560,49,0,5,0,324,312,46,67,188,650,36,1049 
Dominica,,539,11,123,6,52,5,13,0,0,191,58,17,11,2,1,0,8,6,6,28,0,1,0,0,0,0,6,0,0,0,0,2,0,123,5,1,9,7,2,5,8,0,13,8,3,0,38,4,5,2,0,3,43,0,5,0,31,56,63,5,0,29,20,0,6,0,1,0,0,0,6,0,6,2,3,0,2,9 
Dominican Republic,,25335,1408,3639,146,1527,88,421,0,0,8041,1919,1095,13,63,333,47,1175,316,1179,3800,129,321,21,2,0,10,149,13,0,0,68,575,6,3499,132,42,216,230,304,114,410,75,286,150,96,27,659,32,119,117,140,131,1382,82,127,38,1054,3154,2616,111,3,637,584,135,717,282,34,5,28,14,1250,25,25,16,4,158,572,1750 
Ecuador,13967490,57895,2786,8452,631,3862,149,959,0,1,13242,5062,3326,21,179,1719,135,1823,617,6321,8610,483,775,7,1,0,3,652,7,0,0,27,699,9,8233,106,110,1596,473,651,268,578,97,405,241,483,130,707,62,364,431,219,543,2972,593,133,104,2766,2625,3165,355,35,3053,1067,191,1833,1633,66,12,117,6,2527,494,521,91,211,900,2348,1518 
Egypt,72010572,442057,14046,26390,4505,8384,360,4729,36,16,200412,30456,43833,237,173,15176,604,6120,5669,63806,17105,5247,640,77,0,1,32,1906,15,12,24,4197,5,2,23689,322,235,1107,994,4545,653,2342,42,1815,91,282,187,487,1715,129,2508,2701,699,3686,337,668,1146,18230,13294,35250,18359,9,11831,5894,281,39957,14965,81,6,536,55,5505,721,1589,101,73,43,75,8998 
El Salvador,5967556,31453,1349,3393,157,1652,697,585,0,1,5761,2618,1535,70,107,2030,21,294,377,4458,6348,243,48,4,0,0,0,571,0,0,0,2,448,0,3389,68,54,512,130,235,100,230,14,127,219,182,56,182,21,44,176,4,142,1273,261,21,1,400,2277,972,14,0,1561,523,155,883,1928,30,1,20,0,1633,260,238,27,259,411,3423,97 
Estonia,1346810,17316,149,3585,17,262,162,281,0,1,9187,496,667,21,41,129,1,26,43,620,1628,0,67,0,0,0,0,10,0,0,0,9,49,0,3533,77,54,366,420,79,224,708,73,231,63,67,97,207,88,113,133,52,7,236,4,105,39,728,4854,2228,443,0,168,252,71,328,117,9,0,1,0,245,113,72,145,229,247,99,478 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,827390,6140,515,577,28,918,6,58,1,0,2293,411,146,5,9,186,7,185,29,420,346,61,25,0,0,0,0,378,5,0,0,3,3,0,562,14,10,25,31,42,12,39,1,78,73,14,36,41,4,17,33,15,22,841,9,2,11,517,648,360,18,0,156,182,18,54,179,5,1,5,1,92,9,54,30,3,24,9,125 
Finland,5266268,48106,335,11046,57,592,2685,3200,1,0,19980,2126,2409,34,287,470,4,73,183,287,4337,44,60,0,0,0,5,122,2,7,0,3,9,0,10777,145,191,526,1061,421,885,2005,246,856,57,140,329,814,227,721,325,269,24,473,2,4677,50,539,11733,4538,807,14,618,1220,214,1105,363,26,0,3,1,443,1178,135,109,861,1062,107,442 
France,61597642,515952,9802,155480,2185,18753,16391,27158,3,23,145453,30605,23088,1791,3498,8346,59,1376,1500,33574,36867,857,727,6,0,5,31,4057,2,46,0,731,809,15,149100,4118,3837,4763,16426,7454,8263,28347,2118,11441,703,2323,3342,8937,4689,7132,5376,6380,1220,10973,2344,26357,1510,8280,38806,32652,9323,117,9654,8656,764,8616,6510,128,6,48,5,4781,5239,1008,496,1189,10423,415,13316 
French Guiana,210301,726,54,101,10,46,18,17,0,0,131,24,17,2,4,6,1,35,9,116,135,7,1,0,0,0,0,6,0,0,0,2,26,2,93,7,1,8,8,4,1,7,1,6,8,6,3,11,1,5,4,8,7,30,4,8,1,17,15,51,7,0,8,13,0,7,5,0,0,1,0,21,4,16,4,17,13,24,36 
Georgia,4398000,42255,242,4830,0,464,7,288,0,0,28365,850,1147,0,2,308,11,661,59,3755,1266,1,136,0,0,0,0,90,0,1,0,9,0,0,4824,55,22,305,205,139,88,568,42,301,50,124,45,122,85,44,103,6,0,456,0,1,108,658,6245,9553,592,11,144,101,114,944,302,3,0,8,3,219,32,26,74,30,72,54,759 
Germany,82365810,821627,12354,217095,2044,26624,14077,19394,6,11,358953,54888,42973,677,2282,15087,41,1390,1473,19978,32280,1385,433,5,2,0,56,6733,19,34,1,1058,504,5,211523,4734,4716,10923,27225,6680,13942,40771,2880,17286,1492,2395,5636,11577,5442,9473,7107,5572,990,22308,200,13499,2382,28503,144189,65133,20399,66,20368,24955,3307,16301,11708,93,3,32,2,5359,8381,418,406,758,9775,484,6699 
Greece,11148533,104968,796,25671,,,98,1227,0,0,50278,8855,2542,20,392,1750,3,194,208,7385,3881,1,81,2,0,0,2,560,0,0,0,93,22,0,25660,289,181,1321,2100,180,1331,6038,304,1870,95,319,472,1537,990,778,1191,11,57,1317,0,644,2,1315,12689,17065,900,0,802,1879,315,821,1650,0,1,1,1,1802,489,261,72,448,394,95,320 
Grenada,103259,792,24,160,6,66,3,24,0,0,275,44,24,12,6,21,0,17,7,53,50,0,1,0,0,0,0,17,0,0,0,1,4,0,160,6,7,9,5,7,5,17,0,8,5,2,4,28,0,14,1,0,4,62,3,2,1,23,62,91,14,0,33,6,4,11,15,3,0,0,0,14,1,6,3,0,1,2,23 
Guadeloupe,452714,2914,99,726,19,205,63,113,0,0,831,116,125,8,7,72,2,47,17,204,260,6,1,0,0,0,0,43,0,0,0,1,32,0,697,23,19,58,62,38,27,49,3,51,12,25,5,112,12,49,24,29,8,154,8,60,7,104,105,311,46,2,44,24,6,53,55,2,1,1,0,77,10,21,4,9,39,11,89 
Guatemala,13490041,69756,5565,6790,378,6242,929,1548,0,4,9791,10127,4538,172,196,1952,298,3692,803,4317,12414,3067,325,9,0,12,2,1058,7,0,0,79,722,32,6723,137,100,1445,207,1016,146,372,68,190,293,362,56,415,23,90,400,67,265,3120,2553,79,12,1517,2580,1795,153,17,8131,922,804,2331,1779,48,12,285,1,378,16,87,39,409,300,4300,6885 
Guyana,743705,5031,560,406,62,536,14,79,0,1,1699,260,294,1,8,87,20,163,52,34,755,75,93,0,0,0,0,60,0,0,0,7,298,20,370,8,5,35,24,24,12,28,2,35,33,17,10,57,2,8,11,36,55,441,35,12,4,234,610,504,36,0,157,58,22,191,70,8,4,13,3,172,17,39,7,1,202,159,158 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,6857100,37415,1060,12325,95,604,298,286,0,2,9680,6610,1475,237,121,1864,1,39,97,649,1961,10,294,1,0,0,1,676,1,0,0,6,8,0,12093,526,359,635,1628,1462,397,3531,47,463,133,84,136,285,182,445,254,232,40,511,2,309,96,806,3749,3302,419,8,4201,1924,112,514,1330,20,0,1,0,176,172,56,14,149,1042,35,317 
Hungary,10071370,131603,435,32396,200,3473,2157,1605,0,11,66561,6287,8638,124,398,892,8,307,383,132,7596,41,188,2,0,0,7,82,0,7,0,4,5,0,31283,1585,586,1847,4695,724,1692,7721,468,2059,420,385,610,1180,769,833,894,1113,91,3137,14,2018,128,6041,34910,14536,3323,2,687,5024,851,5482,730,62,1,7,0,1613,1852,213,162,182,2461,191,922 
Iceland,304334,1903,19,504,5,33,75,123,0,0,716,150,52,1,12,43,0,3,6,16,145,0,2,0,0,0,0,9,0,0,0,0,3,0,493,8,11,20,53,11,33,121,14,35,2,7,12,38,23,15,17,11,3,27,3,145,2,29,363,159,27,2,54,87,4,7,26,1,0,0,0,39,30,1,1,5,32,1,36 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,4239830,28482,152,8171,,,664,710,3,0,9979,4078,1037,62,203,703,0,111,179,102,1480,3,41,0,0,0,5,44,0,1,0,18,0,0,8066,140,327,349,1004,66,410,1623,159,678,83,89,275,543,188,398,273,105,47,539,5,752,46,354,5017,1947,606,2,1972,1318,117,232,418,5,0,0,0,303,329,53,32,84,452,42,185 
Israel,7053707,38564,1336,9861,213,2923,414,1141,3,2,10725,2956,1362,487,154,2377,11,248,244,2147,1960,77,34,0,0,1,5,984,0,1,0,158,22,1,9625,96,115,466,1232,274,756,1579,241,922,61,135,242,399,233,635,460,236,135,2386,4,628,134,692,4828,2507,331,1,756,1172,53,355,1939,16,0,11,0,469,83,45,26,2,367,216,752 
Italy,58941499,558614,7361,168664,2564,23556,8735,19286,40,25,220074,35751,23134,905,3066,9088,11,1161,1385,9401,24407,183,407,18,0,1,20,2721,7,40,1,1654,964,4,160945,2745,1736,10620,18067,9680,9574,32677,2065,11476,351,2404,2955,7460,5279,7994,5626,7719,1775,19297,362,16670,1780,23405,74450,60942,9189,298,6749,20257,962,10049,7940,197,3,7,1,6140,2926,378,225,394,3701,533,10110 
Jamaica,2691444,13682,600,2843,255,1922,36,308,0,2,4544,764,401,173,93,287,14,387,135,313,605,26,7,3,0,0,1,112,2,0,0,5,391,0,2758,37,52,185,210,106,85,365,12,228,133,68,50,522,37,174,106,85,129,1696,66,91,18,907,1032,1741,156,3,149,401,69,112,147,51,3,11,0,55,7,18,16,5,0,19,485 
Japan,126154000,1084450,24011,339424,4180,19605,5168,14251,9,15,324786,162907,42429,990,4848,27859,63,828,2306,37659,73112,2190,4073,5,0,1,4,8862,18,21,0,5815,60,1,329314,6018,11345,50415,41381,33662,23366,63255,1261,11177,2481,3032,4435,9527,6126,12549,7429,10110,1589,13650,1520,7385,2468,5810,75429,128268,14581,865,107242,18764,3403,16267,24855,79,5,36,13,9048,6601,6038,1509,873,29923,582,18538 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,15308084,157210,3896,18156,135,1334,507,1455,1,2,81605,8245,7631,82,169,1499,100,2062,1341,5985,23005,96,3107,0,0,0,65,325,4,0,2,68,99,0,18019,484,1303,2427,1567,982,867,3285,,1384,589,334,425,323,332,183,489,137,75,1165,43,,577,5002,36210,20171,,46,2873,4460,504,5695,,,5,77,6,4896,575,1131,385,3598,4086,2032,6302 
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kuwait,2389498,5247,128,677,33,200,5,71,0,0,2198,273,143,3,0,102,1,187,264,114,848,1,25,0,0,0,0,61,0,0,0,35,3,0,649,11,8,21,54,46,39,84,3,60,7,16,18,27,27,39,71,28,18,186,1,3,12,168,900,490,26,1,183,68,8,69,98,0,0,1,0,482,73,15,37,18,48,40,135 
Kyrgyzstan,5164206,38568,1263,3107,55,391,113,543,0,4,18301,3996,2586,21,158,867,67,2150,493,622,3831,209,840,0,0,0,28,66,6,0,0,46,17,0,3050,115,150,539,203,222,108,412,52,223,168,56,79,44,49,60,107,57,32,354,16,19,259,324,10235,6564,157,91,1048,2547,98,2223,841,16,6,46,15,800,87,270,60,648,465,337,1164 
Latvia,2218357,33115,295,6113,29,307,126,352,0,2,17729,913,1108,60,83,373,2,81,96,2206,3240,1,182,0,6,0,7,21,0,0,0,20,29,1,6028,136,107,585,687,140,329,1155,108,445,109,137,214,393,173,185,186,85,17,276,1,119,86,556,8771,5684,1271,0,539,309,125,517,330,37,0,2,0,447,314,237,236,448,487,218,853 
Lithuania,3269909,44813,514,8267,35,362,78,567,0,2,24321,1710,2341,42,101,309,0,74,140,610,5340,3,369,2,0,0,10,78,0,0,0,9,6,0,8148,236,165,740,919,153,449,1477,130,510,236,153,261,552,235,281,249,119,21,330,1,133,150,479,15026,5844,1110,4,660,947,224,1392,274,18,0,0,0,899,555,335,170,745,1049,255,1332 
Luxembourg,472650,3623,95,936,10,86,82,129,0,0,1448,257,183,2,16,34,0,7,2,101,235,8,1,0,0,0,1,66,0,0,0,1,5,0,907,20,25,34,110,31,37,195,17,82,6,9,23,44,25,39,42,29,10,55,5,107,7,48,452,334,64,1,82,113,4,87,33,0,0,0,0,32,42,1,2,19,65,7,67 
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
