Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Bahrain,1333577,2613,62,256,56,318,9,68,1,0,822,128,52,24,15,120,2,58,45,357,219,2,4,0,0,0,0,28,0,0,0,19,8,0,250,4,5,12,23,9,7,31,1,46,1,9,8,7,9,20,14,6,40,261,1,9,0,246,123,99,4,3,32,42,5,21,95,2,0,2,0,81,4,12,5,11,19,4,83 
Barbados,281580,2326,111,516,27,239,58,68,0,0,679,220,83,30,17,100,1,19,16,27,115,6,0,0,0,0,0,81,0,0,0,1,3,0,502,12,9,18,58,9,27,32,4,63,10,12,11,92,4,34,20,14,14,185,0,83,0,98,168,229,22,0,90,19,9,23,40,11,1,0,0,21,3,0,0,2,0,0,89 
Belarus,9464495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Belgium,11094850,109076,2587,28417,426,2952,4617,5443,3,1,31456,11327,4933,259,582,2506,5,210,295,6010,7047,217,56,0,0,1,9,1447,0,8,0,88,39,0,27033,581,715,806,3006,845,1587,6308,403,2312,179,364,678,1394,950,1253,956,1384,219,1708,211,6740,287,939,8498,7009,1348,107,3618,4784,202,1532,1969,13,0,5,0,770,1482,53,86,202,2026,130,2298 
Belize,336707,1536,143,202,8,165,10,38,0,0,347,124,68,14,8,38,2,69,25,13,262,7,7,0,0,0,0,20,0,0,0,0,105,0,190,1,1,17,14,13,2,16,1,14,15,6,4,25,2,8,11,12,6,135,7,8,2,70,104,96,2,0,65,30,4,35,28,0,0,2,0,60,8,19,2,2,18,128,25 
Bermuda,,424,8,127,1,38,8,18,0,0,152,27,9,2,3,6,0,1,1,3,20,4,0,0,0,0,0,1,0,0,0,0,1,0,127,3,3,1,10,4,8,25,4,4,0,3,2,15,6,3,7,0,1,33,1,18,1,12,62,30,11,0,12,4,0,3,5,0,0,0,0,9,0,3,0,0,2,3,3 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,3836377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,202401584,1181166,49597,191587,6341,72483,12416,28708,38,139,333264,127182,60495,3721,4606,27973,1647,22978,10517,74852,152084,4221,4835,96,1,93,414,14887,202,50,0,2870,12072,60,187835,7070,7749,13711,14612,8790,8223,23500,3168,13591,5264,3421,3129,13354,3302,7270,6351,3752,4376,56754,6408,16560,2174,45297,104388,100182,11892,293,61262,41373,3097,26036,15631,707,120,1010,409,46014,11647,5378,1019,867,10325,56314,20520 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,399800,1216,56,294,12,153,6,40,1,0,276,97,34,7,5,24,3,38,13,59,98,1,14,1,0,0,0,27,0,0,0,10,1,0,280,11,5,19,47,22,13,44,4,19,8,6,8,12,5,12,9,14,8,123,1,8,6,45,113,70,6,0,41,44,5,12,16,4,0,2,0,45,16,7,0,2,8,4,16 
Bulgaria,7305888,109281,626,18299,135,1723,87,1124,4,3,71644,3974,3553,32,48,1350,3,237,143,3238,3058,20,169,0,0,0,7,337,2,1,0,18,12,0,18157,411,197,1288,2553,678,1060,3594,349,1364,382,378,463,936,636,477,443,142,95,1683,5,236,54,8179,13852,21783,3727,8,1487,1442,300,1878,1322,14,1,2,0,542,267,135,109,83,872,110,940 
Canada,34868151,246596,5780,75834,879,9597,14978,12483,4,11,66952,22139,9858,414,1528,5072,22,1080,990,2331,16644,1709,94,0,0,3,14,2611,5,16,0,525,276,3,74361,1122,1824,1863,8111,2528,4268,19704,1460,4977,443,992,1593,3708,2010,4249,2642,1473,477,6993,168,20369,465,2621,33873,13174,3141,402,5287,11130,410,3435,3635,112,1,10,8,2524,4495,309,184,1779,3926,493,2934 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Chile,17388437,98711,2167,25421,468,4930,2568,3433,0,1,27179,10118,7140,199,537,2602,54,809,938,2586,7561,277,480,0,0,14,34,547,6,12,0,64,456,0,24372,269,633,3354,2143,1166,1200,2848,383,1367,584,265,391,2045,403,1126,695,1049,373,3713,525,3906,131,4066,7933,9001,957,7,3848,3443,188,4241,1717,33,4,22,16,2129,922,342,302,270,1841,687,1068 
Colombia,46881018,199756,6075,37493,850,9542,169,2797,2,8,61033,21067,10036,1024,1998,5811,452,4164,2543,3899,30746,568,965,30,0,54,15,1218,31,5,0,128,2277,24,34769,529,612,4650,2851,1726,1428,4058,652,2489,1521,474,796,2499,432,1707,1666,2724,450,7154,1648,528,158,6993,31326,13612,1494,12,6421,11109,688,2465,3882,187,25,265,145,6356,1066,853,98,217,2126,15732,4298 
Costa Rica,4654148,18913,365,4525,63,796,274,513,0,1,5727,1608,1326,68,171,533,22,300,290,212,2119,82,49,0,0,1,0,30,3,2,0,14,147,0,4258,77,65,652,411,253,222,288,85,283,135,51,69,373,47,273,180,267,40,664,35,424,40,810,2664,1275,150,6,461,823,80,615,404,4,3,14,5,671,82,116,15,51,302,362,520 
Croatia,4267558,51710,291,13940,37,1354,1229,888,0,3,24988,2152,2267,8,117,750,3,87,80,565,2951,20,59,1,0,0,4,140,0,0,0,45,8,0,13704,349,209,797,2006,515,746,2790,283,1033,106,246,295,734,424,464,369,236,21,1330,1,703,95,1545,11464,7291,1411,13,324,1656,220,1128,510,20,0,1,2,441,1043,100,32,119,776,53,387 
Cuba,11342631,89372,988,23283,201,2481,3925,1489,22,4,34189,8916,3531,189,630,874,55,279,396,645,7275,287,41,2,0,0,1,90,1,6,0,142,299,1,22655,645,741,851,2394,674,831,5118,394,1527,454,569,284,2712,611,947,599,628,154,2251,47,3766,148,2777,15464,8930,2572,5,5202,3404,396,1389,691,61,9,18,15,954,2067,209,50,85,1495,621,1794 
Cyprus,863942,5500,87,1263,44,433,90,188,1,0,2019,424,156,30,30,198,0,29,19,219,270,17,4,0,0,0,0,49,0,0,0,4,2,0,1221,16,12,47,123,46,63,248,20,102,7,21,31,103,39,65,62,42,31,364,1,177,19,212,641,400,72,2,72,119,9,45,138,6,0,0,0,67,26,6,3,8,36,19,105 
Czech Republic,10509286,108189,1617,27683,175,2692,962,2522,1,2,53046,5882,4491,177,212,1366,6,152,167,1180,5856,356,30,0,0,0,6,936,1,0,0,152,7,1,27334,722,532,1133,3720,779,1885,5596,525,1678,357,462,699,1360,750,965,884,349,78,2247,102,2065,217,2152,26893,10669,4126,57,2484,2578,440,2112,1053,32,1,5,0,813,751,151,48,419,1658,92,1924 
Denmark,5587085,52011,876,15839,276,1659,3102,1877,0,2,13096,5706,2243,63,383,750,0,106,146,3795,2092,224,21,0,0,0,2,345,0,3,1,20,26,0,15506,313,448,414,1898,398,981,3745,359,1123,95,165,385,1153,516,613,439,333,200,1314,5,3113,71,852,4370,3346,988,13,1778,3423,272,849,498,29,0,0,0,190,511,34,56,175,661,18,447 
Dominica,,618,22,110,3,69,7,9,0,0,239,38,12,7,3,12,0,28,4,23,32,2,1,0,0,0,0,10,0,0,0,0,6,0,104,1,1,8,5,3,4,7,0,12,4,2,3,31,2,7,1,6,3,54,2,6,0,40,36,48,5,0,12,12,0,2,9,2,0,0,0,11,1,3,0,1,2,8,6 
Dominican Republic,,36118,1864,4472,204,1576,74,479,1,0,12138,3196,1273,7,74,494,177,2879,721,1849,4560,171,299,24,0,0,9,557,20,1,0,34,560,4,4296,208,73,233,317,305,194,508,59,360,217,82,34,764,43,132,184,176,128,1409,66,111,24,1527,5264,3509,97,10,1088,563,140,659,458,16,15,122,40,1630,29,28,21,4,256,1253,1339 
Ecuador,15419493,63511,2332,10234,451,5353,220,1207,0,0,14387,6183,3846,30,232,1829,202,1513,770,5626,9096,230,432,2,0,1,2,769,3,2,0,25,710,1,9875,98,120,1719,649,705,365,755,163,513,329,368,158,879,108,501,530,359,361,4630,398,341,79,5365,2068,3290,304,22,3585,1356,215,2161,1691,74,13,160,28,3186,468,485,87,151,976,1706,2037 
Egypt,85660902,529233,18300,33089,6365,13003,545,6165,55,15,245826,40634,59240,386,328,20166,531,3953,8149,53748,18735,4740,479,77,0,2,16,3494,20,19,22,7993,15,1,29877,336,307,1515,1443,5908,967,3235,59,2290,135,372,268,684,1635,224,3286,3212,819,5300,272,506,1150,33675,21713,47791,27840,6,16480,5249,328,55599,19874,102,15,493,11,7070,1161,1670,440,118,211,232,7833 
El Salvador,6072233,32122,1225,3583,145,2066,452,687,0,2,5667,2317,1660,126,101,2857,17,341,252,6045,4579,124,61,2,0,2,1,689,0,0,0,7,288,1,3552,62,37,393,183,247,142,257,29,168,228,77,55,236,35,124,195,31,118,1737,214,67,1,338,2431,1117,35,0,1182,540,119,967,2696,34,3,14,0,964,259,176,22,168,514,2335,141 
Estonia,1329302,15473,127,3707,15,154,139,277,0,0,8339,451,543,7,41,128,1,22,36,307,1179,1,35,0,0,0,0,15,0,0,0,8,54,0,3649,111,77,282,423,94,211,688,74,264,72,48,92,256,90,142,145,58,11,132,1,115,25,2155,3971,1049,269,3,179,228,40,244,100,7,0,1,0,91,99,48,50,350,237,65,239 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,874158,6766,363,700,72,1563,3,99,1,0,2264,394,157,44,66,196,8,127,107,247,355,116,35,0,0,0,0,128,3,0,0,8,5,0,646,12,9,15,43,55,10,33,3,114,76,16,37,41,6,41,29,54,48,1452,11,0,49,888,754,152,28,0,106,228,21,42,161,13,1,7,0,46,10,67,29,1,34,12,156 
Finland,5413971,51737,306,12074,53,656,2311,6621,0,0,20329,2026,2400,27,255,369,2,52,185,388,3683,27,49,1,0,0,2,132,0,8,0,7,7,0,11714,196,266,445,1192,484,1029,2168,260,876,51,189,342,852,263,775,303,360,18,491,3,7284,48,1193,11099,4498,1036,37,279,1284,148,1248,316,10,1,1,0,274,1156,86,84,651,873,73,486 
France,63519077,558452,11555,160806,2046,19534,21631,35783,33,28,141337,38099,22692,1217,3948,8697,44,1364,1440,51298,36900,2512,499,2,0,10,13,5332,6,46,1,660,412,12,153978,3784,3796,4592,17154,8036,9611,30557,2430,11691,786,2616,3423,8574,5145,7720,5829,6828,1195,11223,2993,38587,1623,9305,34729,32311,7705,650,12122,10060,856,8036,6786,59,3,30,9,3441,6085,946,415,2034,9743,398,13838 
French Guiana,247176,788,36,147,4,41,18,17,1,0,142,39,27,3,4,11,2,28,23,118,127,3,1,0,0,0,0,8,0,0,0,1,14,2,142,1,2,16,9,10,8,26,1,13,3,4,7,13,1,5,4,5,3,30,2,17,0,21,19,40,17,1,16,6,0,13,8,1,0,2,0,36,0,11,2,8,19,16,35 
Georgia,4490700,49348,503,5214,123,1231,74,579,2,2,20001,1025,1189,25,62,364,12,445,105,16677,1715,18,177,1,0,0,3,37,4,0,0,191,33,0,4771,145,44,442,323,271,167,839,112,464,142,108,107,204,159,141,137,443,68,1156,5,79,160,3604,6014,5264,214,9,339,323,64,593,312,20,1,10,1,58,12,65,64,72,105,37,1302 
Germany,81917349,869582,18377,228289,2685,30605,30890,24258,7,22,349217,60454,40094,1195,3299,20536,31,1165,1532,23995,32931,5578,356,1,0,0,30,8325,12,27,1,976,410,4,221611,5393,5260,9978,25972,7670,16120,44465,3563,17748,1617,2515,5646,12957,5617,10619,7600,6678,1336,24055,211,30576,2874,35990,128171,58925,18859,66,18817,30118,2711,14962,16151,135,4,23,4,3979,10240,417,384,599,9896,407,7009 
Greece,11092783,116668,1114,28201,,,132,1947,0,0,49728,11384,2918,29,503,1874,1,127,222,13169,3466,1,100,5,0,0,3,816,0,0,0,97,40,1,28177,333,206,1318,2565,277,1631,6745,399,1990,155,339,471,1558,1160,926,1114,24,73,1165,0,876,2,1848,11803,15868,938,8,964,2253,477,780,1715,0,0,1,0,1191,418,427,105,237,508,173,407 
Grenada,105476,856,26,187,8,109,8,19,0,0,281,65,43,4,2,14,2,15,10,19,43,1,0,0,0,0,0,14,0,0,0,0,7,0,177,5,6,10,15,4,5,14,1,18,6,4,2,40,2,17,3,10,4,94,1,10,1,55,76,100,10,0,47,9,0,12,4,5,0,1,1,6,6,3,1,0,2,4,21 
Guadeloupe,460965,2876,73,703,15,164,78,156,0,0,699,141,110,12,12,49,4,37,10,355,258,6,0,0,0,0,0,34,0,0,0,4,14,0,670,18,15,66,69,25,45,50,2,61,10,20,15,97,7,39,23,33,12,115,20,102,4,110,80,239,33,5,63,27,4,41,43,0,0,2,2,63,21,8,4,8,40,15,99 
Guatemala,15368759,72657,4111,7912,669,7155,466,1351,0,1,11712,8757,5372,89,246,2859,356,2712,1343,5224,12322,2293,238,6,0,5,2,807,5,2,0,56,487,9,7632,86,120,1400,300,1236,230,345,132,284,435,367,92,505,54,148,468,280,566,5045,1650,96,16,866,5111,3158,93,2,6815,1048,646,3062,2684,79,22,313,20,989,6,346,114,1179,420,3821,5447 
Guyana,758410,5548,587,471,111,572,5,75,0,1,2051,271,309,1,6,107,14,116,34,53,764,44,107,0,0,0,0,116,0,1,0,6,258,36,453,8,5,12,21,21,12,8,2,35,46,11,9,62,2,18,17,18,97,443,18,6,5,412,634,559,36,0,160,58,35,185,91,5,0,12,2,120,6,106,6,5,206,84,231 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,6025,484,531,72,617,27,97,0,2,1078,539,419,36,31,135,31,938,390,45,553,89,84,2,0,14,0,71,0,0,0,4,165,2,470,3,4,55,17,31,12,35,4,14,47,1,15,8,1,38,68,61,50,524,60,2,12,173,263,388,23,0,231,211,11,254,106,14,2,26,3,79,40,1,5,49,111,83,185 
Hong Kong SAR,7154600,43672,1238,13622,83,495,911,369,0,0,10320,9632,1533,173,164,2155,2,48,73,1195,1654,57,199,0,0,0,1,837,0,0,0,50,13,0,13336,521,313,657,1903,1505,538,3893,66,601,133,117,174,362,184,513,276,286,31,398,2,962,101,797,4272,3276,447,68,6960,1981,124,465,1680,5,1,1,0,136,234,29,3,144,823,18,267 
Hungary,9920362,129440,928,33790,207,3151,2982,1824,0,8,64178,6790,6819,130,459,912,9,272,310,152,6519,427,129,3,0,0,5,60,0,8,0,177,8,1,33224,1536,575,1732,5084,821,2003,8896,591,2096,426,429,700,1125,983,911,915,566,133,2843,27,3152,307,7184,32951,13081,3102,5,782,5321,768,3697,664,87,1,6,2,844,1802,131,135,119,2350,143,995 
Iceland,320716,1955,20,593,7,33,57,189,0,0,656,152,61,3,11,28,0,2,6,16,121,7,1,0,0,0,0,7,0,1,0,0,0,0,583,9,15,19,41,16,41,141,11,40,3,7,18,43,23,26,21,10,3,23,0,182,2,29,324,134,25,6,41,79,2,14,20,1,0,0,0,16,15,3,2,15,37,1,32 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,4585407,29186,223,8782,94,713,973,1356,0,0,9480,3497,1158,40,234,670,2,111,186,90,1577,29,27,0,0,1,1,82,1,0,0,23,12,0,8571,169,376,313,982,236,476,1801,205,689,93,104,276,519,210,477,290,211,46,536,1,1544,62,349,4758,1935,492,7,1086,1587,78,425,469,8,0,2,0,162,246,59,36,261,542,41,230 
Israel,7910525,41877,2222,10900,286,3039,1277,1428,3,3,10157,3349,1474,476,317,2215,9,254,294,2373,1801,225,21,0,0,1,0,1726,0,2,0,93,33,0,10640,105,142,493,1361,328,872,1761,327,994,76,172,299,417,349,846,520,260,188,2287,34,1693,144,851,4044,2493,371,7,970,1240,37,393,1737,10,0,6,3,324,119,44,27,1,430,136,720 
Italy,59539725,613520,12546,177353,3112,27633,17356,24955,44,25,230160,43444,23416,1003,3152,11968,11,1020,1325,11222,23775,663,330,23,0,0,28,6683,8,54,3,3092,881,3,169180,2843,1815,10000,19202,10116,10722,33538,2663,12004,422,2460,3251,7282,5727,8605,6260,8173,2169,21536,516,28361,2329,31247,75098,61255,7823,454,9276,21841,711,8071,10112,196,1,9,0,4154,4178,363,252,504,4258,464,9602 
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Japan,125958000,1256359,26739,371939,4429,22168,10768,24361,2,12,350912,201798,47255,1514,5768,35782,50,601,2041,76751,73469,2714,3373,8,0,3,2,11486,9,22,0,5240,50,0,360967,7167,11592,49129,47679,30690,29916,71518,1556,12529,2712,3401,4688,11143,7299,14956,7900,10972,1924,14486,1747,18149,2511,7261,77579,121602,19438,1275,123925,19647,3132,15980,30399,105,1,34,7,6414,7761,7963,1347,789,26443,384,22368 
Jordan,,17557,384,2845,66,1398,15,334,0,0,6436,1030,523,26,49,544,44,958,748,512,1645,20,12,0,0,0,0,291,0,0,0,54,1,0,2651,75,21,127,304,91,123,438,11,298,16,46,51,111,81,151,211,194,15,1272,1,33,18,1867,2010,1596,66,0,532,303,36,206,502,1,0,43,1,669,64,46,106,22,31,116,591 
Kazakhstan,16791428,142880,2009,17696,167,1333,179,4186,2,5,43112,9618,9925,81,198,1746,41,2934,1381,31770,16497,50,1251,0,0,0,22,314,4,0,0,49,171,1,17471,537,1115,2122,1577,823,875,3003,,1415,674,295,539,393,297,237,458,225,83,1156,41,,339,1969,14644,13568,,18,2425,6342,525,7588,,,0,25,16,3181,499,872,356,2016,3241,1400,4932 
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kuwait,3806643,5950,255,852,22,234,2,80,0,0,2370,419,160,0,7,162,1,204,204,83,895,5,25,0,0,0,0,185,0,0,0,33,3,0,817,16,21,32,81,65,47,105,0,98,10,11,13,18,23,56,50,35,12,201,0,5,2,147,1294,453,21,3,329,37,2,87,143,0,0,1,0,487,54,23,30,13,61,14,213 
Kyrgyzstan,5607511,36186,978,3330,52,330,61,475,0,1,18570,2536,2448,18,133,551,76,1959,523,670,3475,152,606,0,1,0,10,25,3,0,0,42,86,0,3278,95,160,566,198,260,150,408,47,227,206,52,105,48,42,54,100,52,30,299,13,12,188,594,11801,4952,211,72,710,1541,90,2103,542,4,2,61,10,926,82,284,60,446,524,248,905 
Latvia,2034319,29054,265,6097,30,507,301,298,0,1,16314,709,961,58,76,316,4,69,64,1095,1889,3,60,0,0,1,0,27,1,1,0,35,88,0,6008,182,119,473,789,115,369,981,145,404,130,160,184,394,215,225,171,89,24,469,1,199,45,929,8516,4796,495,7,343,301,118,397,257,40,1,3,0,205,183,135,113,177,444,129,503 
Lithuania,2987773,40938,602,8125,28,370,106,521,0,0,23170,1255,2064,33,101,279,3,51,66,505,3659,10,256,1,0,1,7,243,0,0,0,19,28,0,8002,237,185,685,914,190,465,1357,153,542,203,134,250,585,227,257,266,123,20,325,1,217,115,574,14985,5653,383,2,387,755,273,968,245,13,0,3,0,392,346,232,99,446,927,135,1082 
Luxembourg,530961,3721,89,1099,12,90,165,167,0,0,1210,278,177,3,16,56,1,4,3,108,243,5,0,0,0,0,0,64,0,0,0,2,8,0,1065,21,29,39,115,45,68,232,15,78,6,10,38,44,44,70,47,34,7,58,9,208,16,31,305,268,53,0,66,151,5,73,49,2,0,1,0,25,64,1,0,6,51,1,95 
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
