Maldives,,,,,106,93,,81,57,,38,40,41,60,55,5 
Malta,,933,871,925,882,866,852,855,826,798,718,724,733,740,723,722 
Martinique,,,825,,747,778,751,741,685,675,653,663,680,615,629,603 
Mauritius,,1186,1234,1118,1022,1033,1084,1049,935,914,889,936,925,850,887,736 
Mayotte,,,70,73,0,,,,,,,,,,, 
Mexico,,81283,76988,76874,74833,73324,71194,70646,67413,67155,66307,64103,62874,61114,58663,57781 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,891,920,943,974,1026,971,967,1000,896,881 
Montserrat,7,4,9,9,8,1,5,9,8,1,7,7,13,8,11,5 
Morocco,,,,5050,4465,5273,5005,4765,,,,,,,, 
Netherlands,45718,44808,44156,44669,44042,43521,42396,41874,40894,40563,40373,40300,39867,39677,39013,38805 
Netherlands Antilles,,,,,,,,,,,,,,,,269 
New Zealand,,,,8983,8959,8667,8499,8613,8582,8171,8037,8214,8080,7979,7973,7771 
Nicaragua,,,2823,2652,2573,2436,2360,2253,2167,1945,2011,1976,1834,1769,1713,1582 
Norway,,11088,10825,11062,11099,11163,10822,10886,10891,10690,10812,10738,10723,10901,10808,10712 
Occupied Palestinian Territory,,955,922,954,903,727,716,609,,,,,,,, 
Oman,,,,,,350,445,,,,,,,,, 
Panama,,3125,2956,3023,2752,2644,2507,2566,2532,2342,2352,2231,2192,1959,1908,1931 
Paraguay,,4061,4041,3706,3749,3754,3547,3396,3324,3259,3108,2886,2715,2620,2582,2378 
Peru,,19405,18523,18468,18196,18412,18037,17764,16580,15821,17015,16226,15486,14702,13279,13773 
Philippines,,,,,53451,52500,50395,49047,47048,45290,,,41295,40310,38245,36770 
Poland,,100329,98937,98757,96013,96073,96157,95520,95809,93933,92365,91809,90641,89771,88234,86272 
Portugal,,26742,26407,26296,26081,25492,24912,24608,24006,,,,23257,22788,22407,21988 
Puerto Rico,,5554,5390,5576,5431,5341,5245,5175,5125,4953,4986,4981,4897,4831,4858,4858 
Qatar,,254,223,218,196,214,199,175,170,158,161,137,,,95, 
Republic of Korea,,,76621,74990,72650,73147,70777,69854,68335,66371,65857,65083,63984,63195,59821,58700 
Republic of Moldova,6114,5972,5883,5810,5701,5699,5722,5620,5459,5500,5239,5100,5004,4880,4718,4605 
Reunion,,,999,1106,992,1006,981,1004,930,932,983,888,885,819,795, 
Rodrigues,,31,27,41,25,21,31,41,32,31,24,32,,30,27, 
Romania,51288,50584,49733,49066,48356,47502,47389,46486,45383,45451,44906,43985,43676,43191,42750,41290 
Russian Federation,,,,,292445,293171,293602,289257,288563,286232,287915,290027,290480,292953,294063,297943 
Saint Kitts and Nevis,,,,63,61,57,59,60,67,75,44,57,46,53,25,47 
Saint Lucia,,249,193,262,152,171,169,183,,177,166,185,175,170,152,140 
Saint Pierre and Miquelon,,,,,,17,10,12,,20,10,,,,, 
Saint Vincent and the Grenadines,185,165,174,134,139,123,122,122,103,121,111,116,119,121,134,126 
San Marino,57,,,,,,,,,,86,,,70,,65 
Sao Tome and Principe,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,2030,,,2052,,,,,,,,, 
Serbia,,21806,21646,21725,21442,21588,21415,20941,20760,20544,20116,19602,19136,18805,18112,18077 
Seychelles,,125,119,111,121,109,117,133,117,103,107,108,100,97,94, 
Singapore,5691,5508,5561,5346,5141,4805,4773,4826,4561,4461,4106,4141,4017,4266,4175,4101 
Slovakia,,13628,13463,12923,,12187,11966,11992,11966,11732,11874,11676,11616,11504,11870,11930 
Slovenia,6207,,6066,5822,5869,5885,5789,5749,5606,5345,5194,5134,5147,5063,4889,4824 
South Africa,,39095,37978,38405,37442,36314,35873,34686,34774,34223,34059,33793,33148,32196,31172,30658 
Spain,,110278,111021,110993,109341,107220,105132,104054,103329,101683,100206,100485,99826,97784,97714,95072 
Sri Lanka,,,,,,,,,,10386,,,8393,7986,8063,7842 
Suriname,,435,462,361,401,365,347,373,310,337,293,312,304,343,280,253 
Sweden,23455,23337,23133,23103,22739,22449,22455,22555,22631,22815,22698,22610,22553,22185,22509,22004 
Switzerland,,,17249,17059,17025,16833,16513,16435,16497,16165,15880,15927,15908,15711,15884,15978 
Syrian Arab Republic,,,,,,4168,4435,4524,3269,3357,3285,3330,3078,2918,2668,3364 
Tajikistan,,,,,,,,,,,2201,2115,2086,2161,1829,1695 
TFYR Macedonia,,,3654,3689,3552,3705,3673,3520,3524,3419,3212,3194,3238,3129,3061,3051 
Thailand,,70075,67691,63272,61082,58076,56051,55402,53434,52062,50622,50818,49682,45834,,39480 
Trinidad and Tobago,,,,,,1650,1474,1499,1467,1397,1424,1423,1376,1325,1269,1251 
Tunisia,,,3458,,,,3412,,,,,,,,, 
Turkey,,,76223,69269,67450,63930,59386,,,,,,,,, 
Turkmenistan,,2575,2501,2538,2508,2624,2381,2022,2075,1965,1891,1931,1855,1972,1945,1941 
Turks and Caicos Islands,,10,16,,,,8,6,1,10,7,6,6,5,3,9 
Ukraine,,83894,,92896,88957,88767,88595,89008,90030,90359,91849,92118,93188,95064,95639,97837 
United Arab Emirates,,,,,,707,654,645,674,568,550,,,,, 
United Kingdom,,,165842,165809,163071,161159,159963,160730,159617,158072,157315,157231,158694,159575,158786,153698 
United States of America,,607794,600163,597738,591739,589823,582324,579939,577098,574018,573022,567468,570465,570570,567444,566637 
Uruguay,,8052,7893,7739,,7744,7618,7700,7715,7572,7629,7582,7659,7593,7437,7517 
Uzbekistan,,12313,11435,11192,10891,10273,10056,,,,9904,9566,9587,9534,9431,9683 
Venezuela (Bolivarian Republic of),,,25454,25109,24372,23166,22098,21511,20839,20074,19558,18751,18385,17450,16816,16210 
Virgin Islands (USA),,,,157,162,129,111,104,123,112,127,124,115,131,117,134 
Zimbabwe,,,,,,,,,,,,,,,, 
