Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Bahrain,1103496,2390,72,256,38,225,3,46,0,0,606,186,70,20,7,129,3,58,45,400,226,7,6,0,0,0,0,35,1,0,0,11,10,0,249,4,3,17,17,5,11,49,0,30,3,7,10,9,9,12,17,7,29,198,3,3,3,165,113,71,8,0,65,56,4,26,102,0,0,3,0,91,0,0,0,1,43,0,91 
Barbados,277315,2412,97,516,22,301,17,48,0,0,765,234,100,48,16,52,2,20,21,71,82,1,1,3,0,0,1,64,0,0,0,2,16,0,508,13,7,21,60,4,16,21,3,47,15,12,7,104,7,32,13,8,15,252,2,24,3,168,160,150,52,0,117,28,9,30,24,1,0,2,0,3,0,1,5,1,1,49,22 
Belarus,9680841,133879,1143,18410,74,399,805,978,0,7,70618,4028,4602,80,200,967,3,196,267,16769,14333,1,831,0,0,0,7,46,2,0,0,17,182,0,18164,685,355,2484,2280,369,816,3267,,1174,383,337,496,767,356,467,663,246,35,342,1,,412,742,48499,17061,,5,798,2902,245,2829,,,0,3,0,1947,1111,858,519,955,2661,647,5635 
Belgium,10709973,103760,2293,28114,362,2741,3797,4474,0,3,33141,11416,4711,282,460,2150,7,243,255,2666,6644,312,76,0,0,0,7,1139,2,7,0,124,53,4,27241,537,682,800,3005,775,1516,6584,426,2364,187,367,668,1431,814,1194,1001,873,184,1761,137,5426,260,933,9921,7515,1596,39,3987,4796,259,1427,1452,19,1,6,0,1013,1335,77,94,226,2001,128,1770 
Belize,306165,1301,107,163,23,129,3,24,0,0,281,104,78,1,7,35,2,43,19,17,265,12,15,0,0,0,0,16,0,0,0,0,62,0,156,0,6,10,7,11,4,19,2,12,11,8,2,28,1,4,7,7,20,105,10,2,1,51,87,68,5,0,54,25,3,51,31,3,0,2,0,71,2,24,9,1,11,38,109 
Bermuda,,420,17,109,4,25,0,18,0,0,134,35,13,2,4,9,0,5,4,14,27,1,0,0,0,0,0,8,0,0,0,0,8,0,104,1,1,5,17,2,9,20,1,9,1,1,3,14,2,5,3,5,0,22,0,13,0,7,64,28,7,0,20,11,1,3,8,0,0,0,0,17,4,3,0,2,1,0,0 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,194769696,1075141,47220,167324,5837,64336,11412,21468,39,123,316822,105070,55190,2643,4077,19817,1641,25944,10357,79729,135637,5105,5302,139,3,17,426,11314,96,38,0,2882,11823,67,164314,6265,7189,12803,12183,7044,6747,20587,2735,11790,4858,3077,2850,12075,2831,6228,5709,3010,4090,50189,6345,10681,2412,42673,95512,98674,10907,168,45470,37802,3188,24906,12773,595,119,1159,295,38127,8503,5657,908,624,9211,49293,23314 
British Virgin Islands,,101,2,23,1,10,1,1,0,0,33,6,2,1,1,0,0,6,2,1,11,0,0,0,0,0,0,2,0,0,0,0,0,0,23,0,0,4,1,2,1,4,0,0,0,1,1,4,0,0,0,0,1,8,0,2,0,22,4,0,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10 
Brunei Darussalam,380786,1091,47,204,1,103,1,18,0,0,336,132,31,1,3,46,0,20,20,49,79,0,8,0,0,0,0,32,0,0,0,1,1,0,201,5,2,12,22,14,6,50,,7,13,0,5,4,2,9,7,3,0,97,0,,0,24,135,93,,0,53,41,3,13,,,0,0,0,33,5,11,9,1,9,0,11 
Bulgaria,7623395,110523,639,18179,134,2181,90,1026,0,1,71492,4466,3561,24,52,1354,5,280,207,2933,3899,21,231,1,0,0,8,251,1,2,0,38,3,0,18017,387,186,1491,2541,808,1035,3478,340,1313,346,351,426,890,509,447,468,162,106,2120,10,158,56,7306,14425,22440,4862,11,1768,1725,286,1906,1329,13,0,4,0,1093,351,171,124,160,939,129,932 
Canada,33363256,238617,4704,71948,970,10053,11527,12003,6,9,69945,20728,9769,348,1526,5289,34,1107,893,2311,15447,1105,131,0,0,1,14,2135,5,19,0,446,407,2,70558,1105,1732,1949,7842,1898,3800,18704,1211,4955,361,794,1641,3720,1872,3883,2395,1390,512,7521,209,17230,476,2337,36934,13870,3503,272,5114,10923,426,3275,4101,88,5,24,4,2848,3098,275,275,1449,3705,575,3222 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,150,4,45,0,4,0,5,0,0,46,8,4,1,0,7,0,2,0,3,21,0,0,0,0,0,0,2,0,0,0,1,0,0,45,0,0,0,4,1,0,9,0,7,0,1,1,5,1,2,2,0,0,2,0,1,0,11,18,3,1,0,2,3,0,2,6,0,0,0,0,10,0,1,0,0,0,4,6 
Chile,16645940,86783,1644,21826,331,3978,2586,2722,0,0,23912,8057,6445,269,462,2475,36,868,814,2397,7961,211,438,0,0,7,12,316,1,8,0,62,380,0,21052,200,678,3005,1683,946,1033,2369,283,1184,612,225,330,1621,377,954,611,774,245,3141,498,3475,165,3369,7425,7784,742,11,3164,2766,187,4011,1687,76,4,22,10,2357,705,456,307,265,2088,721,1062 
Colombia,44901660,196748,6635,33975,770,9687,83,2925,4,4,58692,20018,9931,1065,1885,5414,433,5331,3007,3742,33117,870,1169,24,0,11,8,1159,28,15,0,137,2392,53,32458,528,690,4549,2438,1705,1247,3846,635,2067,1647,472,684,2457,427,1436,1562,1517,511,7340,1778,343,304,5732,28729,14459,1841,4,5697,11504,754,2499,3514,134,34,289,101,6540,1286,1045,114,143,2234,16913,4842 
Costa Rica,4429506,16478,309,3668,86,761,186,524,0,1,4657,1294,1159,52,152,395,20,360,259,522,2073,46,56,0,0,6,2,24,3,0,0,12,115,0,3439,77,44,546,317,165,128,210,55,262,112,39,56,312,53,214,172,229,51,676,18,284,43,676,2188,907,134,3,318,709,51,593,294,2,2,10,8,656,84,130,8,55,261,393,486 
Croatia,4434508,52151,327,13280,43,1332,771,774,0,0,26235,2249,2433,22,74,797,3,111,108,557,3035,17,101,1,0,2,4,154,0,0,0,30,4,0,13086,401,202,878,1855,450,712,2750,250,902,132,211,316,641,357,409,350,194,16,1296,0,476,36,1033,10101,8076,1405,11,813,1311,206,1325,585,20,0,1,2,707,842,93,46,141,795,78,333 
Cuba,11290239,86423,766,21754,226,2414,3402,1254,27,10,34756,8853,3022,176,638,775,57,330,382,763,6818,207,47,0,0,0,2,66,2,4,0,143,176,0,21284,643,605,831,2145,713,815,5084,353,1368,472,640,241,2504,575,825,556,470,171,2157,37,3243,202,2104,16109,9253,2600,0,5425,3143,303,1176,552,88,13,24,20,1076,1893,222,34,106,1377,515,1595 
Cyprus,791150,5194,68,1139,30,393,64,146,0,0,2015,356,150,29,31,149,1,19,10,280,314,3,1,0,0,0,0,53,0,0,0,0,0,0,1104,8,13,61,86,34,56,176,22,103,11,22,32,80,49,59,56,35,21,328,1,125,22,173,680,405,68,0,91,107,4,53,122,2,1,0,0,100,24,34,6,12,41,9,88 
Czech Republic,10429692,104948,931,27981,137,2211,201,1278,0,1,52280,5736,4743,81,85,1272,7,201,145,1537,6121,69,53,0,0,0,5,680,1,0,0,41,6,0,27571,725,452,1191,3915,793,1763,5411,458,1660,311,411,678,1291,731,922,816,410,47,1979,53,591,184,1955,25844,11685,5740,53,2859,2204,508,2359,1101,24,0,7,0,1167,1035,170,55,308,1379,79,1928 
Denmark,5489022,54265,725,15517,266,1743,3061,1624,2,3,15031,5622,2744,70,375,780,4,116,146,3998,2438,126,16,0,0,0,7,319,1,5,7,26,22,1,15145,326,347,438,1988,297,897,3663,326,1170,114,157,392,1090,483,560,457,372,199,1281,14,2690,69,878,5570,3912,1012,7,1923,3198,422,971,458,32,1,2,1,395,320,34,85,172,603,44,785 
Dominica,,545,16,101,9,66,7,6,0,1,210,59,12,9,1,5,1,7,2,17,16,0,1,0,0,0,0,9,0,0,0,0,4,0,98,4,3,8,5,3,1,4,0,5,4,0,0,45,0,1,3,3,9,53,0,2,2,47,33,74,7,0,24,22,2,6,3,0,0,1,0,1,3,3,0,0,3,0,6 
Dominican Republic,,24755,1194,3593,108,1160,68,302,0,1,8818,1972,920,17,59,297,54,847,269,1213,3758,112,267,16,0,0,7,131,7,1,0,37,479,8,3466,131,56,246,231,264,101,398,59,261,151,100,22,729,30,81,114,127,96,1032,64,76,18,1134,3912,2763,115,5,685,546,112,588,253,29,5,41,8,1375,26,53,18,4,189,606,1487 
Ecuador,14447600,59950,2654,8949,496,4294,87,1019,0,1,13879,5368,3271,21,191,1820,162,1616,644,5942,9536,334,669,15,1,1,3,767,7,0,0,33,679,5,8712,83,102,1663,509,624,296,634,136,390,304,404,130,767,84,369,478,237,431,3510,515,163,66,3265,2755,3403,285,11,3175,1170,249,1792,1739,52,15,126,21,2719,406,480,98,251,928,2468,2186 
Egypt,75097301,466381,15503,27906,5157,9707,434,4430,42,18,210354,32078,46661,233,172,16812,449,4697,6182,67335,18211,5286,659,72,1,1,24,2006,23,21,15,5376,1,4,25177,345,235,1140,1073,5082,710,2671,24,1903,86,321,178,518,1653,157,2694,2729,579,4279,265,453,873,18816,14904,35499,15822,2,11669,5158,246,42928,16613,80,11,419,13,7152,916,1465,74,90,41,65,8408 
El Salvador,6004199,31594,1132,3434,182,1604,674,683,0,0,5794,2653,1457,55,115,2261,18,289,387,5188,5668,166,63,1,0,0,1,528,0,0,0,4,326,0,3431,51,55,542,150,213,111,234,11,145,199,169,51,215,24,58,201,3,163,1253,249,23,2,581,2113,875,16,0,1612,479,166,803,2137,36,2,16,0,1422,341,268,29,200,490,2807,111 
Estonia,1337090,16675,122,3585,14,262,192,232,0,2,9074,489,725,15,68,136,0,32,43,326,1358,0,55,0,0,0,2,5,1,0,0,6,42,0,3543,97,56,288,399,88,229,704,70,233,72,71,93,250,95,105,135,42,7,224,4,85,27,1540,4588,1570,310,0,143,266,72,378,121,7,0,0,0,166,124,77,90,204,242,91,364 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,843206,6471,418,639,36,1331,2,63,0,0,2195,370,149,9,19,192,4,138,74,435,397,103,24,0,0,0,1,234,2,0,0,8,3,1,609,12,11,38,20,57,12,16,2,105,80,15,43,34,6,31,31,30,23,1291,3,1,30,617,745,156,13,0,124,167,17,31,160,21,1,3,0,73,7,59,30,3,38,7,180 
Finland,5313399,49090,437,11214,50,667,2369,4081,0,1,20281,1980,2460,36,265,402,5,74,175,316,4277,102,60,0,0,0,4,142,0,6,0,10,7,2,10961,166,184,525,1082,401,992,1998,223,825,60,172,298,811,266,717,339,253,31,540,3,5175,49,768,11761,4246,1005,13,457,1190,171,1252,309,22,2,3,0,406,1154,118,88,873,1033,119,486 
France,62304840,532474,10638,158261,2186,19462,17390,30543,9,22,146663,32676,23544,1610,3683,9018,52,1407,1431,36841,37038,1317,642,2,0,8,35,4308,4,37,0,795,646,13,151572,3904,3887,4646,16946,7567,9031,28991,2286,11634,741,2364,3414,8929,4664,7494,5440,6689,1239,11177,2656,29845,1586,8772,37744,32277,9336,189,10589,9145,868,8407,7007,134,4,36,12,4373,5563,1028,476,1376,10353,443,13426 
French Guiana,222038,774,40,135,3,32,12,35,0,1,159,32,41,1,4,10,4,40,15,80,130,3,2,0,0,0,0,6,0,0,0,4,18,1,131,1,6,5,3,8,6,10,0,14,5,7,3,12,2,11,6,4,1,26,0,14,1,20,25,58,6,0,12,9,1,15,9,0,0,4,0,25,2,20,7,4,20,23,29 
Georgia,4383750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Germany,82119776,844439,14637,221920,2454,27331,18850,19830,4,7,356729,59049,43686,967,2303,18537,36,1230,1442,23916,31511,2666,363,1,1,1,46,7782,9,22,1,952,443,5,216010,4946,4790,10510,26662,7062,14835,42346,3068,17209,1596,2420,5529,12134,5532,9748,7308,5910,1210,22330,192,17629,2373,31076,134822,63127,20689,91,21839,26235,2981,15703,14624,93,3,23,9,4774,8333,392,398,811,9459,444,6900 
Greece,11237068,107979,1091,27386,,,119,1371,0,0,49214,10239,2534,33,349,2232,0,159,163,7452,3849,0,80,3,0,0,1,874,0,0,0,92,14,1,27379,271,194,1333,2296,191,1469,6402,347,1927,104,338,504,1564,1081,834,1388,7,64,1242,0,593,2,1406,11624,16064,810,0,935,2173,324,799,2074,0,0,0,0,1722,536,364,104,293,373,150,307 
Grenada,103934,857,42,156,16,81,0,15,0,0,321,76,33,10,2,23,0,10,3,19,50,1,0,0,0,0,0,33,0,0,0,0,7,0,155,5,5,2,8,6,11,11,1,18,10,3,2,31,1,11,1,1,11,72,0,5,0,56,78,75,16,0,52,9,5,10,18,0,0,0,0,7,5,5,1,0,0,1,31 
Guadeloupe,454680,2794,75,648,22,180,69,150,0,0,763,130,124,16,12,59,2,25,10,265,244,5,1,0,0,0,0,21,0,0,0,5,17,0,620,21,20,66,49,12,40,64,5,37,10,18,8,90,7,32,20,28,15,128,16,82,6,100,97,262,49,2,58,25,3,46,43,3,0,2,0,49,12,13,9,15,43,16,87 
Guatemala,14106687,67356,5284,6911,440,6613,791,1296,2,3,10357,9483,4315,111,166,2248,328,2816,658,3132,12402,2789,325,3,0,14,1,1204,4,1,3,59,678,9,6850,101,106,1423,207,1068,175,418,89,197,281,358,79,465,26,142,389,61,343,3628,2482,78,10,1904,2774,1473,180,1,7736,852,608,2391,2078,54,11,314,3,408,20,210,35,157,492,5028,6052 
Guyana,748096,5003,488,469,85,547,11,67,0,2,1849,245,297,1,12,76,16,130,36,34,638,46,85,0,0,0,0,90,0,0,0,3,239,11,452,7,4,23,28,33,9,17,3,49,42,31,7,75,2,21,13,17,74,426,37,16,10,309,631,567,22,0,154,44,37,157,65,5,2,13,1,131,14,66,5,1,168,118,135 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,5434,499,392,53,396,27,126,1,0,1003,525,351,23,20,111,31,1129,304,51,392,93,110,3,0,11,0,63,0,0,0,10,168,0,352,1,1,47,17,18,6,32,1,16,22,2,6,7,3,28,74,40,42,281,92,4,28,182,190,381,22,0,210,221,23,207,92,10,2,28,1,36,28,1,9,8,37,31,242 
Hong Kong SAR,6957800,41530,1132,12739,112,667,504,314,1,1,11333,8141,1581,255,124,2030,2,53,78,696,1766,14,229,0,0,0,0,797,1,1,0,13,20,0,12456,529,343,625,1686,1499,426,3497,54,508,120,92,178,282,201,458,289,283,58,548,9,527,128,948,4577,3691,474,8,5486,2103,129,488,1471,8,0,2,0,173,198,21,9,189,878,23,275 
Hungary,10038188,130027,420,32776,233,3253,2505,1746,0,7,64749,6231,8468,124,422,862,17,352,351,145,7366,29,194,1,0,0,7,69,0,7,0,4,4,0,32111,1651,600,1725,4753,765,1794,8330,504,2108,418,334,687,1186,831,873,949,665,148,2865,23,2572,250,6338,32828,13996,3093,11,693,4875,808,5272,690,77,5,9,3,1293,1972,159,172,134,2477,203,956 
Iceland,319355,1987,21,569,2,35,62,158,0,0,706,184,58,0,8,36,0,8,4,11,125,6,1,0,0,0,0,13,0,0,0,0,0,0,559,7,20,17,43,14,28,134,13,46,2,9,11,54,14,34,20,10,1,26,2,166,2,25,375,147,27,6,81,82,5,9,25,2,0,0,0,16,22,1,3,8,38,1,36 
Iraq,,106245,6374,8021,343,3825,405,1508,47,1,43130,3927,1217,26,47,5200,62,5651,1754,6348,18359,902,508,2,23,10,16,4078,6,28,41,156,0,0,7907,176,98,401,365,525,300,1068,48,735,56,139,107,159,403,178,890,114,274,3474,167,322,285,3747,7967,8987,848,24,1750,850,107,768,5153,17,1,59,1,1552,260,430,405,12,3,2645,13052 
Ireland,4422077,28274,219,8389,77,649,416,930,1,0,9956,3522,1129,52,227,567,3,129,194,93,1721,37,32,0,0,1,9,67,0,2,0,18,14,0,8199,123,370,319,974,189,470,1681,202,736,78,98,243,508,191,419,250,190,34,482,8,763,54,332,5185,2142,501,4,1356,1365,113,388,403,15,1,2,0,256,282,57,37,299,506,41,243 
Israel,7308796,39241,1531,10266,311,3151,970,1160,4,1,10258,3200,1249,477,250,1925,8,258,270,1916,2036,151,27,0,0,1,6,1067,0,3,0,123,25,0,9983,87,124,456,1239,261,726,1561,260,971,79,118,258,401,254,603,458,283,211,2453,39,1238,150,854,4714,2044,346,0,996,1063,34,315,1458,13,1,7,0,421,104,54,37,3,354,144,919 
Italy,59832179,581470,8393,172783,2607,24999,13915,21445,29,28,225588,37771,23578,807,3656,9612,13,1149,1349,9423,24325,293,390,18,0,0,13,3396,4,38,1,2531,937,7,164847,2755,1778,10177,18514,9473,9830,33109,2120,12195,378,2419,3212,7447,5543,8192,5926,7936,1842,20233,401,23503,1954,26013,75514,63617,8463,456,6905,21390,861,10021,8532,205,3,10,0,5342,3007,426,229,503,3906,512,10400 
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Japan,125947000,1142407,24904,352953,4059,21102,6584,16607,10,34,334971,175976,43802,1163,5219,30495,41,757,2186,48021,73523,2182,3837,10,0,1,1,9688,16,16,1,5855,54,1,342963,6583,11746,50160,43354,33665,25976,66849,1334,11797,2486,3223,4599,9989,6467,13590,7675,9990,1679,14462,1684,9692,2451,6264,76582,127023,16526,272,115317,19345,3283,16268,26619,103,4,28,7,7499,7170,6464,1452,895,30236,548,19259 
Jordan,,14355,311,2129,78,1116,8,321,0,0,5179,819,445,49,50,362,25,961,629,448,1425,21,25,0,0,0,0,188,0,0,2,65,1,1,2063,53,24,94,190,70,97,340,18,212,11,28,34,88,63,139,210,66,32,1001,1,53,7,1060,1903,1416,54,2,383,305,31,165,338,3,2,23,0,584,83,53,75,41,6,124,459 
Kazakhstan,15673998,152706,3474,18161,148,1289,299,1433,3,4,76750,7758,7518,57,167,1369,86,4541,1542,8414,19693,120,2644,2,1,1,41,367,5,0,0,61,114,0,18018,494,1173,2383,1623,977,817,3194,,1420,624,313,432,363,347,223,520,142,93,1121,48,,444,4696,34945,18891,,33,2811,4024,447,5682,,,8,62,16,3694,527,1106,340,2666,4009,1791,5560 
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kuwait,3640427,5701,150,698,26,187,5,58,0,0,2493,287,139,6,1,132,5,207,277,178,852,7,25,0,0,0,0,77,0,0,0,34,1,1,694,12,6,24,66,49,41,83,2,96,6,20,20,20,20,46,45,4,11,179,0,2,9,141,1056,595,35,0,200,53,11,58,129,0,2,3,0,508,70,20,44,21,54,27,108 
Kyrgyzstan,5250137,37711,1027,3095,50,394,99,570,0,0,18419,3372,2586,18,160,766,70,2194,481,621,3789,208,627,0,0,0,16,29,5,0,0,48,27,0,3038,74,139,586,184,222,110,350,46,225,213,60,69,44,42,69,91,57,27,364,12,13,231,463,10641,6055,214,86,896,2175,96,2268,754,4,1,49,20,1023,110,276,64,589,473,291,963 
Latvia,2177322,31031,286,5930,33,445,205,325,1,7,16516,725,1110,33,73,346,2,79,94,2368,2453,2,114,0,2,0,1,23,1,0,0,42,60,0,5833,132,108,539,643,121,377,1007,111,424,103,133,191,371,186,214,169,97,16,402,4,180,76,814,8638,4894,529,3,335,312,120,525,295,40,1,1,0,391,199,176,126,238,527,172,624 
Lithuania,3198231,43832,540,8400,23,316,98,607,0,1,23623,1684,2544,46,72,303,3,70,115,602,4785,7,347,1,0,0,6,127,0,0,0,10,14,0,8266,233,185,771,946,153,455,1384,115,602,228,135,276,528,234,264,283,134,10,285,2,199,135,536,14633,5843,725,6,729,870,261,1545,270,14,0,3,0,600,504,322,112,720,1111,248,1168 
