Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,2947320,16143,58,2724,,,51,148,4,1,9321,489,278,1,18,257,3,78,49,1589,987,3,10,0,0,0,1,12,2,0,0,0,0,0,2555,50,33,326,101,,124,617,35,165,20,44,23,135,2,43,90,169,16,37,5,34,7,145,3014,3301,198,4,120,273,11,177,219,23,0,3,0,289,57,54,5,56,160,84,282 
Anguilla,,64,3,15,2,7,0,3,0,0,16,2,3,0,0,1,1,0,0,1,10,0,0,0,0,0,0,2,0,0,0,0,1,0,15,3,1,1,0,1,0,0,1,2,0,0,1,2,1,0,0,0,2,7,0,2,0,5,3,4,0,0,1,0,0,2,1,0,1,0,0,4,0,1,0,1,0,1,3 
Antigua and Barbuda,85350,528,22,92,5,54,2,13,0,1,183,62,17,5,1,5,0,7,3,11,45,0,0,0,0,0,0,8,0,0,0,0,13,0,83,3,1,2,9,3,2,4,0,8,4,0,7,18,1,5,2,9,4,50,0,4,0,40,58,34,4,0,15,5,3,6,3,1,0,0,0,4,1,6,1,2,0,0,31 
Argentina,40381860,299677,13482,59125,967,10707,2501,4597,0,2,89706,43159,12714,1200,865,8533,319,4648,2762,24414,19647,369,597,4,0,51,24,10174,21,5,0,175,1385,0,56646,833,1788,2828,6567,1735,3753,8869,750,5181,1007,1486,1082,3835,1264,2081,1609,2479,633,7684,1056,2846,166,5332,18050,19216,2713,10,16109,4886,328,4929,6610,41,62,172,58,4555,300,548,425,273,3068,1785,8693 
Armenia,3234031,27412,277,5505,11,1368,8,148,0,1,13681,1792,1521,7,56,531,16,213,197,759,1321,14,172,0,0,0,1,34,2,0,1,14,13,0,4657,64,45,498,372,411,368,1234,,486,65,155,110,164,182,56,144,13,8,1308,,,100,820,8146,3421,,0,548,1146,175,999,,,2,8,4,202,16,26,13,18,63,56,927 
Aruba,101342,565,24,144,2,53,0,17,0,0,160,16,20,7,0,11,0,5,4,53,49,0,0,0,0,0,0,22,0,0,0,0,0,0,142,7,1,5,13,8,4,24,0,16,3,4,2,12,1,8,6,2,2,42,1,6,0,16,37,41,11,0,8,3,0,10,8,0,0,0,0,18,3,7,1,3,4,5,8 
Australia,21498540,143946,1969,42423,504,5887,6377,5983,11,2,48673,11275,4970,399,1171,3333,6,596,614,853,8900,68,64,1,0,2,14,1211,6,17,0,48,67,0,41350,677,1212,1145,4125,1213,2289,7956,1857,2775,235,350,898,3031,950,2386,1501,1073,210,4181,68,8430,336,1833,23813,11979,2324,46,1714,6255,276,1509,2901,63,0,6,0,1624,1461,184,84,876,2341,251,2079 
Austria,8321541,75083,649,20421,169,4398,825,2346,0,1,32294,4130,3043,64,273,1141,2,156,247,707,4217,67,49,0,0,1,9,88,2,5,0,277,46,0,19780,475,335,932,2237,784,1426,3608,392,1490,138,290,540,1184,497,951,737,641,82,3385,0,1005,186,2918,14453,5358,1721,1,1181,2590,158,1492,985,7,0,2,0,672,863,68,50,20,1267,48,1229 
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bahamas,348587,1862,159,359,14,110,6,59,0,0,624,81,79,14,15,49,3,37,11,31,211,0,4,0,0,0,0,34,0,0,0,0,117,0,355,7,2,13,44,4,7,30,3,44,9,6,18,59,3,22,16,4,11,82,5,24,2,158,165,149,18,0,46,15,3,37,28,4,0,3,0,64,3,23,4,1,4,76,36 
