Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Bahrain,1195020,2527,78,247,50,304,12,49,0,0,816,153,52,24,8,144,2,22,40,358,166,3,2,0,0,0,0,43,0,0,0,21,9,0,241,2,3,10,23,9,10,41,0,29,3,8,12,8,7,22,15,6,42,270,7,5,1,247,126,85,8,0,43,40,6,22,115,0,0,2,0,56,1,0,0,0,18,0,91 
Barbados,280602,2434,120,544,18,251,52,73,0,0,708,216,85,45,18,92,2,36,15,26,131,4,1,0,0,0,0,71,1,0,0,2,17,0,526,12,7,14,79,9,16,32,2,73,9,16,13,94,8,33,10,18,10,206,3,69,0,94,162,236,29,1,84,21,12,23,38,12,1,1,0,21,3,0,0,2,0,11,94 
Belarus,9473172,135090,1227,18130,76,362,1962,1596,0,6,70206,3117,5542,78,191,878,1,182,257,17781,13498,4,737,0,0,0,15,64,2,0,0,44,295,0,17854,708,385,2127,2278,368,900,3142,,1184,327,374,424,835,314,482,644,276,30,274,4,,349,336,49095,15695,,26,951,1761,293,3443,,,0,1,0,1507,978,733,509,898,2174,478,6221 
Belgium,11000638,104292,2391,28360,358,2661,3867,4698,0,4,31008,10472,4616,266,485,2540,9,220,225,5308,6804,362,50,0,0,2,10,1157,0,7,0,94,44,0,27416,520,684,810,2958,855,1649,6719,465,2388,197,370,654,1508,906,1259,893,944,168,1588,202,5650,261,969,8593,6974,1441,44,3432,4346,269,1377,1743,20,1,7,0,895,1342,71,79,190,2088,146,1993 
Belize,329193,1555,138,165,13,179,11,36,0,0,339,152,79,4,3,36,0,84,45,15,256,7,12,0,0,0,0,19,0,0,0,0,99,0,156,2,4,13,12,11,9,22,1,7,14,8,0,14,0,6,10,9,12,149,7,6,3,47,113,94,3,0,78,38,4,55,26,3,0,0,0,54,8,19,0,2,33,124,16 
Bermuda,,386,9,101,0,35,6,16,0,0,142,23,8,2,2,10,0,2,0,4,26,4,0,0,0,0,0,5,0,0,0,0,0,0,99,0,2,3,13,1,7,17,4,4,1,4,5,8,3,6,3,2,0,27,0,15,1,16,53,35,11,0,11,5,0,4,9,0,0,0,0,8,1,4,0,0,0,4,9 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,3839737,35028,299,7214,58,1940,151,411,0,0,18396,1250,867,12,44,550,2,118,58,2482,1176,3,160,0,0,0,0,96,0,0,0,27,0,0,7161,131,91,461,812,435,362,1787,104,429,100,113,138,308,180,188,147,53,31,1905,5,110,22,1133,3197,4651,828,12,175,712,78,379,529,17,0,2,0,4,0,3,1,0,5,0,1163 
Brazil,200517584,1170498,49162,184387,6332,73921,13376,26944,23,150,335173,126658,59692,3395,4486,26311,1680,23484,10442,78316,146034,4027,4964,102,1,40,432,14067,176,47,0,2962,12149,69,180986,6973,7636,13328,14016,8100,7726,22424,3096,13225,5160,3258,3027,13129,3278,6855,6187,3401,4413,57873,6638,15854,2177,46666,103475,100740,11969,191,59502,42831,3218,26032,15381,643,135,1031,398,44526,10787,5446,1041,803,9855,52166,21410 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,422700,1235,58,268,8,139,6,35,0,1,329,102,25,3,14,24,0,24,35,61,103,0,6,0,0,0,2,29,0,0,0,10,1,0,256,13,0,18,38,12,6,50,4,22,5,3,8,13,2,13,9,12,2,116,0,6,3,49,148,86,10,0,20,60,3,7,21,0,0,0,0,42,5,13,1,1,5,1,35 
Bulgaria,7416046,108258,520,16955,144,1641,77,995,6,6,72582,4012,3263,22,58,1165,2,290,141,3559,2820,16,169,1,0,0,7,238,2,0,0,25,11,1,16844,394,186,1261,2341,722,958,3357,318,1284,348,381,399,900,495,359,409,111,103,1608,5,178,55,7089,12702,20300,3597,18,1322,1180,240,1717,1137,9,0,0,2,637,263,134,103,98,763,97,725 
Canada,34499905,242074,5574,73912,946,9808,13947,12037,3,13,66178,22084,9659,422,1671,5011,18,1079,893,3017,15802,1734,98,0,0,3,9,2456,4,13,1,460,303,1,72477,1186,1741,1919,8180,2273,4082,19222,1329,4958,397,898,1695,3693,1942,4115,2506,1435,538,7194,218,19347,441,2561,33569,13283,3314,461,5285,11184,388,3382,3608,116,1,13,3,2351,4198,253,187,1641,3728,527,2917 
Cabo Verde,495159,2521,190,338,10,64,115,38,0,0,655,233,91,9,2,40,5,141,34,267,289,23,24,2,0,0,1,72,0,0,0,3,60,4,335,17,31,46,12,34,18,30,0,18,10,8,2,34,5,5,10,3,10,57,3,4,1,41,111,290,14,0,126,18,3,56,37,0,2,3,0,2,0,36,1,0,42,51,157 
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Chile,17201305,94985,1885,24583,478,4640,2224,3290,0,2,25744,9104,6963,173,515,3102,46,870,956,2383,8027,238,456,2,0,11,8,365,4,7,0,57,472,0,23672,243,683,3237,2012,1046,1108,2780,402,1347,587,285,406,1942,407,1120,651,911,382,3426,568,3560,128,3488,7197,8736,1039,0,3098,3074,145,4076,2030,14,8,20,12,2221,952,386,311,444,2027,785,901 
Colombia,46406446,195823,5790,35491,818,8990,139,2912,0,13,58874,20538,9673,1136,2214,5257,459,4174,2466,5546,31308,574,902,6,0,16,13,1093,35,8,0,97,2354,23,33054,564,615,4509,2705,1600,1364,3963,634,2319,1535,429,778,2382,394,1547,1656,2437,458,6734,1587,383,211,6658,29373,13411,1474,16,5978,11073,607,2366,3481,152,43,253,153,5917,1134,906,82,178,2052,16676,4363 
Costa Rica,4600487,18458,370,4403,51,786,225,513,0,1,5440,1510,1371,76,194,501,17,309,301,230,2160,64,60,0,0,0,0,45,8,3,0,8,129,0,4154,67,51,574,401,231,198,286,82,262,106,44,62,418,71,278,199,249,33,680,30,350,39,700,2488,1228,196,2,420,782,60,650,381,7,1,12,3,588,91,135,12,58,316,438,522 
Croatia,4402788,51019,273,13861,41,1230,1046,870,0,0,24841,2052,2314,15,129,803,4,119,109,545,2767,26,65,1,0,0,4,121,0,0,0,35,6,0,13645,386,225,885,2009,502,686,2838,294,894,111,226,290,755,367,479,348,216,20,1194,0,571,76,1494,10866,7508,1460,20,294,1609,212,1193,565,20,0,2,2,504,982,95,59,108,702,50,267 
Cuba,11323570,87044,873,22379,202,2519,3742,1311,28,8,33648,9005,3236,190,593,832,61,343,393,671,7010,257,41,0,0,0,2,73,1,8,0,145,233,0,21817,757,658,818,2233,796,801,4994,422,1390,466,571,267,2624,553,887,548,562,140,2284,50,3610,171,2585,15370,8648,2508,5,5197,3514,368,1144,642,58,6,36,11,910,2052,220,34,97,1529,534,1634 
Cyprus,848964,5248,82,1176,39,422,81,161,0,0,2041,361,189,34,23,173,0,16,21,178,251,25,3,0,0,0,0,34,1,0,0,5,2,0,1133,15,8,48,90,41,51,231,18,110,7,23,27,79,39,61,47,43,30,368,2,152,13,205,671,408,45,2,76,107,8,50,135,2,0,0,0,78,24,7,2,14,30,22,74 
Czech Republic,10496672,106848,1358,27539,155,2794,936,2132,0,1,52725,5690,4531,170,146,1216,2,170,156,1154,5973,286,55,0,0,0,8,733,2,1,0,140,8,0,27171,698,473,1092,3687,766,2033,5590,494,1725,315,432,678,1314,699,1008,853,368,56,2378,78,1823,232,2103,26739,10803,4230,79,2336,2604,444,2157,973,31,0,2,0,871,802,186,51,338,1590,88,2047 
Denmark,5566856,52205,780,15503,265,1665,3006,1812,5,0,13093,5723,2444,62,328,766,2,111,124,4356,2160,243,15,0,0,0,8,263,4,3,1,20,18,1,15237,324,408,387,1942,371,877,3567,324,1200,75,146,372,1228,492,583,510,266,190,1355,15,2983,51,885,4460,3400,948,12,1830,3373,332,883,440,32,1,1,0,229,519,29,59,223,589,43,469 
Dominica,,603,19,133,10,65,8,11,0,0,182,45,27,13,0,9,0,25,9,14,33,0,0,0,0,0,0,8,0,0,0,0,5,0,128,2,1,15,15,3,4,5,1,9,4,2,3,36,2,6,4,5,7,56,2,3,0,52,26,53,4,0,29,12,5,9,7,2,0,0,0,9,1,6,1,0,5,5,6 
Dominican Republic,,32048,1536,4473,140,1441,67,387,0,0,11152,2736,1091,4,46,345,188,2781,541,1327,3776,231,291,19,1,0,4,392,11,0,0,37,463,3,4319,208,79,285,334,307,181,550,68,337,185,80,30,780,35,148,165,154,109,1280,70,125,34,1412,5049,3197,113,7,1043,566,114,581,308,18,17,106,65,1397,34,24,33,4,226,929,1129 
Ecuador,15177280,62304,2310,9821,495,5246,294,1149,0,5,13658,5368,3710,49,245,1837,239,1636,716,5843,9683,242,481,4,0,0,0,751,1,1,0,43,662,2,9464,94,84,1639,652,692,358,743,194,419,348,396,167,856,93,525,482,357,413,4455,471,316,70,4381,2014,3930,325,26,3041,1260,251,1997,1737,77,10,175,54,3368,426,373,111,206,919,2107,2173 
Egypt,83787634,493069,18278,31761,5625,11924,436,4615,83,22,218796,33296,59179,354,238,17968,550,3577,6869,58471,21027,4496,582,96,0,1,31,3098,78,17,35,8181,6,2,28651,395,316,1407,1356,5706,945,3147,46,2093,132,314,173,651,1665,180,2825,3110,760,5175,227,540,1212,28864,17826,43175,22173,10,12711,4554,272,54761,17691,103,17,511,10,7445,1014,1305,284,101,177,190,10511 
El Salvador,6055208,33162,1105,3578,175,1829,437,710,3,0,6245,2414,1701,111,111,2740,16,307,257,5403,6020,121,53,4,0,0,0,552,1,0,0,9,303,0,3559,62,42,466,195,251,132,242,19,140,185,120,83,216,30,104,195,19,126,1458,209,63,6,482,2432,924,47,0,1285,534,114,962,2565,27,0,16,0,1068,297,259,13,128,490,3605,160 
Estonia,1327439,15204,130,3682,18,191,122,265,0,2,8159,417,552,9,36,105,1,15,33,333,1134,1,45,0,0,0,0,3,0,1,0,8,60,0,3624,86,58,288,432,85,258,650,82,253,77,49,104,223,121,149,126,58,10,164,5,107,28,1935,3887,1239,272,6,145,219,64,259,90,5,0,1,0,121,86,60,66,273,218,65,245 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,867327,6663,355,727,53,1587,1,80,0,0,2326,375,146,37,46,216,4,129,91,177,313,106,31,0,0,0,1,146,0,0,0,12,0,0,674,13,18,21,36,60,17,49,3,112,89,27,16,34,8,19,27,53,35,1463,15,1,43,891,675,149,16,0,139,179,13,54,179,17,1,3,0,56,14,54,26,0,38,8,117 
Finland,5388272,50568,406,11900,54,597,2073,5773,0,0,20246,2034,2438,32,230,408,0,62,173,276,3866,44,61,1,0,0,3,177,1,8,0,9,5,0,11583,190,242,484,1139,423,1005,2106,283,836,47,162,367,879,263,765,342,317,20,478,5,6406,45,1037,11169,4346,1051,27,358,1284,149,1172,317,17,0,0,0,343,1212,120,58,719,912,99,403 
France,63224445,536628,11421,159418,2166,18561,19196,33155,47,22,138684,34059,22493,1014,3687,8237,45,1289,1394,44511,37229,2384,584,3,0,3,27,5117,3,53,6,695,386,9,152749,4126,3817,4676,17179,7955,9344,30010,2485,11557,775,2505,3469,8804,5094,7493,5690,6669,1220,10908,2594,34121,1504,8722,34539,31763,7808,228,10451,9386,830,8022,6410,61,3,30,9,3847,6160,918,458,2017,10408,396,13025 
French Guiana,238599,693,45,124,5,46,11,15,0,0,127,30,33,2,5,11,0,21,12,91,115,5,1,0,0,0,0,12,0,0,0,2,15,2,119,7,1,11,9,6,11,10,1,7,3,5,5,10,3,6,5,5,2,33,3,9,1,19,21,52,6,0,14,8,0,15,10,0,0,0,0,30,3,15,2,5,21,16,23 
Georgia,4483400,49818,374,4774,90,1021,64,520,0,0,17881,1139,1446,8,33,422,21,388,57,20201,1379,12,156,1,0,0,1,43,1,0,0,92,22,0,4334,136,48,374,258,261,149,745,101,444,121,109,87,227,145,115,96,440,36,984,3,60,185,2232,5459,5492,419,14,352,309,121,770,379,13,0,18,3,43,18,55,24,8,99,18,1114 
Germany,81779210,852328,16706,228220,2683,29822,27113,22706,3,22,342233,60019,40507,1161,3056,19667,32,1244,1619,22527,32988,4631,342,0,2,3,25,7730,9,27,1,968,463,9,221591,5386,5138,10090,26302,7562,15940,43944,3598,17815,1626,2442,5837,13324,5937,10559,7618,6629,1340,23552,231,26638,2402,33575,127101,59066,18862,78,19337,29324,2792,15174,15697,120,0,26,5,4336,9722,370,376,637,10153,432,6962 
Greece,11300025,111099,970,27357,,,126,1517,0,0,47741,10335,2772,21,576,1782,4,146,239,12187,3460,1,67,4,0,0,0,753,1,0,0,77,18,1,27341,278,189,1289,2438,251,1561,6581,372,1842,168,316,520,1533,1113,913,1066,16,48,1152,0,636,3,1586,11500,15041,875,112,962,2270,440,809,1625,0,1,3,0,1339,384,387,100,254,477,186,333 
Grenada,105070,803,29,187,6,109,0,16,0,1,266,68,23,4,2,9,0,15,10,14,44,1,0,0,0,0,0,17,0,0,0,0,11,0,180,7,4,7,14,7,9,11,1,14,8,8,11,44,3,11,2,7,5,101,1,5,1,40,81,85,8,0,40,13,2,2,5,0,0,0,0,9,2,6,1,1,1,3,21 
Guadeloupe,403975,2835,99,648,14,159,74,156,1,0,740,139,125,17,10,55,0,19,10,316,253,7,5,0,0,0,0,44,0,0,0,4,11,2,626,27,14,62,63,19,37,52,5,33,11,23,10,96,9,46,16,22,12,121,11,99,4,93,101,261,34,3,64,17,5,50,48,0,0,0,0,51,26,26,5,12,32,23,78 
Guatemala,15049280,72354,4540,7482,685,6913,590,1570,0,0,11160,9185,5274,71,223,2483,315,2758,1175,5331,12599,2372,284,12,1,13,1,1001,2,0,2,59,570,7,7146,93,105,1366,283,1124,170,333,110,233,351,371,65,525,33,165,415,336,530,4721,1631,125,11,853,4825,2938,111,6,6953,1109,635,2915,2278,96,17,284,14,963,6,392,121,1058,361,4283,5415 
Guyana,755883,5391,521,517,92,573,6,64,0,0,1949,274,314,5,8,95,14,121,29,43,766,53,101,1,0,0,0,87,0,0,0,2,230,36,485,10,3,15,34,20,19,21,0,39,45,21,25,68,6,17,13,32,80,481,28,12,6,364,580,586,16,0,182,47,27,186,76,8,5,8,1,151,14,105,14,3,192,124,163 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,5809,421,504,54,491,21,103,0,0,1064,561,415,24,33,139,47,917,331,66,618,77,96,4,0,3,0,60,0,0,0,9,131,2,444,2,5,48,25,28,12,40,4,17,36,4,10,9,5,32,67,60,43,402,62,3,13,179,270,360,26,0,220,224,4,238,113,9,2,37,8,99,40,3,3,30,112,94,237 
Hong Kong SAR,7071600,42188,1123,13514,104,559,762,370,1,0,10346,8822,1483,164,132,2008,1,41,81,1106,1567,35,188,1,0,0,0,767,2,0,0,39,21,2,13241,514,337,687,1904,1536,508,3789,48,552,151,116,180,299,199,457,329,273,45,457,7,792,88,764,4361,3339,427,26,6211,1965,109,466,1597,12,0,1,0,102,183,30,5,149,821,23,254 
Hungary,9971727,128795,616,33274,211,3131,2764,1682,0,11,64250,6594,7306,121,437,910,9,250,344,166,6719,258,125,1,0,0,10,69,0,9,0,36,12,0,32670,1494,596,1701,5054,796,1850,8533,556,2138,414,436,700,1198,923,867,948,604,106,2782,18,2879,262,6988,33230,13369,3036,28,789,5070,774,4176,663,91,0,6,3,912,1864,156,141,88,2422,160,976 
Iceland,319014,1988,16,598,5,29,59,185,0,0,689,177,50,1,12,26,1,1,6,17,116,5,1,0,0,0,0,6,0,0,0,0,1,0,585,15,20,22,47,14,27,142,18,31,5,6,14,43,23,31,23,13,4,19,1,173,0,25,356,151,31,0,75,93,3,4,23,1,0,1,0,15,12,2,0,21,27,3,36 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,4574888,28456,235,8874,75,634,808,1113,0,0,9236,3438,1048,37,182,689,2,102,182,108,1693,30,29,0,0,0,2,98,0,4,0,20,14,0,8667,163,359,327,1040,261,478,1850,227,690,98,104,278,563,220,460,228,207,29,466,3,1253,51,308,4707,1993,440,5,1057,1504,95,374,468,13,0,2,0,189,273,49,42,298,554,28,260 
Israel,7765832,40668,1998,10567,294,2889,1203,1333,0,1,10452,3168,1507,426,290,2039,2,242,287,2051,1919,177,21,0,0,0,2,1529,0,3,0,107,31,0,10289,113,116,519,1254,296,814,1836,275,1016,79,168,257,432,353,722,520,278,203,2190,38,1588,150,875,4352,2442,369,13,889,1240,50,417,1622,9,0,2,0,388,130,44,24,5,409,164,755 
Italy,59379462,594153,11075,175972,2925,26801,15970,23203,35,19,223110,40559,22921,993,3143,11103,14,1020,1426,10171,23693,526,383,22,0,0,17,5471,12,48,0,3012,831,3,167883,2859,1809,9985,19120,10054,10809,33819,2530,12001,441,2483,3216,7536,5634,8329,5988,8089,2033,21159,453,26370,2195,28755,74712,60524,7720,400,8383,20912,724,8237,9499,171,2,12,0,4485,3920,399,231,392,4156,453,9657 
Jamaica,2752358,16926,737,3400,142,2467,23,381,0,0,5098,834,433,133,98,355,28,446,164,129,2053,6,7,1,0,0,0,125,1,0,0,10,523,0,3284,45,56,179,290,71,89,387,11,294,192,97,65,616,46,216,104,116,109,2266,51,134,31,1142,1085,2121,111,4,231,384,63,110,181,76,4,23,1,345,12,17,7,2,50,952,668 
Japan,126180000,1253066,26357,367816,4357,22133,9508,21998,13,15,348836,198395,46755,1468,5775,34707,43,637,2102,68037,94114,2319,3509,7,0,2,0,11197,10,15,1,5576,53,2,357312,6888,11970,49830,46104,31875,28829,70293,1453,12731,2737,3338,4705,10823,7008,14463,8156,10504,1798,14664,1701,15278,2437,7023,77841,123867,19115,574,124749,20107,3110,16390,29533,109,3,23,15,6741,7686,7356,1434,942,28905,416,40634 
Jordan,,16892,346,2634,76,1430,7,370,0,1,6360,941,487,38,45,417,34,1013,745,486,1462,21,20,0,0,0,0,218,0,0,0,75,2,0,2485,56,23,119,259,81,110,421,11,279,10,40,35,100,70,178,211,149,34,1339,2,17,16,1760,2188,1505,69,0,458,281,21,173,374,4,1,32,1,573,54,42,72,37,19,146,519 
Kazakhstan,16548776,144197,2198,17118,149,1232,278,2655,0,6,51267,8626,9216,92,196,1664,48,3170,1479,27813,16990,71,1389,2,0,0,30,326,3,0,2,46,180,0,16956,538,999,2107,1543,810,833,2939,,1320,617,303,480,369,294,230,555,162,79,1035,79,,364,2444,16603,15293,,27,2509,5270,464,7063,,,3,26,17,3201,612,829,343,2013,3405,1525,5062 
Kiribati,103466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kuwait,3632009,5339,228,738,17,199,3,62,0,0,2223,367,129,6,13,105,6,193,226,84,740,6,19,0,0,0,1,160,0,0,0,36,0,1,713,8,18,23,84,44,34,72,2,93,11,21,20,18,27,33,62,25,8,171,0,4,8,134,1255,399,29,3,277,45,3,66,95,0,2,4,0,422,53,17,25,8,41,15,159 
Kyrgyzstan,5514754,35941,1031,3379,41,362,76,480,0,0,17991,2602,2426,9,108,572,81,2017,483,666,3617,164,638,0,0,0,8,44,8,0,1,50,58,0,3325,97,153,623,204,234,140,416,50,264,206,49,77,57,51,57,117,54,29,320,17,17,192,414,11262,5157,224,80,772,1583,88,2096,563,6,5,52,22,933,101,300,57,443,471,303,1009 
Latvia,2059709,28550,258,5966,29,519,319,262,0,5,15673,726,987,39,72,321,0,69,68,1397,1840,4,76,0,0,0,1,34,2,1,0,34,73,0,5882,200,113,465,689,142,383,988,130,444,121,135,209,372,177,187,167,84,16,486,4,173,57,875,8366,4371,483,5,333,303,124,422,276,25,0,0,0,200,217,148,135,118,440,130,452 
Lithuania,3028115,41037,553,8244,30,315,78,552,0,3,23086,1243,2058,41,82,286,2,68,87,589,3720,8,216,1,0,0,8,244,3,0,0,32,18,0,8107,255,164,670,954,196,451,1390,161,542,213,153,281,507,233,273,263,137,18,278,3,198,120,523,14743,5686,379,12,394,742,243,1045,241,21,0,2,0,362,348,239,60,456,1018,158,1079 
Luxembourg,518348,3722,88,1073,21,84,98,159,0,0,1263,306,167,6,16,64,0,8,4,109,256,4,2,0,0,0,1,49,1,0,0,4,3,0,1042,27,34,43,122,37,72,207,12,83,6,13,36,49,40,54,42,31,15,55,10,152,5,35,343,290,59,4,79,151,3,66,56,0,0,0,0,28,49,1,1,18,55,2,102 
