Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Netherlands,11377,10193,10459,8581,7587,7616,7085,7152,6473,6968,6436,6513,6560,6452,5672,5133 
Netherlands Antilles,,,,,,,,,,,,,,,,1 
New Zealand,,,,1306,1150,924,897,890,821,826,728,831,762,725,679,541 
Nicaragua,,,262,300,286,241,220,235,182,211,233,236,218,174,168,183 
Norway,,2417,2204,2253,2045,2016,1834,1749,1659,1606,1559,1288,1262,1310,1340,1275 
Occupied Palestinian Territory,,18,13,19,16,15,4,0,,,,,,,, 
Oman,,,,,,19,6,,,,,,,,, 
Panama,,57,44,35,51,48,43,17,26,23,33,24,35,24,27,54 
Paraguay,,320,247,227,104,71,40,21,49,107,101,80,56,57,57,61 
Peru,,0,0,0,0,0,2,7,0,0,1,361,358,416,432,105 
Philippines,,,,,441,345,373,762,424,597,,,1121,966,882,908 
Poland,,1490,1531,1697,1800,1583,1747,2067,2156,1962,1811,1811,1705,1485,1594,1541 
Portugal,,2639,2223,182,181,223,212,206,177,,,,576,682,463,349 
Puerto Rico,,690,773,763,648,549,481,445,355,309,276,275,244,291,320,344 
Qatar,,0,0,0,0,2,0,0,1,1,0,1,,,9, 
Republic of Korea,,,5190,5574,5141,4947,4953,5449,4219,4369,4503,4794,4572,5583,6399,6428 
Republic of Moldova,181,168,54,104,94,201,193,156,204,181,196,120,88,139,104,96 
Reunion,,,123,152,119,136,139,152,137,136,172,118,152,170,118, 
Rodrigues,,2,2,2,1,1,5,2,0,0,2,2,,2,1, 
Romania,212,222,210,176,213,271,302,260,252,248,697,911,1109,1214,1069,1208 
Russian Federation,,,,,5012,6617,6136,6795,6520,7136,7964,8052,8647,8759,8865,8460 
Saint Kitts and Nevis,,,,5,4,7,4,3,2,3,7,1,1,1,3,4 
Saint Lucia,,4,2,0,3,2,1,5,,2,14,2,12,0,3,5 
Saint Pierre and Miquelon,,,,,,2,4,3,,0,2,,,,, 
Saint Vincent and the Grenadines,1,6,2,6,1,3,4,13,5,12,14,12,9,1,5,3 
San Marino,5,,,,,,,,,,0,,,0,,1 
Sao Tome and Principe,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,3,,,2,,,,,,,,, 
Serbia,,1303,1219,1163,1120,1204,942,829,720,697,751,676,576,443,372,407 
Seychelles,,2,2,2,0,0,2,1,0,0,3,4,0,1,3, 
Singapore,1,1,3,2,7,8,0,0,4,2,2,0,0,5,14,15 
Slovakia,,947,725,914,,0,3,1,5,2,11,14,9,15,8,22 
Slovenia,272,,204,162,130,142,115,129,76,142,165,167,204,208,192,196 
South Africa,,1991,1780,1778,1754,1754,1725,1829,1818,1793,1748,1664,1889,1873,1660,1751 
Spain,,18706,16977,17145,15276,14821,14456,13040,12309,12107,12539,11878,13072,11682,11346,11149 
Sri Lanka,,,,,,,,,,439,,,1126,1105,1113,1076 
Suriname,,10,12,5,5,13,15,6,9,14,6,11,7,6,3,9 
Sweden,6230,5986,5939,5828,5446,5089,4931,4961,5027,4677,4673,4569,4064,4779,4278,4161 
Switzerland,,,5053,4704,4362,4278,3845,3446,3117,2796,3145,2746,2817,2753,2520,2312 
Syrian Arab Republic,,,,,,71,143,158,134,89,67,70,58,84,42,96 
Tajikistan,,,,,,,,,,,89,72,78,77,90,67 
TFYR Macedonia,,,21,10,21,19,10,7,12,14,47,31,40,41,26,32 
Thailand,,1043,917,841,796,731,703,666,658,712,854,820,758,731,,569 
Trinidad and Tobago,,,,,,66,41,43,45,41,47,43,50,36,37,30 
Tunisia,,,104,,,,146,,,,,,,,, 
Turkey,,,560,626,513,515,498,,,,,,,,, 
Turkmenistan,,23,20,18,29,59,124,145,182,227,253,179,207,143,148,137 
Turks and Caicos Islands,,0,3,,,,0,0,0,0,0,0,0,0,0,1 
Ukraine,,1609,,1565,1458,1641,2073,2858,3014,2838,3390,3191,2709,2758,2622,2713 
United Arab Emirates,,,,,,4,9,5,1,3,3,,,,, 
United Kingdom,,,43207,40705,35280,23740,21682,22154,19979,17854,17504,17364,17947,17308,17082,13382 
United States of America,,151048,156415,147917,135949,120824,106243,104617,90279,91035,71466,61524,60058,55788,50811,46015 
Uruguay,,716,730,685,,634,595,658,803,660,577,499,656,695,743,850 
Uzbekistan,,38,11,227,202,221,235,,,,339,277,336,417,472,512 
Venezuela (Bolivarian Republic of),,,11,101,61,92,85,109,82,112,135,170,219,239,241,223 
Virgin Islands (USA),,,,24,20,28,20,12,17,9,9,15,16,12,13,9 
Zimbabwe,,,,,,,,,,,,,,,, 
