Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,3127263,17748,103,2907,,,107,473,17,7,8891,933,315,5,37,251,1,65,57,2092,1215,13,18,0,1,0,0,11,2,0,0,4,2,0,2718,71,48,371,101,,138,605,36,138,18,39,23,134,0,41,124,189,33,160,3,66,35,537,2658,3182,263,34,391,381,16,2,208,26,0,1,0,353,45,81,10,105,146,131,344 
Anguilla,,48,0,11,1,7,0,1,0,0,14,2,4,1,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,1,1,0,1,1,1,0,2,0,0,1,7,0,0,0,2,5,4,2,0,1,0,0,2,2,0,0,0,0,1,0,1,1,0,0,0,1 
Antigua and Barbuda,81718,511,16,103,10,75,3,9,0,0,175,14,18,1,0,9,0,30,4,19,25,0,0,0,0,0,0,7,0,0,0,1,5,0,96,1,1,2,8,1,3,2,0,11,3,2,1,28,0,7,1,7,7,66,4,0,0,34,48,51,1,0,4,4,0,10,8,0,0,0,0,3,0,3,2,0,2,7,8 
Argentina,38728778,293859,13329,57726,1116,12595,2451,4282,2,2,90883,41206,11226,1322,718,8378,313,5534,2845,21703,18019,365,704,13,0,20,29,9763,43,2,0,209,1451,0,54913,840,1838,2995,5976,1704,3332,8468,701,5244,1007,1391,1044,3680,1288,2071,1676,2813,819,9237,1439,2919,162,5905,18620,21876,3650,21,14619,5072,356,4034,6944,47,94,166,33,3743,294,565,418,217,3131,2236,7415 
Armenia,3214030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aruba,98742,510,20,126,5,40,7,2,0,0,185,24,22,5,1,14,1,0,2,16,40,2,0,0,0,0,0,13,0,0,0,0,4,0,125,2,4,6,14,4,3,17,2,16,2,2,4,10,3,3,5,1,3,37,0,0,0,22,37,44,12,0,11,3,1,9,13,0,0,1,0,14,2,6,2,1,8,2,5 
Australia,20132756,132314,1801,38883,484,5035,3406,4543,9,10,47545,11633,4525,333,1028,2974,12,578,585,960,7970,71,63,0,0,2,22,1031,4,15,1,33,107,2,38018,624,1088,1145,4124,896,1998,7261,1560,2664,210,323,852,2793,903,2358,1445,865,218,3566,126,4699,258,1332,24549,12019,2472,36,3329,5791,356,1382,2160,46,0,12,0,1692,873,198,92,717,2114,162,2122 
Austria,8169441,74292,538,19755,91,4392,649,1878,0,1,32486,4490,3336,36,213,1187,3,215,232,624,4166,24,45,0,0,0,6,20,3,14,2,302,54,1,19245,477,286,1125,2385,762,1317,3388,340,1530,164,278,559,1139,527,874,726,510,34,3760,1,633,235,1789,14946,5658,2218,5,1407,2782,228,1787,1078,8,0,3,0,862,1016,76,46,31,1422,61,652 
Azerbaijan,8306500,49568,1124,6107,131,1335,35,557,0,1,28495,3210,3040,15,36,1049,34,547,275,1613,1964,150,813,2,0,0,1,25,0,0,11,91,0,1,6024,103,370,1093,423,445,304,883,,433,106,148,106,164,91,112,243,83,113,1292,10,,119,5917,12594,7014,,59,1663,1001,228,2380,,,6,25,1,330,60,157,211,52,108,157,889 
Bahamas,322539,1655,202,281,11,108,13,51,1,1,569,68,62,14,10,29,2,29,20,23,161,2,6,1,0,0,0,29,0,0,0,0,160,0,272,12,7,25,27,8,4,16,1,41,8,11,12,37,1,9,9,9,10,87,4,17,0,215,112,125,15,1,20,17,4,30,23,0,1,1,0,54,5,16,2,5,2,44,33 
Bahrain,807989,2208,77,260,41,203,5,42,0,0,593,123,68,41,6,84,3,85,47,331,199,5,8,0,0,0,0,36,0,0,0,16,10,0,255,5,2,10,16,13,13,48,1,40,3,4,5,6,8,11,19,5,34,169,2,5,1,231,125,54,11,0,28,54,7,24,76,0,0,2,1,78,0,0,0,0,42,0,79 
Barbados,273091,2306,182,488,12,249,12,31,0,0,666,191,67,47,19,134,1,33,6,67,101,3,2,1,0,0,0,151,0,0,0,0,17,0,485,9,11,36,69,16,16,20,1,48,18,13,8,107,2,37,9,3,7,224,2,14,0,133,121,147,43,0,94,27,3,23,100,0,0,1,0,37,1,3,3,1,3,25,28 
Belarus,9824568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Belgium,10421137,101256,2649,26698,344,2666,3092,3347,3,3,35302,11209,4409,393,413,1511,1,199,231,2536,6247,303,72,5,0,1,19,1524,0,3,1,133,69,1,25782,501,658,841,2872,670,1305,6105,364,2282,189,343,678,1374,797,1150,865,916,195,1672,125,4061,294,969,11847,8053,1545,62,3855,4696,253,1323,1258,12,0,1,0,1198,1243,73,98,146,1987,178,1324 
Belize,276085,1298,132,163,5,113,4,22,0,0,307,126,52,2,2,38,3,48,24,33,224,12,8,0,0,0,0,20,0,0,0,2,85,1,156,4,1,16,11,16,7,11,2,5,14,13,1,20,1,5,5,7,4,89,10,3,2,135,53,39,11,0,77,34,2,31,31,2,0,3,0,63,9,23,4,0,20,40,65 
Bermuda,,416,12,98,4,33,3,15,0,0,162,30,20,1,6,9,0,1,0,2,20,0,0,0,0,0,0,3,0,1,0,0,7,0,97,1,3,2,14,0,3,19,2,8,1,3,6,11,1,5,0,1,4,28,0,11,0,7,78,40,9,0,16,10,3,9,9,0,0,0,0,1,2,1,0,7,0,1,8 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,186116363,1024069,46049,140789,4977,53116,8155,15154,21,119,285497,102143,48654,1885,3002,17093,1672,30715,10107,126824,127400,5406,5535,152,2,19,472,12364,105,18,1,2121,11020,100,139123,5463,6336,12082,9551,5969,5527,17487,2167,9789,4393,2749,2406,9590,2410,5433,5073,1666,3524,39242,7142,5732,2049,30849,86781,90915,10470,111,37490,38422,3035,22491,11904,454,156,1119,318,35661,6615,6429,950,250,8018,48369,21108 
British Virgin Islands,,119,4,28,1,5,2,2,0,0,40,4,2,0,0,2,0,6,0,4,19,1,0,0,0,0,0,2,0,0,0,0,1,0,27,0,1,1,4,0,4,0,0,2,0,1,0,1,0,0,1,1,1,4,0,0,0,21,12,0,0,0,2,2,0,1,2,0,0,0,0,1,0,5,0,0,0,4,9 
Brunei Darussalam,359700,1009,40,219,7,81,3,14,0,1,304,91,30,2,7,28,1,38,17,49,77,1,12,0,0,0,0,16,0,0,0,5,0,0,218,11,4,21,22,18,5,37,,13,9,4,6,7,3,15,6,1,5,78,0,,2,42,105,71,,2,20,50,10,10,,,0,1,0,38,6,13,1,2,3,2,12 
Bulgaria,7781161,110110,619,16266,,,180,723,0,0,74064,3192,2905,27,38,927,7,253,211,4724,3880,17,269,1,0,0,30,189,3,0,0,41,0,1,16179,320,177,1500,2146,,948,3159,191,1144,364,366,431,755,464,317,459,87,95,1928,2,94,178,4698,18378,20564,5731,5,1426,1342,227,1463,835,8,1,6,0,984,314,147,104,184,1013,222,912 
Canada,31989454,226584,3993,68322,800,10172,6840,10258,4,8,72743,19607,8660,330,1433,4879,20,1024,865,2685,13941,1028,102,0,0,0,14,1608,1,23,0,409,420,0,66947,1067,1488,1919,7319,1510,3577,17653,1012,4964,388,734,1590,3685,1634,4031,2256,1375,417,7823,213,11157,429,2121,39311,14626,4356,296,5433,10041,422,2831,3805,70,1,14,5,3040,2229,251,235,954,3613,515,3104 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,162,1,39,1,10,1,0,0,0,47,23,6,1,2,4,0,1,3,4,19,0,0,0,0,0,0,1,0,0,0,0,0,0,39,2,1,0,3,3,2,9,0,4,0,0,1,3,0,0,0,0,1,10,0,1,1,8,14,10,2,0,15,5,0,1,1,0,0,0,0,4,1,0,0,2,0,5,7 
Chile,15913119,86138,1824,20773,299,4243,2600,2171,4,9,24268,8344,6562,259,547,2436,42,844,963,2442,7508,219,654,1,0,11,23,189,4,7,0,89,399,0,19900,190,715,3052,1427,763,897,2222,286,1096,676,201,329,1462,336,968,583,873,217,3415,454,2862,279,3132,7967,7783,852,59,3414,3116,210,4177,1550,82,4,22,16,2309,720,513,275,88,1735,853,1015 
Colombia,42724157,188781,7352,30946,744,9764,55,2499,0,3,54237,17792,8536,770,1241,3953,546,5767,2848,3263,38438,1329,1247,37,0,8,20,1323,36,8,0,152,2426,119,30112,475,674,4351,2081,1679,1002,3596,423,1853,1621,493,563,2239,379,1283,1424,834,511,7437,1866,173,284,5582,24711,13672,1793,17,5482,9694,787,2246,2778,130,55,363,123,6482,1109,1115,126,157,2264,22333,4852 
Costa Rica,4187039,16475,394,3710,66,906,137,428,0,0,4781,1583,1158,79,72,384,25,340,252,177,1983,109,74,0,0,1,2,32,2,0,0,12,121,1,3542,56,44,639,309,199,176,254,67,223,130,48,57,312,57,217,167,168,41,839,22,187,51,593,2321,991,154,2,425,810,66,538,317,8,3,18,4,626,90,127,26,8,327,260,519 
Croatia,4439400,49756,373,12408,52,1003,574,522,0,2,24959,2895,2370,10,72,624,3,136,129,754,2870,15,161,5,0,1,2,129,0,0,1,40,3,0,12287,372,175,967,1564,448,537,2635,221,825,98,174,272,591,297,407,351,121,29,973,0,299,32,691,9173,7962,1217,40,1504,1185,235,1284,492,21,1,1,1,674,745,73,44,83,871,82,298 
Cuba,11240680,81110,748,19108,183,2107,2557,1159,9,12,32805,9539,3064,135,490,718,56,354,514,672,6880,235,43,0,0,0,8,86,1,9,0,120,109,0,18757,587,496,760,1866,637,654,4383,322,1197,431,562,200,2168,434,852,544,351,129,1879,57,2395,233,1618,15369,8250,3283,0,6122,3113,389,1142,523,78,11,18,20,1286,1766,265,65,36,1515,660,1287 
