Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Bahrain,1178415,2387,85,218,34,194,3,45,0,0,612,176,68,21,7,138,3,66,47,452,218,7,6,0,0,0,0,51,0,0,0,14,4,0,213,2,3,12,20,6,15,32,0,25,5,1,7,8,4,10,13,5,26,157,1,2,2,107,102,65,4,0,70,45,6,24,101,0,0,2,1,96,0,0,0,0,36,0,86 
Barbados,278466,2363,135,545,13,235,31,56,0,0,718,196,94,50,19,89,0,24,11,21,126,6,0,1,0,0,0,94,0,0,0,0,12,0,527,10,7,25,66,7,24,27,3,51,16,22,5,114,6,29,17,18,8,202,3,46,5,121,204,195,25,0,68,23,8,31,35,4,0,0,0,10,1,8,0,2,5,21,79 
Belarus,9668120,135097,1175,18173,73,412,975,1157,1,14,73040,4117,5007,77,162,939,1,210,306,15362,13896,2,764,1,0,0,22,47,2,0,0,21,246,0,17928,701,389,2353,1198,390,783,3172,,1194,315,341,430,817,379,510,671,245,31,341,3,,405,612,50755,17583,,221,1049,2522,289,3007,,,0,1,0,1588,1124,837,525,896,2743,595,5588 
Belgium,10796493,103816,2464,27973,369,2821,3937,4526,3,4,32599,11278,4598,311,474,2280,6,212,242,2970,6749,411,58,0,0,1,9,1121,1,7,0,118,43,1,27018,521,677,751,3063,779,1444,6472,434,2360,197,374,687,1407,874,1177,937,955,199,1774,146,5534,257,878,9574,7375,1512,119,3711,4824,253,1406,1525,22,0,6,0,1014,1249,71,111,234,2013,134,1923 
Belize,313925,1453,155,167,15,151,7,44,1,0,341,126,64,2,9,38,4,64,29,13,223,14,13,0,0,0,0,22,0,0,0,2,101,0,156,2,2,6,12,14,8,15,1,13,11,6,1,24,2,6,4,11,6,130,7,15,3,60,112,90,4,0,72,29,2,31,33,1,0,4,0,52,4,21,2,5,15,84,40 
Bermuda,,438,22,140,1,19,1,7,0,0,132,44,19,2,1,11,0,3,1,16,15,1,0,0,0,0,0,14,0,0,0,0,7,0,135,2,7,5,19,1,7,27,2,16,0,4,6,12,1,4,4,5,0,13,1,2,0,12,43,36,7,0,26,6,1,8,9,0,0,0,0,9,1,0,0,0,3,0,2 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,196701298,1103088,47003,172247,6011,66981,11528,23017,23,125,320053,114522,56196,2979,4216,22487,1884,25279,10256,78916,138891,4638,5243,111,3,12,463,11952,103,31,0,2755,12133,85,169056,6510,7374,12788,12470,7580,6988,21068,2832,11968,5063,3088,2963,12274,3002,6373,5790,3191,4201,52102,6510,12113,2391,44262,96380,99256,11020,850,51701,38370,2982,25043,13905,561,169,1095,553,38452,9170,6109,784,630,9377,51396,22973 
British Virgin Islands,,109,10,23,0,9,1,1,0,0,29,6,6,0,0,1,0,0,0,10,13,0,0,0,0,0,0,8,0,0,0,0,1,0,22,0,0,1,7,1,1,0,1,3,0,0,0,5,0,1,0,1,0,7,0,0,0,6,9,3,0,0,2,2,2,2,0,1,0,0,0,4,0,7,0,0,0,0,2 
Brunei Darussalam,387080,1171,89,219,6,119,2,13,0,0,333,99,26,1,6,32,1,26,25,96,78,1,11,0,0,0,0,52,0,0,0,7,1,0,215,6,2,10,22,24,2,37,,8,14,1,5,9,3,10,8,4,2,100,0,,4,41,135,97,,0,20,51,0,8,,,0,1,0,37,6,5,1,1,2,0,26 
Bulgaria,7585131,108068,587,17157,160,1989,77,954,7,3,71306,4154,3268,27,38,1239,4,323,152,3207,3416,18,197,0,0,0,9,256,0,0,1,36,1,2,17006,404,195,1340,2452,800,984,3283,271,1234,356,367,395,820,483,415,440,151,118,1947,5,151,57,6526,13329,21250,4271,26,1559,1352,216,1818,1201,18,0,4,0,894,293,157,112,125,868,150,817 
Canada,33746559,238418,5009,72584,978,9552,11871,11847,4,8,68703,21296,9668,324,1524,5182,29,1076,896,2230,15637,1384,84,2,0,1,12,2211,3,29,0,451,355,2,71125,1065,1685,1911,7810,1950,3981,19112,1389,4944,370,862,1597,3745,1910,4095,2463,1459,524,6923,185,17295,411,2460,35896,14105,3382,253,5296,10859,410,3165,3871,77,3,20,6,2618,3602,242,225,1516,3890,574,2970 
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,147,5,44,0,10,0,4,0,0,43,13,3,0,0,2,0,1,3,7,12,0,0,0,0,0,0,4,0,0,0,0,1,0,42,0,1,0,2,2,2,6,0,4,0,1,0,5,2,5,0,2,0,7,0,1,0,12,15,4,2,0,1,5,0,1,2,0,0,0,0,3,0,1,0,0,0,8,0 
Chile,16829957,91965,1829,23507,442,4277,2574,2961,0,2,24835,8933,6724,232,489,2777,50,852,927,2403,8151,218,473,4,0,7,9,392,6,8,0,55,435,0,22636,200,686,3350,1806,979,1069,2532,340,1338,646,273,377,1753,394,1046,599,871,328,3253,530,3590,176,3523,7299,8130,823,29,3516,2973,177,4167,1905,73,3,28,19,2220,735,447,337,324,2148,903,1037 
Colombia,45416276,196683,6211,35074,835,8795,123,2998,0,5,57314,19765,9884,1133,1919,5117,496,4765,2597,4289,35361,808,1096,17,0,12,9,1024,24,10,0,119,2340,28,33055,517,704,4450,2575,1583,1286,3898,631,2242,1614,470,711,2419,411,1476,1618,2019,457,6469,1612,312,144,5664,27597,13870,1724,3,6055,10595,635,2479,3256,153,39,284,141,6601,1279,926,124,100,2259,19680,4392 
Costa Rica,4488261,16652,336,3773,62,801,170,446,0,0,4807,1340,1234,71,162,429,10,300,272,460,1979,90,41,0,0,2,0,36,2,0,0,6,109,0,3568,60,42,545,312,180,156,228,66,268,110,44,70,371,54,243,167,205,40,697,29,269,43,733,2195,1019,133,4,306,731,43,645,341,5,1,5,4,576,81,91,8,42,280,411,490 
Croatia,4429078,52414,363,13496,54,1393,834,786,0,3,25976,2263,2430,13,85,892,6,123,134,576,2987,12,120,2,0,0,6,166,0,0,0,31,8,0,13315,377,219,872,1866,476,684,2799,246,898,114,233,317,697,362,421,365,181,35,1362,0,479,52,1369,10542,7924,1682,20,529,1589,251,1298,650,16,0,6,0,616,940,93,38,129,790,58,323 
Cuba,11297442,86940,749,21890,194,2713,3829,1324,21,11,34437,8360,3253,159,662,803,66,308,405,594,7162,201,38,0,0,0,2,74,0,12,0,146,184,0,21399,629,628,777,2202,710,757,5080,373,1415,467,657,253,2459,551,891,534,491,150,2439,41,3612,215,2356,15555,9397,2446,14,4859,3174,336,1193,614,71,7,32,22,1019,2016,243,31,89,1477,565,1722 
Cyprus,812847,5182,71,1177,37,359,56,136,0,0,1951,395,141,29,22,145,0,18,10,322,313,16,0,0,0,0,0,44,0,0,0,3,0,0,1140,14,12,51,92,36,70,217,20,102,6,17,21,76,27,66,55,37,30,308,0,118,12,188,677,377,66,3,92,119,3,47,105,1,0,0,0,92,31,21,3,14,33,17,102 
Czech Republic,10491492,107421,1122,28064,139,2171,160,1089,0,1,54100,6393,4809,75,61,1251,3,189,142,1706,5946,75,51,0,0,1,8,852,2,0,0,34,8,0,27680,643,435,1216,3883,732,1846,5455,507,1607,311,423,652,1305,758,937,812,384,44,1967,47,440,220,1962,25765,12192,6580,80,3189,2439,541,2248,1133,16,1,2,0,1026,1489,199,51,338,1464,91,1288 
Denmark,5519441,54531,823,15202,276,1833,3075,1639,1,2,14628,6045,2721,64,333,818,4,83,99,4672,2213,203,26,0,0,0,5,323,0,3,9,27,30,0,14886,314,342,383,1946,293,879,3600,309,1203,88,146,350,1164,492,547,441,316,202,1322,21,2833,72,856,5439,3800,952,26,2097,3415,419,949,477,48,1,3,0,319,360,27,63,212,622,43,567 
Dominica,,559,19,122,7,58,6,12,0,0,201,43,28,12,0,4,0,14,3,11,19,0,0,1,0,0,0,12,0,0,0,0,4,0,117,2,0,11,7,4,5,8,0,8,4,0,0,46,1,7,0,5,6,45,0,4,0,39,28,69,2,0,17,15,3,9,3,1,0,0,0,6,1,1,0,2,1,2,6 
Dominican Republic,,25546,1214,3849,158,1252,58,340,0,2,8992,2044,991,16,58,270,56,969,329,951,3606,110,232,14,0,0,5,116,5,0,0,40,497,8,3693,165,56,250,272,281,129,426,53,236,160,107,26,797,32,91,120,156,122,1114,75,97,25,1086,4094,2761,125,9,725,542,109,627,229,25,7,29,20,1319,28,58,37,8,207,754,1195 
Ecuador,14691310,59629,2515,9212,441,4673,168,1049,0,4,13026,5244,3438,29,255,1525,208,1531,824,5810,9677,366,569,11,0,1,1,700,2,0,0,30,702,6,8809,97,99,1625,478,656,317,668,138,444,330,408,143,820,74,414,468,403,365,4067,393,226,83,3157,2287,3788,353,40,3057,1194,254,1901,1407,84,10,153,45,3202,427,411,114,178,965,2178,2202 
Egypt,80442443,476591,15695,29537,5308,9806,389,4353,31,18,217798,32118,52231,275,160,16892,578,3820,5977,63636,17969,4670,553,61,0,1,19,2434,29,20,19,6162,10,4,26492,320,265,1312,1064,5213,736,2847,38,1860,94,267,172,628,1683,157,2792,3045,658,4064,211,495,818,23673,15524,36546,16380,15,11055,4814,242,48298,16700,55,25,519,24,7111,877,1393,164,77,52,81,8214 
El Salvador,6021368,32872,1189,3456,176,1722,642,592,0,0,5941,2715,1458,54,116,2502,14,274,358,5119,6544,168,55,2,0,0,0,577,1,0,0,9,329,0,3456,47,47,511,160,230,115,190,10,134,213,157,57,209,24,61,183,0,159,1359,255,25,2,703,2245,858,19,0,1615,562,150,820,2335,53,2,12,0,1247,385,223,22,187,506,3763,211 
Estonia,1334515,16099,148,3595,10,229,143,265,0,2,8796,447,634,6,41,139,0,29,35,296,1284,4,49,0,0,0,0,11,1,0,0,15,52,1,3529,85,63,303,417,97,242,609,85,236,59,50,118,243,109,128,117,66,3,208,1,103,41,1829,4332,1385,253,8,166,210,88,275,121,8,0,0,0,119,132,61,60,260,269,81,302 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,851854,6404,397,652,29,1153,3,45,0,0,2595,358,156,5,16,152,5,151,65,312,310,70,19,1,0,0,1,256,0,0,0,1,4,0,596,14,12,18,31,53,16,34,2,101,75,15,35,26,10,18,35,56,21,1132,5,1,22,632,996,167,9,0,122,173,20,30,130,12,2,3,0,45,7,50,19,2,26,9,152 
Finland,5338871,49904,430,11310,37,563,2347,4648,1,0,20361,2210,2600,41,221,416,1,75,184,309,4150,87,54,1,0,0,3,156,0,9,0,13,3,0,10996,178,233,487,1110,464,948,2028,221,819,54,202,307,778,284,738,318,314,13,436,5,5706,63,868,11534,4380,1030,17,540,1233,204,1270,318,23,0,1,0,356,1188,124,89,838,1034,110,411 
France,62615899,537197,10853,159918,2240,19529,17558,31404,8,20,144842,33932,23499,1587,3754,9256,75,1320,1488,38253,37661,1482,633,5,1,7,25,4354,5,40,4,672,511,16,153220,3870,3911,4647,17079,7705,9103,29700,2289,11618,789,2341,3312,8983,4751,7383,5591,6698,1275,11168,2755,30774,1552,8952,36700,32076,8909,373,11205,9043,826,8388,7261,135,3,50,19,4410,5909,970,475,1596,10499,476,13326 
French Guiana,227731,702,47,132,4,40,12,25,0,0,136,30,21,2,3,12,1,33,11,66,127,5,2,0,0,0,0,9,0,0,0,0,22,2,120,4,1,10,5,6,14,10,1,5,4,6,4,17,2,6,5,12,2,25,2,15,1,22,14,41,7,1,13,3,0,12,11,0,0,1,0,25,6,18,6,5,16,22,29 
Georgia,4410900,46625,328,5039,50,562,20,366,0,0,25725,766,1189,0,7,317,32,787,39,9747,1651,6,143,0,2,0,7,125,0,0,0,23,4,0,5039,76,44,442,295,271,156,774,83,500,86,194,100,185,133,98,143,0,50,551,0,4,163,556,5888,8209,1039,13,213,101,119,916,286,12,2,20,10,337,17,70,83,52,188,29,875 
Germany,81874770,854544,15496,222153,2442,28137,22592,20825,2,8,356462,63304,42288,1030,2662,18834,35,1175,1563,23704,31832,2824,345,4,0,1,33,8150,15,29,2,963,431,4,216128,4982,4937,10244,26076,7231,15159,42261,3247,17066,1581,2360,5623,12217,5353,9753,7107,6025,1146,22769,179,21705,2321,31118,135413,62727,20117,159,22231,29187,2862,15443,14795,109,4,24,6,4468,8492,383,432,718,9579,441,7319 
Greece,11282751,108316,1200,27345,,,109,1517,0,0,48453,10770,2585,35,426,1859,4,172,214,8161,3868,1,87,3,0,0,4,977,2,0,0,81,17,3,27328,260,208,1304,2380,209,1535,6447,334,1914,134,341,527,1561,1063,900,1277,17,54,1063,0,651,2,1513,11922,15493,825,40,915,2415,343,821,1756,0,0,1,3,1647,530,386,87,365,391,167,295 
Grenada,104298,788,20,165,9,102,9,11,0,0,270,58,32,10,6,20,0,5,6,14,51,3,2,0,0,0,0,8,0,0,0,0,4,0,157,4,4,10,10,5,6,8,0,11,7,9,2,40,3,8,5,8,4,80,1,2,0,40,72,77,12,0,35,9,4,11,16,2,0,0,0,4,2,3,1,2,0,0,39 
Guadeloupe,455536,2922,94,669,15,211,65,151,0,0,823,149,89,10,13,59,1,27,12,274,260,7,1,0,0,0,0,35,0,0,0,4,18,0,646,22,16,43,48,31,47,50,5,51,8,23,12,115,10,32,13,23,4,150,18,85,5,111,121,255,42,8,60,25,2,38,45,2,0,1,0,63,19,17,6,7,39,20,89 
Guatemala,14418033,71707,4897,7503,860,7002,704,1421,0,1,9526,9354,5056,80,224,2279,346,2980,925,5110,13439,2593,348,6,0,10,2,935,9,1,0,84,628,8,7176,121,109,1404,234,1130,186,381,95,216,390,321,74,494,36,152,406,327,646,4090,2242,83,28,760,3544,2680,132,26,7091,1086,640,2726,2076,74,27,312,4,305,14,283,71,818,513,6038,5397 
Guyana,750749,4562,424,406,61,440,11,63,1,1,1816,223,227,3,3,65,9,62,26,63,649,49,67,0,0,0,0,64,0,0,0,1,192,20,395,8,4,15,22,25,10,20,1,39,29,13,12,53,1,10,17,11,52,349,19,8,8,271,594,595,22,0,127,52,15,138,58,3,0,8,1,119,6,47,8,5,156,68,240 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,5377,433,449,60,446,28,101,0,0,972,503,367,23,22,132,30,879,359,46,527,87,99,2,0,5,2,52,1,0,0,2,140,4,408,3,3,38,15,24,10,42,9,21,37,2,14,12,7,22,55,41,39,360,63,3,27,156,218,343,11,0,193,234,19,204,104,12,2,23,5,67,29,3,7,9,92,67,253 
Hong Kong SAR,6972800,41047,1067,13134,89,601,647,325,1,2,10596,7857,1528,176,139,1969,2,43,93,835,1938,16,204,0,0,0,1,736,3,1,0,28,20,0,12839,557,328,656,1752,1488,449,3692,73,555,128,110,140,306,197,452,270,295,42,492,7,681,117,736,4360,3443,450,50,5312,1912,104,487,1484,6,0,2,0,170,197,40,7,125,1025,39,335 
Hungary,10022650,130414,493,33174,260,3019,2589,1738,0,11,64921,6466,8217,122,440,946,18,306,358,149,7187,106,170,1,0,0,6,79,0,4,0,33,9,0,32536,1521,618,1824,4949,776,1837,8453,502,2169,396,377,687,1193,831,853,889,638,167,2654,16,2697,275,6405,33186,14145,3156,21,706,4930,797,5080,728,88,2,8,8,1117,2013,177,142,139,2461,148,990 
Iceland,319246,2002,13,577,5,37,56,164,0,0,729,175,63,1,5,34,0,4,5,16,118,2,7,0,0,0,0,2,0,0,0,0,1,0,562,11,14,16,63,10,29,132,8,36,2,3,13,53,19,39,17,15,4,27,1,155,3,41,350,159,24,5,53,102,3,7,24,3,0,0,0,13,25,4,0,5,36,1,34 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,4459305,28898,255,8585,79,654,574,1018,0,0,9692,3693,1156,64,212,650,3,98,187,84,1894,39,36,0,0,0,8,84,0,1,1,18,16,2,8396,127,350,357,945,246,483,1754,184,676,93,97,230,537,199,449,239,189,39,471,5,967,67,265,5128,2114,461,4,1374,1533,100,374,457,16,1,2,0,266,281,49,45,316,527,49,361 
Israel,7485565,38595,1471,10236,323,3049,953,1195,2,2,9931,2935,1408,472,243,2015,5,294,287,1847,1927,130,23,0,0,0,6,1052,0,6,0,87,31,0,9923,101,116,504,1288,265,766,1609,252,939,74,140,245,401,301,594,462,313,218,2379,37,1267,157,718,4416,2133,356,1,897,1058,37,401,1609,12,0,2,3,384,111,35,29,1,404,149,814 
Italy,60192698,588438,9007,174678,2664,25840,14663,22210,48,33,224830,39949,23705,839,3372,10183,19,1222,1323,9211,24642,319,408,27,0,0,20,3880,9,48,0,2665,899,3,166830,2687,1783,10240,18560,9739,10024,33394,2373,12193,390,2523,3350,7484,5500,8253,5940,7848,1882,20823,367,24624,1983,27106,74027,63295,8175,510,7241,22256,801,9776,8912,218,1,17,1,4891,3241,399,228,509,3975,511,10888 
Jamaica,2729575,17222,782,3207,205,2030,94,352,3,0,5036,986,397,145,116,342,9,463,158,175,2668,39,13,2,0,0,0,265,4,0,0,4,416,0,3078,50,42,187,256,64,89,426,14,291,158,86,57,583,47,159,96,129,130,1777,39,180,20,1088,1077,2021,131,4,250,415,50,111,191,75,2,7,0,334,6,16,21,4,36,1565,686 
Japan,125820000,1141865,25051,353941,4040,20571,7085,17243,6,17,329731,175028,44172,1154,5195,31012,61,699,2070,51191,73598,2108,3620,9,0,0,0,10251,16,18,2,5666,61,1,344105,6546,11713,50017,42800,32725,26791,67583,1315,11918,2519,3005,4603,10036,6625,13993,7896,9836,1654,13987,1598,10589,2318,6223,75481,122350,17110,625,112004,18823,3166,15969,27050,99,2,39,12,7309,7312,6435,1364,978,30714,479,19007 
Jordan,,14807,297,2164,86,1123,14,314,0,0,5318,931,423,42,40,368,26,1039,745,406,1471,25,18,0,0,0,1,184,0,0,0,55,2,0,2076,48,11,88,233,74,73,342,5,211,14,29,35,92,56,123,214,88,33,981,0,36,6,1023,2009,1544,46,19,484,295,29,176,338,6,0,20,6,669,68,61,74,45,14,133,407 
Kazakhstan,15924939,142778,2899,17960,137,1244,368,1433,1,2,66311,7724,7194,74,177,1486,94,3984,1544,12888,17258,90,2055,1,0,0,43,380,7,0,0,54,137,0,17797,545,1146,2264,1547,889,801,3196,,1368,674,327,487,328,330,200,535,163,85,1068,51,,435,3521,25009,19045,,17,2659,4284,442,5252,,,6,60,28,3275,471,861,299,2350,3846,1543,4613 
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kuwait,3442945,5935,175,734,10,226,2,77,0,0,2438,395,145,9,1,167,7,256,312,125,856,9,33,0,0,0,0,93,0,0,0,35,3,1,729,16,14,24,72,66,32,67,2,87,10,17,14,29,30,50,50,5,5,211,0,3,5,154,1204,529,27,32,260,78,20,65,159,0,1,6,0,473,60,19,81,22,62,18,121 
Kyrgyzstan,5383277,35898,954,3266,42,367,83,553,0,1,17574,3005,2384,13,133,821,86,2203,458,487,3468,165,591,0,0,2,17,40,3,0,0,41,52,0,3223,106,139,592,199,273,123,425,56,241,207,49,78,46,53,52,93,43,32,335,10,12,194,292,10538,5782,109,87,877,1868,83,2074,812,2,1,60,25,945,77,243,49,492,458,332,872 
Latvia,2141669,29937,286,6028,36,557,239,255,0,1,16078,650,1044,29,50,306,8,78,99,2035,2158,1,104,0,1,0,2,28,0,1,0,46,67,0,5948,163,118,529,697,137,356,1019,133,438,98,149,222,350,155,203,172,80,20,508,5,183,58,789,8593,4636,516,7,282,270,126,486,276,19,1,7,0,259,162,136,121,279,516,143,542 
Lithuania,3162916,42032,451,8244,27,338,74,540,0,2,23292,1561,2223,36,86,282,0,77,95,536,4168,5,266,0,0,0,6,125,0,0,0,10,13,0,8130,256,181,688,997,167,443,1382,134,594,198,138,269,496,208,289,280,114,17,304,1,160,110,558,14417,5773,799,16,640,808,227,1159,249,9,0,0,0,457,355,298,89,576,1138,199,1056 
