Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,2927522,15662,29,2620,,,48,152,3,0,9136,473,285,2,14,228,0,49,38,1639,891,2,3,0,0,0,0,5,0,1,0,0,1,0,2484,49,23,302,106,,154,608,33,143,26,54,38,155,2,30,86,136,14,9,1,40,15,92,2964,3503,215,8,116,273,11,179,206,12,0,0,0,0,0,0,0,0,0,0,0 
Anguilla,,70,0,15,2,10,1,4,0,0,23,1,4,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1,1,1,0,0,0,0,0,0,8,0,1,0,0,1,6,0,3,0,7,8,2,1,0,1,0,0,1,0,1,0,0,0,5,1,0,0,0,0,1,1 
Antigua and Barbuda,86300,372,18,70,10,36,1,6,0,0,131,29,12,2,0,12,0,6,2,4,33,0,0,0,0,0,0,9,0,0,0,0,6,0,69,2,1,5,7,0,3,11,0,8,4,1,1,16,0,1,1,1,3,33,0,3,0,33,47,19,4,0,4,3,3,4,8,0,0,0,0,2,1,5,2,2,0,1,20 
Argentina,40798641,301868,13605,59679,997,10688,2476,4382,3,2,89106,45142,12336,1266,910,8987,422,4372,2756,25860,18404,373,615,7,0,15,30,10205,24,3,0,184,1390,0,57169,814,1759,2812,6571,1657,3787,8938,798,5392,1042,1468,1126,3695,1286,2033,1813,2510,643,7643,1049,2609,210,5464,18415,18389,2561,29,18250,4683,294,4720,6930,51,85,162,156,4549,265,454,431,269,2900,1778,7758 
Armenia,3243729,27560,278,5413,14,1437,4,143,2,1,13525,1785,1622,16,67,717,12,197,312,793,1222,14,147,0,0,0,1,44,1,0,0,30,13,0,4578,64,45,455,372,378,329,1214,,497,63,151,98,174,229,66,140,14,5,1376,,,123,1003,8025,3164,,4,469,1195,182,1050,,,1,7,3,179,14,26,9,13,53,55,873 
Aruba,101416,612,34,140,3,45,5,16,0,0,186,44,37,6,2,10,0,1,1,36,46,2,1,0,0,0,0,23,0,0,0,1,3,0,133,3,8,8,13,6,4,23,3,13,3,2,6,12,4,8,2,7,2,40,0,11,0,6,41,55,3,1,17,10,0,18,9,0,0,0,0,17,3,4,0,1,4,4,13 
Australia,21951736,140760,1826,41965,429,5883,6518,5909,5,5,46183,11045,5014,386,1078,3409,9,654,638,733,9071,81,57,0,0,3,9,1014,5,18,0,57,79,2,41004,738,1177,1102,4068,1328,2204,7786,1837,2772,240,354,853,3111,1027,2214,1597,961,156,4176,66,8549,316,1845,22587,11216,2089,50,1663,5984,297,1548,3008,56,3,5,0,1672,1450,200,227,1004,2337,274,1907 
Austria,8341483,77381,667,20295,159,4312,889,2436,1,0,33223,4221,3168,60,250,1106,2,152,271,1876,4293,65,47,1,0,0,15,77,6,12,0,294,39,0,19642,454,333,923,2144,820,1424,3560,408,1594,141,276,489,1125,464,969,707,653,78,3294,0,1010,184,3321,14853,5184,1673,22,1112,2725,198,1650,956,9,0,2,0,636,866,64,36,23,1278,58,1332 
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bahamas,354780,2021,173,370,11,150,18,47,0,0,682,108,83,22,15,32,7,43,9,27,224,2,2,0,0,0,0,32,0,0,0,1,130,0,365,5,11,16,33,9,13,31,8,40,20,10,12,47,6,24,14,5,10,125,1,23,2,217,160,138,18,0,59,22,7,36,23,1,0,5,2,61,5,32,4,2,6,88,26 
